Position,Track Name,Artist,URL,filename,ID,date,country,group,duration_ms,popularity,acousticness,danceability,energy,key,instrumentalness,liveness,loudness,mode,speechiness,valence,tempo,loud_start
1,Sucker,Jonas Brothers,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO,2019-03-27-in-viral.csv,4y3OI86AEP6PQoDE6olYhO,2019-03-27,in,viral,181040,10,0.0427,0.842,0.734,1,0,0.106,-5.065,0,0.0588,0.952,137.958,-11.142
2,Undrunk,FLETCHER,https://open.spotify.com/track/5SHhPFh68OhUmuRPymKX9d,2019-03-27-in-viral.csv,5SHhPFh68OhUmuRPymKX9d,2019-03-27,in,viral,183428,0,0.455,0.679,0.572,5,2.41e-06,0.127,-6.703,1,0.0781,0.542,92.859,-8.19
3,Don't Call Me Up,Mabel,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8,2019-03-27-in-viral.csv,5WHTFyqSii0lmT9R21abT8,2019-03-27,in,viral,178480,79,0.296,0.674,0.881,9,3.01e-06,0.0793,-2.853,1,0.147,0.234,98.994,-5.559
4,Moonlight,Gaullin,https://open.spotify.com/track/0A5gdlrpAuQqZ2iFgnqBFW,2019-03-27-in-viral.csv,0A5gdlrpAuQqZ2iFgnqBFW,2019-03-27,in,viral,173066,72,0.0529,0.813,0.761,10,0.0119,0.337,-5.687,0,0.085,0.29,124.957,-5.704
5,i'm so tired...,Lauv,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI,2019-03-27-in-viral.csv,7COXchtUOMd6uIT6HvmRaI,2019-03-27,in,viral,162582,13,0.176,0.599,0.733,11,0,0.242,-7.058,1,0.203,0.534,102.211,-12.88
6,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",benny blanco,https://open.spotify.com/track/1WSGTYKLEpKfNQYYW5Oymt,2019-03-27-in-viral.csv,1WSGTYKLEpKfNQYYW5Oymt,2019-03-27,in,viral,158027,69,0.404,0.541,0.468,10,3.65e-06,0.358,-4.039,0,0.362,0.69,95.266,-19.831
7,"Duniyaa (From ""Luka Chuppi"")",Akhil,https://open.spotify.com/track/2tjWCe2W7sgvS3C8NHcdtI,2019-03-27-in-viral.csv,2tjWCe2W7sgvS3C8NHcdtI,2019-03-27,in,viral,222500,66,0.699,0.435,0.658,7,0,0.125,-5.949,0,0.0368,0.524,77.17,-15.586
8,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-03-27-in-viral.csv,3KkXRkHbMCARz0aVfEt68P,2019-03-27,in,viral,158040,83,0.556,0.76,0.479,2,0,0.0703,-5.574,1,0.0466,0.913,89.911,-11.776
9,Con Calma,Daddy Yankee,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,2019-03-27-in-viral.csv,5w9c2J52mkdntKOmRLeM2m,2019-03-27,in,viral,193226,78,0.11,0.737,0.86,8,1.94e-06,0.0574,-2.652,0,0.0593,0.656,93.989,-6.07
10,"Kannamma - From ""Ispade Rajavum Idhaya Raniyum""",Sam C.S.,https://open.spotify.com/track/4KUQFOGTaHrggl3hfMoaAe,2019-03-27-in-viral.csv,4KUQFOGTaHrggl3hfMoaAe,2019-03-27,in,viral,256945,41,0.522,0.729,0.695,1,0.000621,0.113,-8.524,1,0.0312,0.599,127.992,-20.507
