,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",217526,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,Passionfruit,Drake,215916,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
3,HUMBLE.,"Kendrick Lamar",191471,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
4,"Mask Off",Future,158933,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
5,"It Ain't Me (with Selena Gomez)",Kygo,146807,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
6,Blem,Drake,135400,https://open.spotify.com/track/2XlHu0HcujBCkWMdIAvrqt
7,Portland,Drake,130894,https://open.spotify.com/track/2bjwRfXMk4uRgOD9IBYl9h
8,"That's What I Like","Bruno Mars",126302,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
9,"Stay (with Alessia Cara)",Zedd,126218,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
10,"Something Just Like This","The Chainsmokers",119815,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
11,Paris,"The Chainsmokers",110695,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
12,Gyalchester,Drake,107771,https://open.spotify.com/track/6UjfByV1lDLW0SOVQA4NAi
13,"Slide (feat. Frank Ocean & Migos)","Calvin Harris",103302,https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl
14,Issues,"Julia Michaels",95440,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
15,"iSpy (feat. Lil Yachty)",KYLE,91612,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
16,"Galway Girl","Ed Sheeran",90684,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
17,"Tunnel Vision","Kodak Black",90539,https://open.spotify.com/track/4Q3N4Ct4zCuIHuZ65E3BD4
18,"Fake Love",Drake,90117,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
19,Cold,"Maroon 5",88011,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
20,"Free Smoke",Drake,85824,https://open.spotify.com/track/05KOgYg8PGeJyyWBPi5ja8
21,"Call On Me - Ryan Riback Extended Remix",Starley,83867,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
22,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",83284,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
23,Believer,"Imagine Dragons",81622,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
24,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,79430,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
25,"Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)","Major Lazer",77725,https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ
26,"XO TOUR Llif3","Lil Uzi Vert",77683,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq
27,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",76129,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
28,"Scared to Be Lonely","Martin Garrix",76112,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
29,"Selfish (feat. Rihanna)",Future,74939,https://open.spotify.com/track/2Ce5IyMlVRVvN997ZJjJJA
30,"No Long Talk",Drake,74548,https://open.spotify.com/track/6CfrYuD3YRDYdYvH9jNtXY
31,"Still Got Time (feat. PARTYNEXTDOOR)",ZAYN,74448,https://open.spotify.com/track/000xQL6tZNLJzIrtIgxqSl
32,Congratulations,"Post Malone",73431,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
33,"Teenage Fever",Drake,72470,https://open.spotify.com/track/6n3HGiq4v35D6eFOSwqYuo
34,"Get It Together",Drake,72380,https://open.spotify.com/track/7y6c07pgjZvtHI9kuMVqk1
35,"Symphony (feat. Zara Larsson)","Clean Bandit",71548,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
36,"Body Like A Back Road","Sam Hunt",69937,https://open.spotify.com/track/7mldq42yDuxiUNn08nvzHO
37,"Chained To The Rhythm","Katy Perry",69406,https://open.spotify.com/track/6520aj0B4FSKGVuKNsOCOi
38,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,68778,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
39,"Madiba Riddim",Drake,66260,https://open.spotify.com/track/76gUmNLXGQVOsGhfcshkFP
40,Closer,"The Chainsmokers",64628,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
41,"Say You Won't Let Go","James Arthur",64021,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
42,"Green Light",Lorde,63943,https://open.spotify.com/track/0gbBzIqrECJOEPvQJIBFs5
43,"Bounce Back","Big Sean",63079,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF
44,KMT,Drake,62859,https://open.spotify.com/track/2jTujnt0y344ai1rNOywgr
45,T-Shirt,Migos,60519,https://open.spotify.com/track/7KOlJ92bu51cltsD9KU5I7
46,"Castle on the Hill","Ed Sheeran",58835,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
47,Starboy,"The Weeknd",58546,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
48,Location,Khalid,58542,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
49,"Solo Dance","Martin Jensen",58162,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
50,4422,Drake,58045,https://open.spotify.com/track/2fkeWbM6iqTw7oGHTYm2lw
51,Sacrifices,Drake,56558,https://open.spotify.com/track/0xl1w2q4VLojeXp4JfazPL
52,"I Feel It Coming","The Weeknd",56541,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
53,"The Heart Part 4","Kendrick Lamar",55596,https://open.spotify.com/track/1zayuwd1YLZsYDArkruHdL
54,"Jorja Interlude",Drake,53607,https://open.spotify.com/track/13e6f8t7RKXuxZ0JdaaJRG
55,Weak,AJR,51401,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv
56,"How Far I'll Go - From ""Moana""","Alessia Cara",51267,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
57,"Look At Me!",XXXTENTACION,49977,https://open.spotify.com/track/4ARPvK8DHLwt4oX65ZAFMw
58,"The One","The Chainsmokers",48551,https://open.spotify.com/track/0wfbD5rAksdXUzRvMfM3x5
59,"One Dance",Drake,46371,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
60,"Do Not Disturb",Drake,46258,https://open.spotify.com/track/2KvHC9z14GSl4YpkNMX384
61,Swang,"Rae Sremmurd",45987,https://open.spotify.com/track/6mapJIPnQ23RTAevUoE0DL
62,Perfect,"Ed Sheeran",45581,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
63,"I Got You","Bebe Rexha",45260,https://open.spotify.com/track/1FUViuNSldssMIawrOXF2i
64,"Skepta Interlude",Drake,44900,https://open.spotify.com/track/2dfqS3MRtbLZSZA1IL8xY5
65,Happier,"Ed Sheeran",44589,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
66,"Sooner Or Later","Aaron Carter",43807,https://open.spotify.com/track/6wV12xIUb8oFY7lBy4KuQe
67,"Ice Melts",Drake,42739,https://open.spotify.com/track/7bJ4mu7MHa3rHiNyKjOoSl
68,"At My Best (feat. Hailee Steinfeld)","Machine Gun Kelly",42580,https://open.spotify.com/track/77lGafvlU68CeHgB2pkHC9
69,"Not Going Home (feat. Gia Koka)",DVBBS,41980,https://open.spotify.com/track/042x9bsUBWW2fJgJ6fUh61
70,Everybody,Logic,41778,https://open.spotify.com/track/7cGFbx7MP0H23iHZTZpqMM
71,"All Time Low","Jon Bellion",41501,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m
72,Rolex,"Ayo & Teo",40778,https://open.spotify.com/track/0pSBuHjILhNEo55xK1zrRt
73,History,"Olivia Holt",40677,https://open.spotify.com/track/0WCEaydwN65cvwaW8aqptF
74,"Can't Have Everything",Drake,40486,https://open.spotify.com/track/5f5r2N4Lp9WoULWPH9zp2W
75,Dive,"Ed Sheeran",40364,https://open.spotify.com/track/51ChrwmUPDJvedPQnIU8Ls
76,"Love On The Brain",Rihanna,39887,https://open.spotify.com/track/2aksifNn5ph8igDOkPBA02
77,"Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)","Calvin Harris",38405,https://open.spotify.com/track/60APt5N2NRaKWf5xzJdzyC
78,"All Night","The Vamps",38036,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW
79,"You Don't Know Me - Radio Edit","Jax Jones",38016,https://open.spotify.com/track/00lNx0OcTJrS3MKHcB80HY
80,"Nothings Into Somethings",Drake,37185,https://open.spotify.com/track/6MbH1QiphMCPTqVEVC7UYi
81,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",36881,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
82,Glow,Drake,36779,https://open.spotify.com/track/28irpKCCK9nn9DZSik2zEx
83,Caroline,Aminé,36392,https://open.spotify.com/track/5GFDrUTLGJix84sNhjCG0g
84,"Lose You",Drake,36087,https://open.spotify.com/track/2Na0z2gfN67Rzf0vp74Wi3
85,"All Night (feat. Knox Fortune)","Chance the Rapper",35850,https://open.spotify.com/track/60xaS8mYBKUW4VQQ666N0T
86,"The Other",Lauv,35796,https://open.spotify.com/track/1lntL1cI2UIWlxjL5QiN8g
87,"Just Hold On","Steve Aoki",34268,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
88,Everyday,"Ariana Grande",34178,https://open.spotify.com/track/3FiE2d325mIOc4YjkSLVJR
89,"What Do I Know?","Ed Sheeran",34145,https://open.spotify.com/track/2pJZ1v8HezrAoZ0Fhzby92
