,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",224763,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,"Oh bah oui",Lacrim,183291,https://open.spotify.com/track/0z18wqbjuXTxzaNm4oegU2
3,"You Don't Know Me - Radio Edit","Jax Jones",121462,https://open.spotify.com/track/00lNx0OcTJrS3MKHcB80HY
4,"2 Pac",Lacrim,117187,https://open.spotify.com/track/6X3U6O4adFSanohAaUxViv
5,"Mask Off",Future,117140,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
6,"It Ain't Me (with Selena Gomez)",Kygo,112921,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
7,"Grande armée",Lacrim,108131,https://open.spotify.com/track/28co1mTCrGIGOeGzqLjSat
8,"Call On Me - Ryan Riback Extended Remix",Starley,104340,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
9,"Be Mine",Ofenbach,102776,https://open.spotify.com/track/2KklXplRtxMsBYo474Es0w
10,"Colonel Carrillo",Lacrim,101340,https://open.spotify.com/track/4ksAbWG96D1yaQ0onQNlb5
11,Passionfruit,Drake,100600,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
12,"La dolce vita",Lacrim,98082,https://open.spotify.com/track/33dLYyEIRqEipCuLb8z1l0
13,Tristi,Lacrim,94618,https://open.spotify.com/track/2Ybq4O3JksrB02I1glWh65
14,"20 bouteilles",Lacrim,92352,https://open.spotify.com/track/2om7S1vVngM5vDO6tLufdj
15,"Sunset Lover","Petit Biscuit",91598,https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1
16,Laisse-les,Lacrim,91532,https://open.spotify.com/track/4hkaPHXpf0QyuEuitgvWMI
17,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",90228,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
18,Rockefeller,Lacrim,89461,https://open.spotify.com/track/3xzsLvCaodpR7YRvKlcxXM
19,Traîtres,Lacrim,89325,https://open.spotify.com/track/6NOBQsQ2TsAK8ieuFEB0O6
20,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,88951,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
21,"Kim Jong Un",Lacrim,88923,https://open.spotify.com/track/7EnD0lx98FL3jCDVqjyaBw
22,"I Feel It Coming","The Weeknd",88321,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
23,"Afro Trap Pt. 8 (Never)",MHD,87335,https://open.spotify.com/track/1MUxJxub6ovS0rzTHRgyoF
24,"Ça paie pas",Lacrim,87048,https://open.spotify.com/track/3UJVVnKnkwPUBJOdpH8GB1
25,Bené,PNL,85923,https://open.spotify.com/track/00X2yv2vrtritPt2CZnUTZ
26,"La cour des grands","Walid Sevran",85923,https://open.spotify.com/track/4IUHilW22vLDSWvVArQ7gZ
27,Tuesday,"Burak Yeter",85470,https://open.spotify.com/track/7abpmGpF7PGep2rDU68GBR
28,Pardon...,Lacrim,84606,https://open.spotify.com/track/6xQpigKTf8aIv19e1Bar01
29,"Million Eyes","Loïc Nottet",82850,https://open.spotify.com/track/63qapUS8yLKz0tb0eOgOTF
30,Cohiba,Lacrim,82081,https://open.spotify.com/track/74uwCAsygJyUBgy09Oi2Fq
31,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",80120,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
32,"Scared to Be Lonely","Martin Garrix",80027,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
33,"No Lie","Sean Paul",77174,https://open.spotify.com/track/3cFsmM51N5zMAuu1nNY4Tw
34,"Nuit blanche",Lacrim,76083,https://open.spotify.com/track/4pz0KRMGCwgqLcZ6bgQKLB
35,"Chantaje (feat. Maluma)",Shakira,73528,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
36,"Papa Trabaja",Lacrim,73455,https://open.spotify.com/track/3sY5Gz1afr3NrtIvX1rnU6
37,"Tout l'monde s'en fout",Sofiane,71944,https://open.spotify.com/track/7syABtsvHvD3nO7OG91Ani
