,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Despacito - Remix","Luis Fonsi",34831,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
2,"2U (feat. Justin Bieber)","David Guetta",30876,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M
3,"Wild Thoughts (feat. Rihanna & Bryson Tiller)","DJ Khaled",27988,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
4,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled",27695,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
5,"Shape of You","Ed Sheeran",27654,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
6,Mama,"Jonas Blue",26564,https://open.spotify.com/track/4xlrALxuaCf9yZBHJeTSG6
7,Krantenwijk,"Lil Kleine",24677,https://open.spotify.com/track/1X8py2jInjgIQ9Y9roDQZC
8,Alleen,"Lil Kleine",23402,https://open.spotify.com/track/1VDFn1PCpp8EOXLMURS8kP
9,"There for You","Martin Garrix",22273,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y
10,"There's Nothing Holdin' Me Back","Shawn Mendes",22129,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
11,Thunder,"Imagine Dragons",21784,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
12,"Something Just Like This","The Chainsmokers",21777,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
13,"Symphony (feat. Zara Larsson)","Clean Bandit",20814,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
14,Unforgettable,"French Montana",19433,https://open.spotify.com/track/1F2HXIJrE2Xn81OzT2zZvW
15,Attention,"Charlie Puth",19328,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
16,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",19318,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
17,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",18948,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
18,Habiba,Boef,18447,https://open.spotify.com/track/6G41AeVgQkpvEbTxN5fNkW
19,Believer,"Imagine Dragons",18077,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
20,Engeltje,Jebroer,17969,https://open.spotify.com/track/5ZgA4F6aJ3nxKKYZq6KWco
21,"He's a Pirate - Hans Zimmer vs Dimitri Vegas & Like Mike / Bonus Track","Hans Zimmer",17753,https://open.spotify.com/track/2mmL1vGmZ34ZV7tQ6qo61z
