,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Felices los 4",Maluma,23829,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn
2,"Me Rehúso","Danny Ocean",22816,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
3,"Una Lady Como Tú","Manuel Turizo",20168,https://open.spotify.com/track/7MHN1aCFtLXjownGhvEQlF
4,Báilame,Nacho,18281,https://open.spotify.com/track/7lRsNbdOGykkMAgsqs4R1C
5,"Escápate Conmigo",Wisin,17870,https://open.spotify.com/track/2cnKEkpVUSV4wnjQiTWfH6
6,"Hey DJ",CNCO,16125,https://open.spotify.com/track/209gZgcfLq2aUuu51vOWBl
7,"Shape of You","Ed Sheeran",15463,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
8,"Ahora Dice","Chris Jeday",13701,https://open.spotify.com/track/22eADXu8DfOAUEDw4vU8qy
9,"Mi Gente","J Balvin",12625,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
10,Bonita,"J Balvin",12030,https://open.spotify.com/track/693iqPOQvhI7PobtR8CC8v
11,"Me Enamoré",Shakira,11781,https://open.spotify.com/track/4qknM1pQz53QOyfDVTjcM9
12,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",11445,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
13,"Otra vez (feat. J Balvin)","Zion & Lennox",11340,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq
14,"El Amante","Nicky Jam",11269,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs
15,"Sigo Extrañándote","J Balvin",11214,https://open.spotify.com/track/6qDF4wWL49CAVbgT7yuHl8
16,"SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox)","Enrique Iglesias",10358,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn
17,"Despacito - Remix","Luis Fonsi",10297,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
18,"Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version",Pitbull,10176,https://open.spotify.com/track/2Vdub5mY4lad7w64bFPUez
19,"Tu Foto",Ozuna,10100,https://open.spotify.com/track/0Szp49tpFasIjX04Mcsydp
20,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","Anuel AA",10096,https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65
21,"Me llamas (feat. Maluma) - Remix","Piso 21",9441,https://open.spotify.com/track/5hEM0JchdVzQ5PwvSfITeX
22,"Si Tú La Ves (feat. Wisin)","Nicky Jam",9414,https://open.spotify.com/track/4yN6xPLopmTLvc27pO9LIE
23,"La Rompe Corazones","Daddy Yankee",9335,https://open.spotify.com/track/4okba5wu9mMLXx79DXLKi3
24,Besándote,"Piso 21",8995,https://open.spotify.com/track/13X0XdLMOdtbXVtAj2ox4h
25,"Alguien Robo","Sebastian Yatra",8718,https://open.spotify.com/track/5i50gKdLAjjIr7UxRT5IVy
26,"Reggaetón Lento (Bailemos)",CNCO,8006,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo
27,Vacaciones,Wisin,7341,https://open.spotify.com/track/3dQDid3IUNhZy1OehIfYfE
28,Attention,"Charlie Puth",7297,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
29,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,7224,https://open.spotify.com/track/6stYbAJgTszHAHZMPxWWCY
30,"2U (feat. Justin Bieber)","David Guetta",7076,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M
31,"Sé Que Te Duele","Alejandro Fernández",6881,https://open.spotify.com/track/5vZfgeDfNhlkKeJqjzSAmg
32,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",6822,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
33,Lumbra,"Cali Y El Dandee",6806,https://open.spotify.com/track/6VHdcVbiKLYYOcMbIqBcuK
34,"Te Quiero Pa´Mi","Don Omar",6743,https://open.spotify.com/track/3BY2mafsbsoKGqS380Xnuz
35,Traicionera,"Sebastian Yatra",6659,https://open.spotify.com/track/5J1c3M4EldCfNxXwrwt8mT
36,"That's What I Like","Bruno Mars",6412,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
37,"Si Tu Novio Te Deja Sola","J Balvin",6358,https://open.spotify.com/track/0RFFFGtPn6a58RHY3ccVYX
38,"Chantaje (feat. Maluma)",Shakira,6225,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
39,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",6176,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
40,Safari,"J Balvin",6145,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO
41,"There's Nothing Holdin' Me Back","Shawn Mendes",6041,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
42,"Andas En Mi Cabeza","Chino & Nacho",6006,https://open.spotify.com/track/5mey7CLLuFToM2P68Qu1gF
43,"Vente Pa' Ca (feat. Maluma)","Ricky Martin",5920,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46
44,"It Ain't Me (with Selena Gomez)",Kygo,5532,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
45,"Chillax (feat. Ky-Mani Marley)",Farruko,5517,https://open.spotify.com/track/1lxswgIpzV6HhENRvkflES
46,"Something Just Like This","The Chainsmokers",5453,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
47,"Bailame Despacio",Xantos,5388,https://open.spotify.com/track/4OaTpLJIa2harufGxfOPUu
48,"I Feel It Coming","The Weeknd",5276,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
49,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled",5262,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
50,"Soy Peor","Bad Bunny",5200,https://open.spotify.com/track/5MT96Zz0ymUJNm8obKZQr0
51,"Let Me Love You","DJ Snake",5026,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
52,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris",4785,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
53,"Soy Peor Remix (feat. J Balvin, Ozuna & Arcangel)","Bad Bunny",4729,https://open.spotify.com/track/4UG962ViiLqoUyx0RjCcwP
54,"Quédate Conmigo","Chyno Miranda",4400,https://open.spotify.com/track/0a9b4sUavOWgyc9jeScv7Y
55,"Loca (feat. Cali y El Dandee)","Maite Perroni",4371,https://open.spotify.com/track/05ZXXyeZFhZtA6DAP3Aw7x
56,"Borro Cassette",Maluma,4316,https://open.spotify.com/track/6DUdDIRgLqCGq1DwkNWQTN
57,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Ozuna,4299,https://open.spotify.com/track/2FrnTVSHjgnEylKGdHRUK1
58,"Deja vu","Prince Royce",4207,https://open.spotify.com/track/46HdsiK0uR26B2dY9QPzda
59,"Ando buscando (feat. Piso 21)","Carlos Baute",4153,https://open.spotify.com/track/7BwJtE8KSbCQKOCTIAY3jX
60,"Dile Que Tu Me Quieres",Ozuna,4063,https://open.spotify.com/track/20ZAJdsKB5IGbGj4ilRt2o
61,Tuesday,"Burak Yeter",3965,https://open.spotify.com/track/7abpmGpF7PGep2rDU68GBR
62,Besame,Valentino,3922,https://open.spotify.com/track/7Ckhk1XW5NV2k4jpqtQNlz
63,"Slide (feat. Frank Ocean & Migos)","Calvin Harris",3879,https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl
64,"A Ella","KAROL G",3767,https://open.spotify.com/track/3nqrj9bM1clIkejk7BVPtX
65,"There for You","Martin Garrix",3763,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y
66,"Ya Me Enteré (feat. Nicky Jam) - Urban Version",Reik,3615,https://open.spotify.com/track/2SSYqDX8KTgy01NlqtUo0F
67,Believer,"Imagine Dragons",3591,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
68,"La Bicicleta","Carlos Vives",3558,https://open.spotify.com/track/0sXvAOmXgjR2QUqLK1MltU
