,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Felices los 4",Maluma,302355,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn
2,"Me Rehúso","Danny Ocean",289142,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
3,"Mala Mujer","C. Tangana",259516,https://open.spotify.com/track/6puxHBNwu2Nmm7uD3Rd2MP
4,"Hey DJ",CNCO,220615,https://open.spotify.com/track/209gZgcfLq2aUuu51vOWBl
5,"Me Enamoré",Shakira,206017,https://open.spotify.com/track/4qknM1pQz53QOyfDVTjcM9
6,"Despacito - Remix","Luis Fonsi",193243,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
7,"Shape of You","Ed Sheeran",182219,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
8,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",176930,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
9,"Ahora Dice","Chris Jeday",176599,https://open.spotify.com/track/22eADXu8DfOAUEDw4vU8qy
10,"Escápate Conmigo",Wisin,173566,https://open.spotify.com/track/2cnKEkpVUSV4wnjQiTWfH6
11,"Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version",Pitbull,171896,https://open.spotify.com/track/2Vdub5mY4lad7w64bFPUez
12,"SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox)","Enrique Iglesias",169026,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn
13,Bonita,"J Balvin",157500,https://open.spotify.com/track/693iqPOQvhI7PobtR8CC8v
14,"Una Lady Como Tú","Manuel Turizo",149050,https://open.spotify.com/track/7MHN1aCFtLXjownGhvEQlF
15,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",148252,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
16,"2U (feat. Justin Bieber)","David Guetta",147422,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M
17,Lumbra,"Cali Y El Dandee",144030,https://open.spotify.com/track/6VHdcVbiKLYYOcMbIqBcuK
18,"Kung Fu",Dasoul,141848,https://open.spotify.com/track/0B6GRS3vGtzu6w5BQXqWMq
19,Attention,"Charlie Puth",137567,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
20,"Tu Foto",Ozuna,137495,https://open.spotify.com/track/0Szp49tpFasIjX04Mcsydp
21,"La Rompe Corazones","Daddy Yankee",133834,https://open.spotify.com/track/4okba5wu9mMLXx79DXLKi3
22,"Mi Gente","J Balvin",129065,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
23,"El Amante","Nicky Jam",127211,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs
24,"Tú Me Obligaste","Antonio José",123926,https://open.spotify.com/track/2abUdU32h3kVukSQiohU6P
25,Báilame,Nacho,119113,https://open.spotify.com/track/7lRsNbdOGykkMAgsqs4R1C
26,"Me llamas (feat. Maluma) - Remix","Piso 21",117779,https://open.spotify.com/track/5hEM0JchdVzQ5PwvSfITeX
27,"Otra vez (feat. J Balvin)","Zion & Lennox",116672,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq
28,"Sigo Extrañándote","J Balvin",114822,https://open.spotify.com/track/6qDF4wWL49CAVbgT7yuHl8
29,"There's Nothing Holdin' Me Back","Shawn Mendes",111108,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
30,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled",110924,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
