,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Wild Thoughts (feat. Rihanna & Bryson Tiller)","DJ Khaled",668091,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
2,"Despacito - Remix","Luis Fonsi",649493,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
3,Unforgettable,"French Montana",499956,https://open.spotify.com/track/1F2HXIJrE2Xn81OzT2zZvW
4,Mama,"Jonas Blue",418572,https://open.spotify.com/track/4xlrALxuaCf9yZBHJeTSG6
5,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled",416470,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
6,"Strip That Down","Liam Payne",391168,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
7,"2U (feat. Justin Bieber)","David Guetta",371434,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M
8,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris",331201,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
9,"Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann",324129,https://open.spotify.com/track/1NDxZ7cFAo481dtYWdrUnR
10,Attention,"Charlie Puth",307179,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
11,"There's Nothing Holdin' Me Back","Shawn Mendes",297272,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
12,"Your Song","Rita Ora",294926,https://open.spotify.com/track/4c2W3VKsOFoIg2SFaO6DY5
13,Signs,Drake,280896,https://open.spotify.com/track/6Na5uKk5SsqZimk0hAWo8y
14,"Power (feat. Stormzy)","Little Mix",274482,https://open.spotify.com/track/4BJ5T8ZZZ3UrPG7k0OVQrp
15,"Did You See","J Hus",265478,https://open.spotify.com/track/6DXEZzM4wBa3EOl0NCNSvz
16,"Symphony (feat. Zara Larsson)","Clean Bandit",263858,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
17,"Slide (feat. Frank Ocean & Migos)","Calvin Harris",260509,https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl
18,"Shape of You","Ed Sheeran",257455,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
19,"Crying in the Club","Camila Cabello",254425,https://open.spotify.com/track/1SJtlNRJDeYHioymcvsqev
20,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",247970,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
21,"Slow Hands","Niall Horan",241242,https://open.spotify.com/track/167NczpNbRF7oWakJaY3Hh
22,"Came Here for Love",Sigala,238115,https://open.spotify.com/track/3kGfazcbVvVkuZunzlLgTD
23,Thunder,"Imagine Dragons",226955,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
24,"One Last Time","Ariana Grande",225093,https://open.spotify.com/track/7bJwvubZZaoGE1AGEfu8Fi
25,"Know No Better (feat. Travis Scott, Camila Cabello & Quavo)","Major Lazer",217857,https://open.spotify.com/track/3Ytr1SUCUi6J3L9dRFx5iH
26,Malibu,"Miley Cyrus",190451,https://open.spotify.com/track/2habSXqcJGExM6JJyskY7O
27,"Galway Girl","Ed Sheeran",188551,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
28,"XO TOUR Llif3","Lil Uzi Vert",186956,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq
29,"On My Mind",Disciples,182738,https://open.spotify.com/track/5Xc74Dn1ZKH6H8XaVGOHXG
30,HUMBLE.,"Kendrick Lamar",180381,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
31,"No Promises (feat. Demi Lovato)","Cheat Codes",170421,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW
32,"Mask Off",Future,169085,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
33,"There for You","Martin Garrix",166644,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y
34,"Cash Out (feat. ScHoolboy Q, PARTYNEXTDOOR & D.R.A.M.)","Calvin Harris",163167,https://open.spotify.com/track/0Ws8D3EWUDgY962Xftb0h5
35,"Solo Dance","Martin Jensen",161157,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
36,Places,"Martin Solveig",159775,https://open.spotify.com/track/6O85MfGECKBqAK2MgSbCaj
37,"Something Just Like This","The Chainsmokers",159208,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
38,"Bridge Over Troubled Water","Artists for Grenfell",158731,https://open.spotify.com/track/5y9VR6oWTFjtprI6Zia6aB
39,"Castle on the Hill","Ed Sheeran",157375,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
40,"That's What I Like","Bruno Mars",156758,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
41,"Bad Liar","Selena Gomez",156428,https://open.spotify.com/track/1sCxVKWImDZSZKvG0U9B23
42,Passionfruit,Drake,150679,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
43,Redbone,"Childish Gambino",149865,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y
