,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Lamborghini,"Guè Pequeno",290004,https://open.spotify.com/track/37DbCoArETu3xBSm5MT2o7
2,Scarafaggio,"Guè Pequeno",180956,https://open.spotify.com/track/18m8QymLrxz3Z11VYx30FH
3,Relaxxx,"Guè Pequeno",169962,https://open.spotify.com/track/6QOZTUnw9ACQG9dCCy2MMs
4,"Senza Pagare VS T-Pain (feat. T-Pain)",J-AX,148500,https://open.spotify.com/track/1ATWiuxpIc287Cynakx59C
5,Milionario,"Guè Pequeno",144288,https://open.spotify.com/track/1N0Gb7lGD5UNOU4QF7cfYC
6,"Mimmo Flow","Guè Pequeno",134884,https://open.spotify.com/track/3DkE6E3AHgbfM0iGrBr3Oo
7,Guersace,"Guè Pequeno",132986,https://open.spotify.com/track/07f2HejhuIzp37RK60brsJ
8,"Oro Giallo","Guè Pequeno",129463,https://open.spotify.com/track/3iZkuXeSMwfwayOHl6xXkV
9,Thunder,"Imagine Dragons",125386,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
10,"Tran Tran","Sfera Ebbasta",119014,https://open.spotify.com/track/1S2VLr8j9KVbroLn76RF4i
11,Pamplona,"Fabri Fibra",117714,https://open.spotify.com/track/3H452nrW7GsaU01lpfrQTf
12,"Happy Days",Ghali,110539,https://open.spotify.com/track/3FLp4tu69GLt0KPizUhFsU
13,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",108982,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
14,"Something Just Like This","The Chainsmokers",103703,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
15,Volare,"Fabio Rovazzi",101323,https://open.spotify.com/track/6wCjFS1rdcR9lNBgl4ba9o
16,"2U (feat. Justin Bieber)","David Guetta",98418,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M
17,"Shape of You","Ed Sheeran",98186,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
18,"La Malaeducazione","Guè Pequeno",97958,https://open.spotify.com/track/2Mh5RU2ftpZB70DD5RvNBu
19,"Voglio ballare con te (feat. Andrés Dvicio)","Baby K",93874,https://open.spotify.com/track/14KKXLz5WHrzGOMUNFV22H
20,Attention,"Charlie Puth",91896,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
21,"Scusate per il Disagio","Amedeo Preziosi",90744,https://open.spotify.com/track/5Sg8ZU4sLqsTOEd8PuGmvv
22,"Punto Su Di Te","Guè Pequeno",90367,https://open.spotify.com/track/43TkvktAli8gKdmMU2kxbo
23,"Symphony (feat. Zara Larsson)","Clean Bandit",89985,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
24,Believer,"Imagine Dragons",86322,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
25,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",85437,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
26,"Galway Girl","Ed Sheeran",81485,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
27,"There's Nothing Holdin' Me Back","Shawn Mendes",79544,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
28,"SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox)","Enrique Iglesias",78415,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn
29,T'Apposto,"Guè Pequeno",77030,https://open.spotify.com/track/5tNkGpBacmcfitMCxY1DzD
30,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled",76917,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
31,"Trentuno Giorni","Guè Pequeno",76578,https://open.spotify.com/track/1aKNoMFngbLCBOGZ2cdM5c
32,"No Lie","Sean Paul",76478,https://open.spotify.com/track/3cFsmM51N5zMAuu1nNY4Tw
33,"Yankee Candle","Vegas Jones",75425,https://open.spotify.com/track/0XEi8v2VUk6BCAiPZQXdeL
34,"Non Ci Sei Tu","Guè Pequeno",75295,https://open.spotify.com/track/4G3zjCGI7i4Dk4k438smIE
35,"La Mia Collana","Guè Pequeno",74930,https://open.spotify.com/track/390WVNPTl1MwLWibGe8wEO
36,"Cono Gelato","Dark Polo Gang",74083,https://open.spotify.com/track/4O9PDbnXU9SnqhPXBXYOnA
37,"Il Viola","Guè Pequeno",72090,https://open.spotify.com/track/1lJJ8jbu7wYGTy06in7Xcb
38,"More Than You Know","Axwell /\ Ingrosso",68713,https://open.spotify.com/track/4q8PHoRsPUB52LFylX8Ulz
39,"Ricchi Dentro",Ghali,67701,https://open.spotify.com/track/6QwcgyYWHB83EkUvz3XhDX
40,"There for You","Martin Garrix",64636,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y
41,Trinità,"Guè Pequeno",64544,https://open.spotify.com/track/5t5jXb3bzGae40RfMQI6Pb
42,OK,"Robin Schulz",64296,https://open.spotify.com/track/3bWAqKDWg6u1davspr5IkS
43,"Despacito - Remix","Luis Fonsi",63712,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
44,"Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann",62870,https://open.spotify.com/track/1NDxZ7cFAo481dtYWdrUnR
45,"Be Mine",Ofenbach,61833,https://open.spotify.com/track/2KklXplRtxMsBYo474Es0w
46,"Tra le granite e le granate","Francesco Gabbani",60177,https://open.spotify.com/track/5ZmsvSFpaDQ5JdKvVnJXs9
47,"You Don't Know Me","Jax Jones",59283,https://open.spotify.com/track/7M16mAuWuFA5rC9HvkXaGx
48,"Wild Thoughts (feat. Rihanna & Bryson Tiller)","DJ Khaled",58899,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
49,Mama,"Jonas Blue",58761,https://open.spotify.com/track/4xlrALxuaCf9yZBHJeTSG6
50,"It Ain't Me (with Selena Gomez)",Kygo,57710,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
51,Lento/Veloce,"Tiziano Ferro",55748,https://open.spotify.com/track/5kD9rjzQh9ofsB8404jIpl
52,"No Vacancy",OneRepublic,55024,https://open.spotify.com/track/6XOYVSmNDjKUNMXooU4s4z
53,"Stay (with Alessia Cara)",Zedd,54134,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
54,"El Amante","Nicky Jam",53700,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs
55,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",53699,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
56,"Strip That Down","Liam Payne",53352,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
57,"Allenamento #3","Capo Plaza",53021,https://open.spotify.com/track/3BIwsQMpPhXc2FTzgiUVYn
58,"Milionario - Spanish Edit","Guè Pequeno",52993,https://open.spotify.com/track/1X4bRdi8Ex9g6pqpzruxHv
59,"El Party","Jake La Furia",52471,https://open.spotify.com/track/5xyExId5XWZplBvjmbIuy6
60,"Know No Better (feat. Travis Scott, Camila Cabello & Quavo)","Major Lazer",51948,https://open.spotify.com/track/3Ytr1SUCUi6J3L9dRFx5iH
61,"Caramelle (feat. Peachwalnut)","Dark Polo Gang",50960,https://open.spotify.com/track/23mnLiduJ9u9wBEYYOUQRo
62,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris",46280,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
63,"Allenamento #2","Capo Plaza",45866,https://open.spotify.com/track/1FDtcvnTZvbwMFxn5SRFHN
