,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Beetje Moe",Kevin,259267,https://open.spotify.com/track/1wcxPF6j5cFYKZbJFm3PQp
2,"Non Stop","Ronnie Flex",242161,https://open.spotify.com/track/73mCHQiEZ8ljealH38vvVH
3,"Wat Is Love","Ronnie Flex",209068,https://open.spotify.com/track/7z2Z7umksOctXzjfHWODQI
4,"God's Plan",Drake,208838,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
5,"Catch Up",Josylvio,201130,https://open.spotify.com/track/4SVyCjWq4y09yfjluEDmJf
6,Fan,"Ronnie Flex",186071,https://open.spotify.com/track/49G1QitwJ7FLFqUS8b9Onp
7,"Lil Craney","Kraantje Pappie",184207,https://open.spotify.com/track/6mhojtIauujcoXxlGsihh1
8,FRIENDS,Marshmello,180714,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
9,Bandolero,"Mula B",155404,https://open.spotify.com/track/4Du0v6mNyVjT3o2L3OsRVl
10,"2 Cups","Ronnie Flex",153259,https://open.spotify.com/track/3DdwVor6LVg1jnjqnMksoJ
11,Machine,SFB,150588,https://open.spotify.com/track/0WuY11hkyujNJDiNvwVjzW
12,"The Middle",Zedd,143480,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
13,IDGAF,"Dua Lipa",134123,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
14,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,132936,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
15,"In My Blood","Shawn Mendes",132512,https://open.spotify.com/track/79jX8RM5CgPqDKdGEKNW9K
16,"Psycho (feat. Ty Dolla $ign)","Post Malone",127935,https://open.spotify.com/track/65NwOZqoXny4JxqAPlfxRF
17,X,"Nicky Jam",121655,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
18,"Love Lies (with Normani)",Khalid,121090,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
19,"Slow Down","Dimitri Vegas & Like Mike",118333,https://open.spotify.com/track/52pYYuXAin5eK1vrrpVtYg
20,"Like I Do","David Guetta",116746,https://open.spotify.com/track/6RnkFd8Fqqgk1Uni8RgqCQ
21,Saus,"Ronnie Flex",108235,https://open.spotify.com/track/4dBmbuWzJ7WMOvxOR9Sxii
22,"Blijf Bij Mij","Ronnie Flex",106293,https://open.spotify.com/track/7EyvmcYx7WzeBi2cY9RmIi
23,Rich,Josylvio,101649,https://open.spotify.com/track/2vlcaDETswV46y1yA6exWj
24,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",101639,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
25,JA!,Bizzey,100780,https://open.spotify.com/track/6k6bQGKTMazxhXmzakPb5Q
26,"One Time",SFB,99711,https://open.spotify.com/track/6yCcR2dLHJF11tJtOJv2pU
27,"Ik Zou Niet Weten","Ronnie Flex",97809,https://open.spotify.com/track/4KGFEwSoqhTCRJWY4KHOrn
28,Skiemen,Josylvio,96442,https://open.spotify.com/track/58T9kXiPjzyGEp4SmjszGC
29,Zoutelande,BLØF,95978,https://open.spotify.com/track/1dCaSvUR92UgJZwmNxnqZV
30,"Say Something (feat. Chris Stapleton)","Justin Timberlake",94371,https://open.spotify.com/track/1LhMopPAallLeaeNutqbgS
31,Loco,"Yung Felix",93928,https://open.spotify.com/track/0DCxNJg7yquzAHORClrP3e
32,100,"Ronnie Flex",92723,https://open.spotify.com/track/0u180MjRHLhdWNcEsrIZYd
33,"Sick Boy","The Chainsmokers",92286,https://open.spotify.com/track/2JfXj2TERIkHwJpnG9f8uX
34,Atletiek,"Ronnie Flex",91940,https://open.spotify.com/track/5q5YLRG3vCf0i2dTwP9e4m
35,WOW,"Ronnie Flex",90335,https://open.spotify.com/track/62clKutKYiOrjlWWMrbas9
36,EWA,Bizzey,87553,https://open.spotify.com/track/5APk8dXNf2EN1bc34Tv46C
37,"Mad Love","Sean Paul",86443,https://open.spotify.com/track/3soOPBuMK8YMdWnV7xpEyf
38,SAD!,XXXTENTACION,84278,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
39,NORI,"Ronnie Flex",81137,https://open.spotify.com/track/7LEazlZGGKQXvXAI6HL1ak
40,"All Falls Down (feat. Juliander)","Alan Walker",79141,https://open.spotify.com/track/5yFSF6qQA1rcLsQRnBsZgb
41,Homesick,"Dua Lipa",75884,https://open.spotify.com/track/5E5MqaS6eOsbaJibl3YeMZ
42,"Havana (feat. Young Thug)","Camila Cabello",75861,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
43,"Op Je Hoede",Josylvio,75767,https://open.spotify.com/track/3sEwzhkrXeMqLVeIyTFHU7
44,4/5,"Ronnie Flex",75554,https://open.spotify.com/track/5sQtI0CA07tNO3Uefwrh16
45,Geekin’,"Ronnie Flex",74814,https://open.spotify.com/track/5rWNdg2VZS50MsR39Httc9
46,"Échame La Culpa","Luis Fonsi",74717,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK
47,"All The Stars (with SZA)","Kendrick Lamar",72404,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
48,"Lost In Japan","Shawn Mendes",70593,https://open.spotify.com/track/7wvYmO5QscgIDDT0eNwbYX
49,Batman,"Ronnie Flex",64615,https://open.spotify.com/track/5iQ0YiTAHeUUkNYIo0NGqy
50,Mine,Bazzi,63996,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
51,"Finesse - Remix; feat. Cardi B","Bruno Mars",63580,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
52,Dura,"Daddy Yankee",60456,https://open.spotify.com/track/2j2fIJGh4PMdXt9ULI5Tlc
53,"Freaky Friday (feat. Chris Brown)","Lil Dicky",59566,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
54,"Look Alive (feat. Drake)","BlocBoy JB",58513,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
55,Breathe,"Jax Jones",58481,https://open.spotify.com/track/6tvQzeCPwOytDlBYCIOY0n
56,Heaven,"Julia Michaels",56505,https://open.spotify.com/track/4QfNOZN7vrQCQKK1ZJ3XPb
57,Dreamer,"Axwell /\ Ingrosso",56315,https://open.spotify.com/track/7hvxMYq9JW5W0vFwiu1Zdr
58,"River (feat. Ed Sheeran)",Eminem,56252,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
59,"I Miss You (feat. Julia Michaels)","Clean Bandit",54755,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL
60,"For You (Fifty Shades Freed) (& Rita Ora)","Liam Payne",52745,https://open.spotify.com/track/5hM6sP0Gh1jD57drszNueC
61,"Kan Niet Kiezen","Ronnie Flex",51719,https://open.spotify.com/track/1lP90zqLPZQCjQ4zHAKdsh
62,Crazy,"Lost Frequencies",51515,https://open.spotify.com/track/1ZtEZjYb4e0V0gqwRYeeAY
63,"4/5 - From “Patser""","Ronnie Flex",51513,https://open.spotify.com/track/7cAxokBbnclXF6skY38Nd9
64,rockstar,"Post Malone",50147,https://open.spotify.com/track/2U7Hu2RaNQNRi7izoJyZaX
65,"So Far Away (feat. Jamie Scott & Romy Dya)","Martin Garrix",50031,https://open.spotify.com/track/0OlnLZY4cmQzT6ZGttvWBM
66,Coño,Puri,49735,https://open.spotify.com/track/7tXCV0UwFwBxqum6i25you
67,ANTWOORD,Boef,48969,https://open.spotify.com/track/3n4rJo2yCVGLEfoJxPBrwI
68,"Let You Down",NF,48722,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
69,Anywhere,"Rita Ora",48507,https://open.spotify.com/track/7EI6Iki24tBHAMxtb4xQN2
70,Officieel,Broederliefde,48319,https://open.spotify.com/track/3e0gMtgOOLGPFLzPWR7xzb
71,"Never Be the Same","Camila Cabello",47812,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
72,Wolves,"Selena Gomez",46734,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
73,Perfect,"Ed Sheeran",46440,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
74,"1 Op Jou",Sjaak,46050,https://open.spotify.com/track/0r6Z3rpHvZJCGP7EVEzsoN
75,Mamacita,Leafs,45404,https://open.spotify.com/track/5vHoK2rfXUTECtP7YHoEOu
76,"Skittle Stacking",Josylvio,45346,https://open.spotify.com/track/5JDSqkgzJyhmuuBUkjzzrA
77,"Does It Matter",Janieck,44906,https://open.spotify.com/track/7FxidSR6IoL3qMRXxFJ8pd
78,"New Rules","Dua Lipa",44112,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
79,Stargazing,Kygo,43868,https://open.spotify.com/track/0Zbbxnx4SGGHoIow4PpISP
80,"Remind Me to Forget",Kygo,43831,https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80
