,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Te Boté - Remix","Nio Garcia",169935,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
2,"Sin Pijama","Becky G",148465,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
3,X,"Nicky Jam",112988,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
4,Dimelo,"Paulo Londra",112888,https://open.spotify.com/track/3uwehoqKSQLa5lFFvIX6M3
5,"Me Niego (feat. Ozuna & Wisin)",Reik,110693,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
6,"Mi Cama","KAROL G",105579,https://open.spotify.com/track/7sFYVcKSb24qg0dAkqLEFj
7,"Toda - Remix","Alex Rose",103000,https://open.spotify.com/track/7nD2JPaxIKUdxd2UWgnaGL
8,Bufón,"Lit Killah",99851,https://open.spotify.com/track/6ovp1nCwIAOSMotiCF7pjk
9,"Madura (feat. Bad Bunny)",Cosculluela,99106,https://open.spotify.com/track/0r9d60ZYPAlFHq8qnUtkXN
10,"Te Amo","Piso 21",92293,https://open.spotify.com/track/2RVrdr062uLFxXwIxwdXPH
11,"Dura - Remix","Daddy Yankee",85601,https://open.spotify.com/track/6U2NuJILEOEpW2tVCuqKHb
12,"Nena Maldicion (feat. Lenny Tavarez)","Paulo Londra",85509,https://open.spotify.com/track/3TnhQSRwT3AVMdXw5JPq0x
13,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes",78363,https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b
14,Unica,Ozuna,78138,https://open.spotify.com/track/6752EZMgXswvRBH3N2PilO
15,"La player (Bandolera)","Zion & Lennox",74351,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP
16,Perdóname,FMK,73156,https://open.spotify.com/track/4Uy3Q3h0VbWWyyiB1MmRoP
17,Ferrari,Duki,70302,https://open.spotify.com/track/1YIqazOPARc41ThBqS7a8F
18,"Hijo De La Noche",Duki,69964,https://open.spotify.com/track/2p1AlnJxp15v7ohNuLwjbl
19,"Como Le Digo",KHEA,67928,https://open.spotify.com/track/2fxJDRmUMatqyZ6ZOQi7RD
20,"Bella - Remix",Wolfine,65406,https://open.spotify.com/track/0SaYeGhSXN0dDWstyNTQ56
21,"Por Perro","Sebastian Yatra",64501,https://open.spotify.com/track/2alIsNw1mqEShbWyO1HXZZ
22,"No Hay Nadie Más","Sebastian Yatra",64425,https://open.spotify.com/track/3IPJg1sdqLj12kFIndaonN
23,"Síguelo Bailando",Ozuna,62015,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz
24,"El Préstamo",Maluma,60683,https://open.spotify.com/track/2XVilv6s9GETnw9PG4T9Mz
25,"I Like It","Cardi B",58797,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
26,Ambiente,"J Balvin",57878,https://open.spotify.com/track/6VrBWh90BiwWmwKtvwWFcq
27,Besame,Bhavi,55324,https://open.spotify.com/track/656wIOnR8PkaTASJAjd1pH
28,"Mi Cubana Remix","Eladio Carrion",52703,https://open.spotify.com/track/0Th8lfTKVv32mZgXtGOxcd
29,"Loca Remix",KHEA,52014,https://open.spotify.com/track/2CRbiMK0W14l71SpDKqKZM
30,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",51988,https://open.spotify.com/track/1j6xOGusnyXq3l6IryKF3G
31,"El Clavo (feat. Maluma) - Remix","Prince Royce",50892,https://open.spotify.com/track/6bI00brFpeprqCDqKouEJS
32,Piso,"Mueva Records",50674,https://open.spotify.com/track/42Lf4QlvHCXrIZOPuUOeGC
33,"Jocelyn Flores",XXXTENTACION,49317,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
34,M.I.A,"Khea;Omar Varela",49215,https://open.spotify.com/track/5eBAi26nr0KPcO3ko2hvLN
35,Vete,KHEA,47963,https://open.spotify.com/track/2rZB6indPhp8C5AZK1PpkS
36,SAD!,XXXTENTACION,47913,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
37,"No Es Justo","J Balvin",47228,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
