,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Berlin lebt","Capital Bra",25290,https://open.spotify.com/track/1zl1smQ584EZKCfLVeYWNq
2,"Kennzeichen B-TK","Capital Bra",22722,https://open.spotify.com/track/4kAIdBQEmb1M9ryd9tNSCD
3,Neymar,"Capital Bra",22491,https://open.spotify.com/track/7ecGSqT8Ulbzhs5QwgWGVN
4,Casanova,"Summer Cem",21072,https://open.spotify.com/track/35lIK2q78MSgv3Abb4qAjk
5,SAD!,XXXTENTACION,21027,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
6,"One Night Stand","Capital Bra",20903,https://open.spotify.com/track/3AXtDUSO78KrGa9Rq8rWUS
7,"Solo (feat. Demi Lovato)","Clean Bandit",20538,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
8,Nevermind,"Dennis Lloyd",17191,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
9,"Toto (feat. RAF Camora)",Noizy,16851,https://open.spotify.com/track/1fyvQWmRbW81M0xXKI1Rrk
10,"One Kiss (with Dua Lipa)","Calvin Harris",16639,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
11,"Better Now","Post Malone",15937,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
12,"Wann dann","Capital Bra",15163,https://open.spotify.com/track/3LMQL9CSxvUP2m8FeFszP6
13,"Girls Like You (feat. Cardi B)","Maroon 5",14591,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
14,changes,XXXTENTACION,14490,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
15,Moonlight,XXXTENTACION,14364,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
16,"Back To You","Selena Gomez",14300,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
17,Sonnenbrille,Loredana,13522,https://open.spotify.com/track/14kafeLy8vQRvGhA9nQnC8
18,"Jocelyn Flores",XXXTENTACION,13179,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
19,"Giselle Bündchen","Capital Bra",12759,https://open.spotify.com/track/3twi0u2fGElT0lpimmK77i
20,"5 Songs in einer Nacht","Capital Bra",12579,https://open.spotify.com/track/72gemWtPeCOrRnX4PhjNNk
21,"I Like It","Cardi B",12460,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
22,"Taste (feat. Offset)",Tyga,11749,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
23,"Lucid Dreams","Juice WRLD",11541,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
24,Darby,"Capital Bra",11435,https://open.spotify.com/track/5MXSHFzhc0BPaKW0gTbuyq
25,Youngblood,"5 Seconds of Summer",11174,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
26,"Gutes Herz","Capital Bra",11133,https://open.spotify.com/track/6gXPVXUTCVbY0uF8rs2SZL
27,Rise,"Jonas Blue",10894,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
28,"Born To Be Yours",Kygo,10843,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
29,"Jackie Chan",Tiësto,10396,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
30,"Panzer, Tiger","Capital Bra",10325,https://open.spotify.com/track/0IbCCL0xQJ0xGq3TPHS6aW
31,"La Cintura","Alvaro Soler",10232,https://open.spotify.com/track/19MBk3PbNFE36wqIqkMq9H
