,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Ao Vivo E A Cores","Matheus & Kauan",530386,https://open.spotify.com/track/2Ab1wPTEqulaCGoBak1gUo
2,"Propaganda - Ao Vivo","Jorge & Mateus",409947,https://open.spotify.com/track/74n5d5M21JnC4WJ6gdkggK
3,"Jogo do Amor","MC Bruninho",400211,https://open.spotify.com/track/3MxbRHE1u74SoMNR9iURIZ
4,"Amor de Verdade","MC Kekel",382302,https://open.spotify.com/track/76KDy62J99FKu6ZsxMJy3j
5,"Amor Falso","Aldair Playboy",374595,https://open.spotify.com/track/00zzSEe82JTtz68XlARnh7
6,"Din Din Din (Participação especial de MC Pupio e MC Doguinha)",Ludmilla,372339,https://open.spotify.com/track/78Q2gghkt8iLJ7J0Uc4QYb
7,"Romance Com Safadeza","Wesley Safadão",359284,https://open.spotify.com/track/0RBOFW5424gCCCZrgECbt6
8,"Largado Às Traças - Ao Vivo","Zé Neto & Cristiano",333991,https://open.spotify.com/track/1IJH7QjV5V99eJBtKXqGXE
9,Fuleragem,"MC WM",306358,https://open.spotify.com/track/6tuzPD1zPPvwMbGiD0TBay
10,"Só Quer Vrau","MC MM",299253,https://open.spotify.com/track/68uKHxQzoY6gd7YSKJf21J
11,"A Culpa É Dele - Ao Vivo | Acústico","Marília Mendonça",298898,https://open.spotify.com/track/6yxYagNp6Gapd7jXmWzgVc
12,"O Sol","Vitor Kley",277880,https://open.spotify.com/track/3IfctMaf2sfvlSLRa42Cna
13,"Anti-Amor - Ao Vivo","Gustavo Mioto",259443,https://open.spotify.com/track/7JdZZfozlODQ08ATf8xIZ6
14,"Ta Tum Tum","MC Kevinho",253050,https://open.spotify.com/track/6etab3UBCo5GOTMZqUvRka
15,"Coladinha em Mim - Ao Vivo","Gustavo Mioto",230635,https://open.spotify.com/track/4JPSfCXQe6kDliMIJTqISW
16,"Tô Com Moral No Céu! - Ao Vivo","Matheus & Kauan",228998,https://open.spotify.com/track/0uwaiApk6k7k9POyFjTKeR
17,"Amor Da Sua Cama","Felipe Araújo",227957,https://open.spotify.com/track/2cwFhwT6L2D4Olc25nhyZo
18,"Apelido Carinhoso","Gusttavo Lima",222107,https://open.spotify.com/track/6wXYGqXCLtEHx4VDb2TPcM
19,"Baianá (feat. Barbatuques & Foreign)",Alok,221828,https://open.spotify.com/track/7gBVJf7qn3rTkQxlQ1nNeS
20,"Pirata e tesouro - Ao vivo",Ferrugem,219342,https://open.spotify.com/track/3Cabw7y9EoR68v7dBS76HQ
21,Indecente,Anitta,217026,https://open.spotify.com/track/5FOCkGt7bp22nBVfQ4WSIT
22,"Meu Abrigo",Melim,215913,https://open.spotify.com/track/5U28PY9MekLyCBYtLHGQpe
23,"Mundo de Ilusões - Ao Vivo","Gusttavo Lima",209538,https://open.spotify.com/track/3UxbT06Mz8aTJbHYYIxwkI
24,"Trincadinho - Ao Vivo","Jorge & Mateus",207517,https://open.spotify.com/track/5qjMyKkmosPBws5cImS9Zz
25,"Status Que Eu Não Queria - Ao Vivo","Zé Neto & Cristiano",205319,https://open.spotify.com/track/1fyhyOy6iS9E2NckAzjmTo
26,"Cerveja De Garrafa (Fumaça Que Eu Faço) - Ao Vivo","Atitude 67",199467,https://open.spotify.com/track/2PADJK4rhdklqFLQFa5oMX
27,Ocean,Alok,198370,https://open.spotify.com/track/4nraNqonMyfc0U3o8VeXVu
28,"Bom Rapaz (feat. Jorge & Mateus) - Ao Vivo","Fernando & Sorocaba",189828,https://open.spotify.com/track/5Zha6IxtfsLjqLYndyWcER
29,"Deixe Me Ir - Acústico",1Kilo,188396,https://open.spotify.com/track/2srL4DYBekshpbprS6H0mO
30,Papum,"MC Kevinho",173092,https://open.spotify.com/track/5tNnnptCfuLXLHnDqrL9ku
31,"Vai malandra (feat. Tropkillaz & DJ Yuri Martins)",Anitta,161467,https://open.spotify.com/track/6u0EAxf1OJTLS7CvInuNd7
32,"Largado As Traças - Acústico","Zé Neto & Cristiano",158256,https://open.spotify.com/track/74gguwbBvfBTurNJUWFOsC
33,"Me Solta","Nego do Borel",157059,https://open.spotify.com/track/5nqehpNGoRAz4wUFK3wT9k
34,"Bilhete 2.0",Rashid,145932,https://open.spotify.com/track/4eizL2CPEy9lFUZw7HBKrk
35,"One Kiss (with Dua Lipa)","Calvin Harris",142269,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
36,"Dona Maria","Thiago Brava",140656,https://open.spotify.com/track/0dGqIEsFN3KakdPCMkgjre
37,SAD!,XXXTENTACION,137619,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
38,"no tears left to cry","Ariana Grande",133608,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
39,"Pega a Receita","MC Dede",132823,https://open.spotify.com/track/0nlFCC2xIQqUJpuQIVPl7S
40,"Acabou Acabou (Quando Eu Digo Que Acabou) - Ao Vivo","Gabriel Diniz",132168,https://open.spotify.com/track/66wtCJjGr2mE6lLaLwkj6i
41,"Bonita, Lindinha e Sagaz","Mc Davi",131318,https://open.spotify.com/track/1R1HmdunvOnEK4bibKp7q5
42,"O Alvo (feat. Henrique & Juliano) - Ao Vivo","Diego & Victor Hugo",130364,https://open.spotify.com/track/5Vw6ZLNB6Ko7VZM6vmNIbr
43,X,"Nicky Jam",128898,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
44,"Troféu do Ano","Jerry Smith",128269,https://open.spotify.com/track/7CtFr21TzdM4ntuBkwzpxg
45,"God's Plan",Drake,127773,https://open.spotify.com/track/6T8cJz5lAqGer9GUHGyelE
46,"Ausência - Ao Vivo | Acústico","Marília Mendonça",126309,https://open.spotify.com/track/5czCFvsdcKKkWdwT2AAAZC
47,"Girls Like You (feat. Cardi B)","Maroon 5",125139,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
48,Loko,Tropkillaz,123684,https://open.spotify.com/track/3gIJtSoFovsYGlVVPpWjRp
49,"De Trás Pra Frente - Ao Vivo","Henrique & Juliano",123257,https://open.spotify.com/track/2x67AU9q3lf7cfPSzxCDsL
