,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Te Boté - Remix","Nio Garcia",193026,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
2,"Sin Pijama","Becky G",165098,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
3,"La player (Bandolera)","Zion & Lennox",162902,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP
4,"No Es Justo","J Balvin",137149,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
5,"Por Perro","Sebastian Yatra",133615,https://open.spotify.com/track/2alIsNw1mqEShbWyO1HXZZ
6,X,"Nicky Jam",128886,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
7,"Me Niego (feat. Ozuna & Wisin)",Reik,126633,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
8,"Dura - Remix","Daddy Yankee",121556,https://open.spotify.com/track/6U2NuJILEOEpW2tVCuqKHb
9,"Madura (feat. Bad Bunny)",Cosculluela,120339,https://open.spotify.com/track/0r9d60ZYPAlFHq8qnUtkXN
10,"Duro y Suave","Leslie Grace",112051,https://open.spotify.com/track/31M5m42C3EGlbydf9XB5to
11,Asesina,Brytiago,110568,https://open.spotify.com/track/6rbhaJsE4uLzpPf8WYSHDK
12,Unica,Ozuna,105000,https://open.spotify.com/track/6752EZMgXswvRBH3N2PilO
13,"Mi Cama","KAROL G",99912,https://open.spotify.com/track/7sFYVcKSb24qg0dAkqLEFj
14,"Toda - Remix","Alex Rose",85917,https://open.spotify.com/track/7nD2JPaxIKUdxd2UWgnaGL
15,"Síguelo Bailando",Ozuna,83806,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz
16,Dembow,"Danny Ocean",81164,https://open.spotify.com/track/2EzRdhuoPyNJDlep7lnNf2
17,"Bella - Remix",Wolfine,79450,https://open.spotify.com/track/0SaYeGhSXN0dDWstyNTQ56
18,"Te Amo","Piso 21",78781,https://open.spotify.com/track/2RVrdr062uLFxXwIxwdXPH
19,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",77948,https://open.spotify.com/track/1j6xOGusnyXq3l6IryKF3G
20,"No Quiero Amarte (feat. Zion & Lennox)","Justin Quiles",75614,https://open.spotify.com/track/5bITfqKGaPakO1l99hOMsI
21,"No Es Real",Cami,75607,https://open.spotify.com/track/1MinRPeRKZONS8Zoo9jjEg
22,"Zum Zum","Daddy Yankee",74370,https://open.spotify.com/track/7lEhOiFtcLXY4P7cuTKuQ8
23,"Jocelyn Flores",XXXTENTACION,73633,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
24,"Nena Maldicion (feat. Lenny Tavarez)","Paulo Londra",71256,https://open.spotify.com/track/3TnhQSRwT3AVMdXw5JPq0x
25,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes",69205,https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b
26,"I Like It","Cardi B",69042,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
27,Bipolar,"Chris Jedi",66386,https://open.spotify.com/track/4WzsycqZkpkS48H9AAAGux
28,"Loca Remix",KHEA,65227,https://open.spotify.com/track/2CRbiMK0W14l71SpDKqKZM
29,Ambiente,"J Balvin",62292,https://open.spotify.com/track/6VrBWh90BiwWmwKtvwWFcq
30,"El Préstamo",Maluma,62102,https://open.spotify.com/track/2XVilv6s9GETnw9PG4T9Mz
31,"El Clavo (feat. Maluma) - Remix","Prince Royce",55546,https://open.spotify.com/track/6bI00brFpeprqCDqKouEJS
32,"One Kiss (with Dua Lipa)","Calvin Harris",55153,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
33,"El Farsante - Remix",Ozuna,54985,https://open.spotify.com/track/7uYgVgRSgqluZclLS7wpp4
34,SAD!,XXXTENTACION,54849,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
35,"No Hay Nadie Más","Sebastian Yatra",54316,https://open.spotify.com/track/3IPJg1sdqLj12kFIndaonN
36,Solita,Ozuna,54135,https://open.spotify.com/track/7rwX0O3RlxqqIjQM8evm5E
37,"A Partir De Hoy","David Bisbal",54060,https://open.spotify.com/track/1FMNuRMIcPD6PDQGoi5Ifn
38,Criminal,"Natti Natasha",48248,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C
39,Abrázame,Cami,48119,https://open.spotify.com/track/1I8LCDxPanFo2hfv0oObPK
40,"Querida Rosa",Cami,47814,https://open.spotify.com/track/6wBrZZ1LyiBxytLnpgnlhf
41,Esperándote,"Manuel Turizo",47238,https://open.spotify.com/track/1nfyE13arjOuO54HH0zmqj
42,Sensualidad,"Bad Bunny",47225,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw
43,"No Me Acuerdo",Thalia,46736,https://open.spotify.com/track/00EPIEnX1JFjff8sC6bccd
44,"Quiero Repetir",Ozuna,42821,https://open.spotify.com/track/0MIcPSq9n2z5H8TAfEstri
45,Ahora,"J Balvin",41315,https://open.spotify.com/track/2yBWnRKj0Zx7AF1kufajvW
46,Dimelo,"Paulo Londra",41203,https://open.spotify.com/track/3uwehoqKSQLa5lFFvIX6M3
47,"Me Rehúso","Danny Ocean",41167,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
48,Clandestino,Shakira,41165,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
49,"Corazón (feat. Nego do Borel)",Maluma,40682,https://open.spotify.com/track/5cepAtqnEQ6yVG6088zMMu
50,Amorfoda,"Bad Bunny",40087,https://open.spotify.com/track/3ITvHA9zhZZdBJsOsAUegF
51,Bella,Wolfine,39388,https://open.spotify.com/track/3xcCix7Jv1Rp90YVmgo35D
52,Moonlight,XXXTENTACION,38055,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
53,"Pa Callar Tus Penas",Cami,36478,https://open.spotify.com/track/3S29OviwTGF2T4Goi1kbTk
54,"Échame La Culpa","Luis Fonsi",35620,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK
