,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Clubbed Up",ClubDub;Ra:tio,7784,https://open.spotify.com/track/44W4kdPFIt6tRy4cw1mUA6
2,"Í Átt Að Tunglinu",JóiPé,6739,https://open.spotify.com/track/4wBY9TNUoxtKiRh4JjAS7x
3,SAD!,XXXTENTACION,6455,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
4,Party,Floni,6240,https://open.spotify.com/track/7n1zPrqGyMqNIpzFb9y1wC
5,"Lucid Dreams","Juice WRLD",5845,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
6,Heimaey,"Friðrik Dór",5340,https://open.spotify.com/track/2nTC8shptYGD61YGUX6loJ
7,"Á sama tíma, á sama stað","Friðrik Dór",5185,https://open.spotify.com/track/1fhIiRojcUDnYk5NLGlnYL
8,Þráhyggja,JóiPé,5166,https://open.spotify.com/track/1jgN7Uraxy2UgwAsGm5yo0
9,"Solo (feat. Demi Lovato)","Clean Bandit",5102,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
10,"Better Now","Post Malone",5030,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
11,"Jocelyn Flores",XXXTENTACION,4924,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
12,"One Kiss (with Dua Lipa)","Calvin Harris",4890,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
13,Moonlight,XXXTENTACION,4808,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
14,"I Like It","Cardi B",4472,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
15,"Lætur mig",GDRN,4201,https://open.spotify.com/track/2KYb2d7YH7cVuzKmmI3uBS
16,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",3887,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
17,changes,XXXTENTACION,3871,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
18,"All Mine","Kanye West",3862,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF
19,"no tears left to cry","Ariana Grande",3705,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
20,"Aldrei Heim","Aron Can",3616,https://open.spotify.com/track/7DqZo3cXlPZRxdQcDu56mw
21,"Girls Like You (feat. Cardi B)","Maroon 5",3521,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
22,"Taste (feat. Offset)",Tyga,3512,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
23,"Back To You","Selena Gomez",3151,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
24,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,2971,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
25,"Nice For What",Drake,2961,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
26,"Dúfan mín (feat. Birnir)","Logi Pedro",2913,https://open.spotify.com/track/23aoHLxcussReeVkhPXr8f
27,"Drykk 3x",ClubDub,2909,https://open.spotify.com/track/7yKebrMVwiRrGvrEkqRgp7
28,"Everybody Dies In Their Nightmares",XXXTENTACION,2720,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
29,"Jackie Chan",Tiësto,2615,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
30,Youngblood,"5 Seconds of Summer",2581,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
31,"Sósa (feat. Aron Can)",JóiPé,2568,https://open.spotify.com/track/23mSS5VRynhYRs5TKOkoe5
32,"Ungir Strákar - Deep Mix",Floni,2563,https://open.spotify.com/track/5q4wkqDLqnvPy1nMrOvRz7
33,"the remedy for a broken heart (why am I so in love)",XXXTENTACION,2555,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
34,"Nei við því","Aron Can",2526,https://open.spotify.com/track/0SqTInI9z20BJoMqGjlZbZ
35,"This Is America","Childish Gambino",2508,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
36,C3po,ClubDub;Ra:tio,2499,https://open.spotify.com/track/3W2KhWpNoJ1DZOdGGsMYeq
37,"Út í geim",Birnir,2466,https://open.spotify.com/track/7nZ1rqv1zdUrQwxZxemCmn
38,Flames,"David Guetta",2370,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
39,"Bed (feat. Ariana Grande)","Nicki Minaj",2198,https://open.spotify.com/track/1ZEm9cJC05rawV2tptNfTS
40,"Look Alive (feat. Drake)","BlocBoy JB",2161,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
41,Efast,JóiPé,2160,https://open.spotify.com/track/19CXlWSSQNtPAJP310krkV
42,"lovely (with Khalid)","Billie Eilish",2110,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
43,"Shoutout á Mig","Herra Hnetusmjör",2084,https://open.spotify.com/track/0DiLnys9FGmvPpOHlf6PPb
44,"Ertugeim (feat. Floni)","Logi Pedro",2057,https://open.spotify.com/track/6BBCkSOAM3cOrlDJypL3cV
45,Fuego,"Eleni Foureira",2018,https://open.spotify.com/track/4TwWOcvjY1qt3QJvtveAGm
46,NUMB,XXXTENTACION,2018,https://open.spotify.com/track/01TnVDiet1DFTsyWKUKovl
47,Hope,XXXTENTACION,2010,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah
48,APESHIT,"The Carters",1989,https://open.spotify.com/track/0E6PsO3ymCfUh7pJQjBgkj
49,Reborn,"KIDS SEE GHOSTS",1973,https://open.spotify.com/track/4RVbK6cV0VqWdpCDcx3hiT
50,"Look At Me!",XXXTENTACION,1970,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
51,"Já ég veit",Birnir,1825,https://open.spotify.com/track/6XSYMtvkAuRdnQm0F7i3Bq
52,"rockstar (feat. 21 Savage)","Post Malone",1814,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
53,"Psycho (feat. Ty Dolla $ign)","Post Malone",1741,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
54,Nevermind,"Dennis Lloyd",1717,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
55,"God's Plan",Drake,1713,https://open.spotify.com/track/6T8cJz5lAqGer9GUHGyelE
56,"Ocean (feat. Khalid)","Martin Garrix",1677,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
57,FRIENDS,Marshmello,1663,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
58,"Ghost Town","Kanye West",1644,https://open.spotify.com/track/6Bg7MznA9X0dIhlAsLyBYj
59,Lágmúlinn,"Emmsjé Gauti",1594,https://open.spotify.com/track/7xlyMbtloqJFYCKXZSY64X
60,"Freaky Friday (feat. Chris Brown)","Lil Dicky",1579,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
61,Fýlaða,Svanur,1560,https://open.spotify.com/track/4sqD9XT0PJeBE7J38EaKAB
62,"In My Blood","Shawn Mendes",1542,https://open.spotify.com/track/21YnmkSDhUkmkkni22Svc4
63,"All Girls Are The Same","Juice WRLD",1494,https://open.spotify.com/track/3H2JThgdBxezwj1wwafQS8
64,"Sjúkir Í Mig (feat. Emmsjé Gauti)",JóiPé,1489,https://open.spotify.com/track/010Wcwm7AFPRfToQWdmk3l
65,"Start Again (feat. Logic)",OneRepublic,1447,https://open.spotify.com/track/1Nj2oBISdFDSF8eDuXcALz
66,Revenge,XXXTENTACION,1438,https://open.spotify.com/track/5TXDeTFVRVY7Cvt0Dw4vWW
67,"Önnur Tilfinning","Rari Boys",1416,https://open.spotify.com/track/4xnZyo0EmLQ17JYHynAGRZ
68,"Call Out My Name","The Weeknd",1410,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
