,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,SAD!,XXXTENTACION,6925,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
2,Moonlight,XXXTENTACION,5951,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
3,"Taste (feat. Offset)",Tyga,5065,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
4,"Girls Like You (feat. Cardi B)","Maroon 5",4141,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
5,"I Like It","Cardi B",3938,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
6,"Lucid Dreams","Juice WRLD",3903,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
7,"Jocelyn Flores",XXXTENTACION,3842,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
8,"Solo (feat. Demi Lovato)","Clean Bandit",3654,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
9,"Better Now","Post Malone",3577,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
10,changes,XXXTENTACION,3355,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
11,"One Kiss (with Dua Lipa)","Calvin Harris",3189,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
12,"Back To You","Selena Gomez",3180,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
13,"the remedy for a broken heart (why am I so in love)",XXXTENTACION,3153,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
14,"Jackie Chan",Tiësto,3138,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
15,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,3022,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
16,"Everybody Dies In Their Nightmares",XXXTENTACION,2975,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
17,"Bed (feat. Ariana Grande)","Nicki Minaj",2939,https://open.spotify.com/track/1ZEm9cJC05rawV2tptNfTS
18,Youngblood,"5 Seconds of Summer",2913,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
19,"Look At Me!",XXXTENTACION,2912,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
20,"Ocean (feat. Khalid)","Martin Garrix",2898,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
21,"Born To Be Yours",Kygo,2671,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
22,"All Mine","Kanye West",2664,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF
23,"Start Again (feat. Logic)",OneRepublic,2654,https://open.spotify.com/track/1Nj2oBISdFDSF8eDuXcALz
24,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",2622,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
25,"rockstar (feat. 21 Savage)","Post Malone",2461,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
26,Nevermind,"Dennis Lloyd",2392,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
27,APESHIT,"The Carters",2312,https://open.spotify.com/track/0E6PsO3ymCfUh7pJQjBgkj
28,NUMB,XXXTENTACION,2300,https://open.spotify.com/track/01TnVDiet1DFTsyWKUKovl
29,Rise,"Jonas Blue",2298,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
30,"no tears left to cry","Ariana Grande",2156,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
31,"God's Plan",Drake,2151,https://open.spotify.com/track/6T8cJz5lAqGer9GUHGyelE
32,"Look Alive (feat. Drake)","BlocBoy JB",2076,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
33,Hope,XXXTENTACION,2025,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah
34,"Welcome to the Party (with French Montana & Lil Pump, feat. Zhavia Ward) - from Deadpool 2",Diplo,2008,https://open.spotify.com/track/5mqzhMuUpvnMfwNz6iepmO
35,"I'm Upset",Drake,1965,https://open.spotify.com/track/54oMZ3blwWwuPN4wEoG5mk
36,Flames,"David Guetta",1956,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
37,"lovely (with Khalid)","Billie Eilish",1895,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
38,FRIENDS,Marshmello,1784,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
39,"Psycho (feat. Ty Dolla $ign)","Post Malone",1767,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
40,Esskeetit,"Lil Pump",1736,https://open.spotify.com/track/44KKhCyI0BGS6LvVyDqJtH
41,"Call Out My Name","The Weeknd",1714,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
42,"Ric Flair Drip (& Metro Boomin)",Offset,1662,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
43,Audio,Sia,1640,https://open.spotify.com/track/7boPPE857KEqCIHNwFkDop
44,"Drop (feat. Blac Youngsta & BlocBoy JB)",G-Eazy,1604,https://open.spotify.com/track/61TklWcG8PbT5hvUTzwLaY
45,"Yes Indeed","Lil Baby",1596,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
46,Revenge,XXXTENTACION,1589,https://open.spotify.com/track/5TXDeTFVRVY7Cvt0Dw4vWW
47,"Walk It Talk It",Migos,1569,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
48,"Nice For What",Drake,1566,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
49,Body,"Loud Luxury",1534,https://open.spotify.com/track/43V1z6QToNNWNldV4FEG6r
50,OTW,Khalid,1511,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
51,Believer,"Imagine Dragons",1483,https://open.spotify.com/track/7Izh7zLJGw1Nscd62Exxj4
52,X,"Nicky Jam",1467,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
53,Enemies,Lauv,1425,https://open.spotify.com/track/3JJYIoJ5FyY9E0DGjr7SXF
54,"I'm a Mess","Bebe Rexha",1419,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
