,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Yalnız Çiçek","Aleyna Tilki",132367,https://open.spotify.com/track/4CCYUYAzFBvD2omNu9EGPI
2,"Kazıdık Tırnaklarla",Ezhel,95764,https://open.spotify.com/track/27OWNTEEtJCFVejrh5mqgv
3,Vuracak,"Merve Özbey",81416,https://open.spotify.com/track/1jCv5QxEnfPyup6Kha3hNh
4,Geceler,Ezhel,79163,https://open.spotify.com/track/0R0o8uOkDz40XsR6uwThfQ
5,"A Canım","Mabel Matiz",63712,https://open.spotify.com/track/6GxaMyQYnqqASQKNYY4Tub
6,"Bu Benim Öyküm","Eli Türkoğlu",61273,https://open.spotify.com/track/0OyfyAIHIdERPduy0omDj4
7,"Heyecanı Yok",Gazapizm,59884,https://open.spotify.com/track/4sa0pXDdQkBZ1r5NZWQJyV
8,İmkansızım,Ezhel,59821,https://open.spotify.com/track/5Y3ZTBwRNrgj3AlXYASvDe
9,"Ben Bazen",Simge,57214,https://open.spotify.com/track/27lKzu8eKwNUxtTUvSDpBN
10,"One Kiss (with Dua Lipa)","Calvin Harris",55407,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
11,"Şehrimin Tadı",Ezhel,47160,https://open.spotify.com/track/5JaXKUIcNxwSuUyD4CsphL
12,Kibir,Contra,46785,https://open.spotify.com/track/5EzaGJdyyvIekeLFdWA7iY
13,Yalan,Edis,43979,https://open.spotify.com/track/1qCjcG3qbzUxdA0wt1Zvea
14,Sen,"İdo Tatlıses",43578,https://open.spotify.com/track/4D0VkzOK8b4fzaCDX0KvGl
15,"Pavyon (feat. Ezhel)",Artz,42136,https://open.spotify.com/track/1ilFULm3dQtAPMpNIQz5RJ
16,"Öyle Kolaysa","Mabel Matiz",40878,https://open.spotify.com/track/18MGgjSmKP7971VFFgJU94
17,Roman,Edis,40438,https://open.spotify.com/track/1GeGwhJSkJGQLeZ7mdvDdm
18,"Buz Kırağı",Edis,39167,https://open.spotify.com/track/2nS376iNMq34rq6WB9tggb
19,FRIENDS,Marshmello,37782,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
