,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Vaina Loca",Ozuna,18714,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
2,"Toda - Remix","Alex Rose",18199,https://open.spotify.com/track/7nD2JPaxIKUdxd2UWgnaGL
3,BEBE,6ix9ine,16709,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
4,"Quiere Beber","Anuel AA",16700,https://open.spotify.com/track/3rPAD722s5FFNnwjC91t7Z
5,"Te Boté - Remix","Nio Garcia",14291,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
6,"No Es Justo","J Balvin",12903,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
7,"Cuando Te Besé","Becky G",12590,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy
8,Asesina,Brytiago,12339,https://open.spotify.com/track/6rbhaJsE4uLzpPf8WYSHDK
9,Culpables,"Manuel Turizo",11654,https://open.spotify.com/track/3RD0PGolM0mETGHaprwgMn
10,"La player (Bandolera)","Zion & Lennox",11220,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP
11,"Sin Pijama","Becky G",9665,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
12,Unica,Ozuna,9286,https://open.spotify.com/track/33b2wX9d0kxqxhi7lcsC1A
13,"In My Feelings",Drake,8328,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
14,"I Like It","Cardi B",8309,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
15,"Madura (feat. Bad Bunny)",Cosculluela,8092,https://open.spotify.com/track/0r9d60ZYPAlFHq8qnUtkXN
16,Hipócrita,"Anuel AA",8038,https://open.spotify.com/track/6XBjCetHKdO5L9cwMDVffw
17,"No Me Acuerdo",Thalia,7741,https://open.spotify.com/track/00EPIEnX1JFjff8sC6bccd
18,"Te Amo","Piso 21",7724,https://open.spotify.com/track/2RVrdr062uLFxXwIxwdXPH
19,"Nena Maldicion (feat. Lenny Tavarez)","Paulo Londra",7708,https://open.spotify.com/track/3TnhQSRwT3AVMdXw5JPq0x
20,Culpables,"KAROL G",7614,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH
21,"Mala Mía",Maluma,7553,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh
