,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Falling Down - Bonus Track","Lil Peep",84262,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q
2,"Mulkut - Vain Elämää Kausi 9",Pyhimys,63423,https://open.spotify.com/track/2kby1hpTWuRzTfM20T9mrq
3,"Perutaan Häät - Vain Elämää Kausi 9","Teflon Brothers",53589,https://open.spotify.com/track/6lz4EdYV6oWYdAADxOleEz
4,"I Love It (& Lil Pump)","Kanye West",49126,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
5,"In My Mind",Dynoro,48532,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
6,Planeetat,"Ida Paul & Kalle Lindroth",39183,https://open.spotify.com/track/5T0V37aEWjTmR1EKDVrCT1
7,"Funeral Song (Vain elämää kausi 9)",Ellinoora,38983,https://open.spotify.com/track/7KCQCgw903m8P7PEbHrOZi
8,"Kyynelten virta","Reino Nordin",36810,https://open.spotify.com/track/363JrcPMzb2x6lHCTjf9WM
9,"Lucky You (feat. Joyner Lucas)",Eminem,36740,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
10,"Promises (with Sam Smith)","Calvin Harris",34236,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
11,XTC,"Lukas Leon",32957,https://open.spotify.com/track/17OUBczN4xbjuCDcx0xmXL
12,Darkside,"Alan Walker",32902,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG
13,"Asfalttiviidakko - Vain Elämää Kausi 9",Evelina,32487,https://open.spotify.com/track/7FCxlHGvfI7FvuTJWDBwJB
14,"Leijonakuningas - Vain Elämää Kausi 9",Evelina,32322,https://open.spotify.com/track/7l3yGGqkmCPdb7oOnVBCf2
15,"Say My Name","David Guetta",30613,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
16,"Lucid Dreams","Juice WRLD",30163,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
17,"Made in Heaven","Jenni Vartiainen",28770,https://open.spotify.com/track/5V7QO5EdUB91ksf7FgBcCc
18,"Forza Italia",Spekti,27069,https://open.spotify.com/track/7JEv9Hj3qJbFqcNqwsVMUh
19,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",26948,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
20,"Mun sydän","Kaija Koo",26324,https://open.spotify.com/track/1wPQdWUqzqCRKjdP5zOXQy
21,Happier,Marshmello,26223,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
22,"Rakkauslaulu - Vain Elämää Kausi 9",Pyhimys,25956,https://open.spotify.com/track/4LQk0DmiAiV5VD0qMgBvSj
23,"Mitä Mä Malagas?",Gasellit,25819,https://open.spotify.com/track/5xv2Mp3X6DeMaO0do5Xh99
24,"Valot sammuu",Cheek,25460,https://open.spotify.com/track/39J7BoHrpoR9V3vUBIj1wK
25,REMEDY,Alesso,25158,https://open.spotify.com/track/6jreFSOTUAViWjKyzOC4Kg
26,Natural,"Imagine Dragons",23945,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
27,Aallot,Kymppilinja,23718,https://open.spotify.com/track/05GbDEn0ORuEzBUgUJKWiQ
28,"Bad Boy (feat. Luana Kiara)",Raaban,23050,https://open.spotify.com/track/64p6ua7zpf66s62StC2QLv
29,"Eastside (with Halsey & Khalid)","benny blanco",22966,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
30,"Be Alright","Dean Lewis",22767,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
31,"F-F-F-Falling - Vain Elämää Kausi 9",Evelina,22479,https://open.spotify.com/track/7yh8f6LSOjlDww2MrA9W0n
32,"Naarmuja (feat. IBE)",Benjamin,22214,https://open.spotify.com/track/4uAFn0BeYwIkALu1ObuzXA
33,"Ignite (feat. SEUNGRI)",K-391,22180,https://open.spotify.com/track/0UMLejbZXf7YVgnfxURvVr
34,"Vielä yksi elämä (Vain elämää kausi 9)",Ellinoora,22102,https://open.spotify.com/track/0HsdsBP1Tje9ierXi643gg
35,"Majesty (with Labrinth & feat. Eminem)","Nicki Minaj",21719,https://open.spotify.com/track/38TgLPNHsPzgqri5G4SPun
36,"Yhen elämän juttu",ABREU,20467,https://open.spotify.com/track/0IXLyheDMnOQ4mmTrScjAR
37,Killshot,Eminem,19792,https://open.spotify.com/track/1jo3TwNGCXfNdB5uba3ZVv
38,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,19743,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
39,"High On Life (feat. Bonn)","Martin Garrix",19699,https://open.spotify.com/track/4ut5G4rgB1ClpMTMfjoIuy
40,Joutsenet,Brädi,19231,https://open.spotify.com/track/0kvjpXrQygsHmimfk6TcTZ
