,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Mind",Dynoro,56550,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
2,"I Love It (& Lil Pump)","Kanye West",54258,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
3,"Falling Down - Bonus Track","Lil Peep",51365,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q
4,"Weź nie pytaj","Paweł Domagała",47915,https://open.spotify.com/track/4WgOhIHX0Ez6vJ7Efu9zbQ
5,Początek,"Męskie Granie Orkiestra 2018",44749,https://open.spotify.com/track/6TfeSFGbqxGjIKuKLQOsKC
6,"Promises (with Sam Smith)","Calvin Harris",44048,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
7,"Rozovoye Vino",Eldzhey,43314,https://open.spotify.com/track/4LDcQ9sLkKCie4XcKaEwJD
8,Natural,"Imagine Dragons",42330,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
9,California,"White 2115",40154,https://open.spotify.com/track/2nFaT0t36H6UX3wN3Vxvjm
10,Małomiasteczkowy,"Dawid Podsiadło",40038,https://open.spotify.com/track/4pzE97EZMDxnqO88y3YxAm
11,Fiji,"Taco Hemingway",37492,https://open.spotify.com/track/2CdCs9y04oDuYCF4ewNzI7
12,Euforia,Otsochodzi,35459,https://open.spotify.com/track/7KMMRJ4dtn1rFXCXseKzYc
13,Shotgun,"George Ezra",34323,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
14,Nevermind,"Dennis Lloyd",33166,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
15,Rise,"Jonas Blue",32986,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
16,"Body (feat. brando)","Loud Luxury",32870,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
17,"Sorry Dolores",Reto,31981,https://open.spotify.com/track/0yd4OCmrcqvsAMUJGCMEFQ
18,Wiking,Sarius,30455,https://open.spotify.com/track/1ef8jV2jElVL74JzBKo6K7
