,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Last Christmas",Wham!,313101,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
2,"All I Want for Christmas Is You","Mariah Carey",303651,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
3,"Tänd ett ljus",Triad,244690,https://open.spotify.com/track/0WeT9UnF79pGH5ohYHsnD9
4,"Mer jul","Adolphson & Falk",239262,https://open.spotify.com/track/6UbwfQeAEzhnolDwXiPowY
5,"Driving Home for Christmas","Chris Rea",236631,https://open.spotify.com/track/3Z3QhZAZpqwZa1phsbQ3JZ
6,"Hey Ho","Freddy Kalas",231978,https://open.spotify.com/track/0eekaX32hUmJgcinPCL1iZ
7,"Santa Tell Me","Ariana Grande",230562,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
8,"It's Beginning to Look a Lot like Christmas","Michael Bublé",229809,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
9,"Do They Know It's Christmas? - 1984 Version","Band Aid",226588,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
10,"Jingle Bell Rock","Bobby Helms",216976,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
11,"Happy Xmas (War Is Over) - Remastered 2010","John Lennon",212226,https://open.spotify.com/track/3zJw3rugfpVrmBeDDnUYzy
12,"Julen är här","Tommy Körberg",206115,https://open.spotify.com/track/4cGPWeCfoQTw7i0wqNRcjI
13,Mistletoe,"Justin Bieber",204303,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
14,"Fairytale of New York (feat. Kirsty MacColl)","The Pogues",199756,https://open.spotify.com/track/3VTNVsTTu05dmTsVFrmGpK
15,"White Christmas","Bing Crosby",193625,https://open.spotify.com/track/4so0Wek9Ig1p6CRCHuINwW
16,"Feliz Navidad","José Feliciano",188584,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS
17,"Rockin' Around The Christmas Tree","Brenda Lee",188142,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
18,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra",170113,https://open.spotify.com/track/7inXu0Eaeg02VsM8kHNvzM
19,"It's the Most Wonderful Time of the Year","Andy Williams",166192,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN
20,Juligen,"Just D",159514,https://open.spotify.com/track/1MMeScdLmniNyO4WMuoIxb
21,"The Christmas Song (Merry Christmas To You)","Nat King Cole",158314,https://open.spotify.com/track/4PS1e8f2LvuTFgUs1Cn3ON
22,"Jag kommer hem igen till jul","Peter Jöback",157566,https://open.spotify.com/track/3oSjEiqMBaBzqpVQnr2ZDB
23,Shallow,"Lady Gaga",142464,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
24,"Have Yourself A Merry Little Christmas","Sam Smith",142116,https://open.spotify.com/track/1Qi2wh8fFgDV7tl4Sj3f2K
25,"Nu tändas tusen juleljus","Benny Anderssons Orkester",136510,https://open.spotify.com/track/5PB7EuGxRLK1GQJjYJGhTD
26,"Den vintertid nu kommer","Miss Li",136040,https://open.spotify.com/track/0hSBZP9SodLCOLWmfgK9MK
27,"Before Christmas","Andreas Weise",127202,https://open.spotify.com/track/5cXne3fQ8Q2vbSMwGjunM8
28,"O helga natt","Tommy Körberg",120502,https://open.spotify.com/track/0XoGiZY2XtBW5qXB3ZzZOX
29,"Decembernatt (Halleluja)","Peter Jöback",114904,https://open.spotify.com/track/18VqLjEkk51A2phUQaikWF
30,"Christmas (Baby Please Come Home)","Michael Bublé",113565,https://open.spotify.com/track/66WPXyhXqMlkM1kZhyEXWK
31,"Jul, jul strålande jul",Carola,112180,https://open.spotify.com/track/33EVpTZhoyQw1mStrZTKfO
32,"Välkommen hem",E.M.D.,108916,https://open.spotify.com/track/4WfSDuJ4MrpdSSCEOanwzD
33,Kärleksvisan,"Sarah Dawn Finer",103038,https://open.spotify.com/track/0BpNF9WORyHveiUQbCGtiR
34,"Holly Jolly Christmas","Michael Bublé",98495,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
35,"Sweet but Psycho","Ava Max",95624,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
36,"I'll Be Home","Meghan Trainor",92553,https://open.spotify.com/track/1hy6kKvsPbv7VTcllCuATC
37,"Let It Snow! Let It Snow! Let It Snow!","Dean Martin",89641,https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg
