,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Mama?,"Sin Boy",24766,https://open.spotify.com/track/4MEbrM0ASH9jRmoOJQGRUz
2,"7 rings","Ariana Grande",11143,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
3,"Deja Vu",Hawk,7618,https://open.spotify.com/track/5A1uS1PcKcMsMG36KgAq1d
4,"break up with your girlfriend, i'm bored","Ariana Grande",7498,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
5,Sucker,"Jonas Brothers",6594,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
6,"MIDDLE CHILD","J. Cole",5909,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
7,OJ,Light,5726,https://open.spotify.com/track/4Vb4gcsam1ApxVFlsNybF0
8,Wow.,"Post Malone",5574,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
9,"Don't Call Me Up",Mabel,5482,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
10,Gigi,Rina,5366,https://open.spotify.com/track/2ySWuhmNR789tk5AN2EUc3
11,Chanelll,"Mad Clip",5233,https://open.spotify.com/track/0vFcnX6hxPUMDVyCoSgNik
12,"Ju Ju","Sin Boy",5199,https://open.spotify.com/track/5GZYZB1pFqcageFCNW0RlB
13,Shallow,"Lady Gaga",5134,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
14,Mosca,Light,4979,https://open.spotify.com/track/7Es7jQlj2l3MMkEXCNHFnJ
15,"Going Bad (feat. Drake)","Meek Mill",4606,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
16,"De Me Theloun",Fy,4541,https://open.spotify.com/track/5z8K92vYj0FH6C05HAT2Ve
17,"Without Me",Halsey,4484,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
18,"Con Calma","Daddy Yankee",4479,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
19,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)","benny blanco",4331,https://open.spotify.com/track/1WSGTYKLEpKfNQYYW5Oymt
20,"Dancing With A Stranger (with Normani)","Sam Smith",4273,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
21,Primo,Light,4142,https://open.spotify.com/track/2sn75JSuPH3cX9jmZ9Fecu
22,"thank u, next","Ariana Grande",4138,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
23,"Sari Sari Sari","Sin Boy",4136,https://open.spotify.com/track/7jbXufm1Aq65nRAHbCSAdU
