,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Royal Rumble",Kalazh44,587126,https://open.spotify.com/track/4Rif4wqdvzy84dhP1apC4Y
2,"Diamonds (feat. Capital Bra)","Summer Cem",571211,https://open.spotify.com/track/2QpxC2yag7Ec7Ut1dovXKb
3,"Vermissen (feat. Henning May)",Juju,486336,https://open.spotify.com/track/07f2b3CTdgKKlhv0mqUksz
4,"Wieder Lila",Samra,448528,https://open.spotify.com/track/2kkcJ8tSDV42LdWcPjy6We
5,"Maghreb Gang (feat. French Montana & Khaled)","Farid Bang",439939,https://open.spotify.com/track/1IBUPdwV9TvaipSODdt8QY
6,Olabilir,MERO,421009,https://open.spotify.com/track/5b195aHKKd6oTr4f7DoRCo
7,"La Haine",Luciano,378679,https://open.spotify.com/track/2AHJLtc81zIfj9EKcVEzmJ
8,"I Don't Care (with Justin Bieber)","Ed Sheeran",370748,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns
9,Labyrinth,Loredana,368672,https://open.spotify.com/track/1mLBX54nL0dwn54jesMXGU
10,NENENE,Fero47,365037,https://open.spotify.com/track/5AiqL0ezAAauDuVK5EJvXU
11,"Old Town Road (feat. Billy Ray Cyrus) - Remix","Lil Nas X",339186,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
12,"bad guy","Billie Eilish",330173,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
13,"Hi Babe",Juju,324158,https://open.spotify.com/track/6erIvryBSsAdebNU4a7Mrs
14,"Piece Of Your Heart",MEDUZA,292174,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
15,"Irina Shayk",Ufo361,285549,https://open.spotify.com/track/4Sokm1cWK36H2WctWWRGf1
16,Badewanne,"KC Rebell",240213,https://open.spotify.com/track/4qUjPb9J51kZ0PrGZWtpVc
17,Mary,Bausa,237830,https://open.spotify.com/track/6BZhkqUtaFJm57Hm5TTQSH
18,"SOS (feat. Aloe Blacc)",Avicii,236616,https://open.spotify.com/track/2x0RZdkZcD8QRI53XT4GI5
19,"cOcO MAmA",Dardan,230202,https://open.spotify.com/track/0oOPa0AlLnjCO6eci0HIdH
20,Nautilus,Shindy,218848,https://open.spotify.com/track/7IkZpSOJKGXCGhqAvHs7FG
21,"All Around The World (La La La)",R3HAB,212402,https://open.spotify.com/track/02itaCXOdC54J0ISjqqFAp
22,"Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)","Martin Garrix",211883,https://open.spotify.com/track/7Feaw9WAEREY0DUOSXJLOM
23,"Rescue Me",OneRepublic,208274,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM
