,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Otro Trago",Sech,176271,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr
2,"Soltera - Remix",Lunay,125116,https://open.spotify.com/track/1c0hsvHLELX6y8qymnpLKL
3,Callaita,"Bad Bunny",119668,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
4,"Pa Mí - Remix",Dalex,105795,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz
5,"Que Mas Pues - Remix",Sech,95238,https://open.spotify.com/track/7fODjB7BrQTGqh0hogW6XD
6,"Verte Ir","DJ Luian",91591,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR
7,"Tal Vez","Paulo Londra",89824,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI
8,"Te Vi","Piso 21",76194,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd
9,"Con Calma","Daddy Yankee",72276,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
10,"Te Robaré","Nicky Jam",71824,https://open.spotify.com/track/6v0lAdFF4haL8xjBIUjtOw
11,"Con Altura",ROSALÍA,71294,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM
12,Cuaderno,Dalex,69368,https://open.spotify.com/track/7anSoGdgtmJTAPZBzcPhO6
13,"No Me Conoce - Remix","Jhay Cortez",69200,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
14,HP,Maluma,69077,https://open.spotify.com/track/1LIqNVhaIgxXUt2eVoIQJ3
15,Desconocidos,"Mau y Ricky",67084,https://open.spotify.com/track/56f5qnyAlZdlz8wrUDA50h
16,"11 PM",Maluma,61465,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d
17,Secreto,"Anuel AA",58461,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0
18,"La Boca","Mau y Ricky",58051,https://open.spotify.com/track/0UQwlF2pRkr1lMN6kNNUj3
19,"Baila Baila Baila - Remix",Ozuna,54648,https://open.spotify.com/track/7mWFF4gPADjTQjC97CgFVt
20,Destino,Greeicy,53390,https://open.spotify.com/track/041Kcvnw8nOdq8xiRibPTG
21,"Calma - Remix","Pedro Capó",51743,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
22,"Un Año","Sebastian Yatra",51282,https://open.spotify.com/track/2vrpcQNg6itmgVZWsNjWe0
23,Amanece,"Anuel AA",49190,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH
24,Créeme,"KAROL G",47272,https://open.spotify.com/track/4EKZsrsCKyqr64FBHLc0DU
25,"Adan y Eva","Paulo Londra",47027,https://open.spotify.com/track/132ALUzVLmqYB4UsBj5qD6
26,"Si Se Da","Myke Towers",45736,https://open.spotify.com/track/5KbBGUpIZd6gVFUU8tqYiQ
27,Cristina,"Sebastian Yatra",44920,https://open.spotify.com/track/703iVQrfbQsXt7Uzgy1h8k
28,"Ella Quiere Beber - Remix","Anuel AA",43550,https://open.spotify.com/track/3f5lA8nnc4YYF1qf78WpHw
29,"Solo Pienso En Ti (feat. De La Ghetto & Justin Quiles)","Paulo Londra",42793,https://open.spotify.com/track/3H9GDhVVTlmFQSmpt51qiP
30,"Señor Mentira","Daniela Darcourt",42671,https://open.spotify.com/track/1euUy5iIipadV7jrHQRiYE
31,"Punto G","KAROL G",41759,https://open.spotify.com/track/2E82gORVSA7UMEz5M1IP3b
32,"Esclavo de Tus Besos","Manuel Turizo",40892,https://open.spotify.com/track/3g4UyIcQwutiG0TfW32GnX
33,Aullando,"Wisin & Yandel",40056,https://open.spotify.com/track/7BuHdm4lQqcyG3qTwdkxus
34,"No Lo Trates",Pitbull,38046,https://open.spotify.com/track/4gqMVEJSaL5nNeKj5WmVoT
35,Swing,"Danny Ocean",37446,https://open.spotify.com/track/4DbhxwlkhTbCTqlZptxmI6
36,"Que Le De","Rauw Alejandro",36889,https://open.spotify.com/track/08aYFNUTIOMGq93e2VSArQ
37,"Déjate Querer","Lalo Ebratt",36053,https://open.spotify.com/track/3mN2DtljBhnrIpc3Nu2pJ8
38,Baby,Amenazzy,35119,https://open.spotify.com/track/2IA8cFA46DkjgbsRG7kKbp
39,"Pa Olvidarte (feat. Manuel Turizo) - Remix",ChocQuibTown,34441,https://open.spotify.com/track/2ktoFujjJtantyMoVdBJlX
40,Adictiva,"Daddy Yankee",33187,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP
41,"MIA (feat. Drake)","Bad Bunny",32805,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
42,Faldita,"Leslie Shaw",32802,https://open.spotify.com/track/1R5nCcASgTubHzMx2Ic5UU
43,"Amigos Con Derechos",Reik,32279,https://open.spotify.com/track/4yVO0wOhXsZC1RuPgHP524
44,"Adiós Amor","Daniela Darcourt",30838,https://open.spotify.com/track/2ozv99MuHIaE4DZIzAr59q
45,"Contra La Pared","Sean Paul",29765,https://open.spotify.com/track/37eGbhE1xVFSvcKkqGb6i1
46,"En Cero",Yandel,29731,https://open.spotify.com/track/51uLQESb4VnYAbs5WtGxho
47,"I Don't Care (with Justin Bieber)","Ed Sheeran",29402,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns
48,Culpables,"KAROL G",29275,https://open.spotify.com/track/4RGKft6YTTWHjpQeRIInuS
49,Reggaeton,"J Balvin",28825,https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi
50,"Tú No Amas","Mambo Kingz",25869,https://open.spotify.com/track/5J64qSSq0VZuh0CiI9o9Nq
51,Sola,"Manuel Turizo",25652,https://open.spotify.com/track/675w3ACw5xZR3ODhUJlEVN
52,"Amor Genuino",Ozuna,24531,https://open.spotify.com/track/6pK5edDoyrn4mWwRSVc2a5
53,"Date La Vuelta","Luis Fonsi",24075,https://open.spotify.com/track/5lwVd35Zg6DJ4qibVMq99H
54,Solita,Sech,22804,https://open.spotify.com/track/0tJCo71s7HT9Mu5Z4juuLw
55,"No Te Vayas",Camilo,22343,https://open.spotify.com/track/4k9byIhs9ppbYWE22waJMB
