,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Roses - Imanbek Remix","SAINt JHN",65593,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
2,"Blinding Lights","The Weeknd",60467,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
3,"The Box","Roddy Ricch",48934,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
4,"Before You Go","Lewis Capaldi",39648,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
5,Lonely,"Joel Corry",37424,https://open.spotify.com/track/2ZEq4HT450Ye9IFGPTl9qV
6,"Say So","Doja Cat",37419,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
7,"Don't Start Now","Dua Lipa",36432,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
8,"No Judgement","Niall Horan",35941,https://open.spotify.com/track/2sGF7DBXvL2GjkbG606m1G
9,"You should be sad",Halsey,34488,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
10,"Intentions (feat. Quavo)","Justin Bieber",34000,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
11,Physical,"Dua Lipa",31949,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
12,"Adore You","Harry Styles",31151,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
13,"Godzilla (feat. Juice WRLD)",Eminem,31064,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
14,"Dance Monkey","Tones And I",30126,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
15,"Blueberry Faygo","Lil Mosey",27994,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
16,"Someone You Loved","Lewis Capaldi",27794,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
17,Supalonely,BENEE,27653,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
18,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,26192,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
19,"No Time To Die","Billie Eilish",24618,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
20,"My Oh My (feat. DaBaby)","Camila Cabello",24012,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
21,"death bed (coffee for your head)",Powfu,23446,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
22,ROXANNE,"Arizona Zervas",23307,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
23,"Life Is Good (feat. Drake)",Future,22928,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
24,Circles,"Post Malone",22132,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
25,"Nice To Meet Ya","Niall Horan",22023,https://open.spotify.com/track/0DrFTaAX2srXPkuag35djb
26,Falling,"Trevor Daniel",21904,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
27,Rain,Aitch,21073,https://open.spotify.com/track/5LBikzSkad9yQ6RH87Gdrm
28,Falling,"Harry Styles",21048,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
29,"Better Off Without You (feat. Shift K3Y)","Becky Hill",21016,https://open.spotify.com/track/3oIVK7arAFuUOCGafPLxSC
30,"Boss Bitch","Doja Cat",20763,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
31,"Black And White","Niall Horan",20612,https://open.spotify.com/track/7rpNuuoMbid56XkDsx2FjE
32,"CITY OF ANGELS",24kGoldn,20552,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
33,"everything i wanted","Billie Eilish",20468,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
34,Bruises,"Lewis Capaldi",20188,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
35,"Sunday Best (Feeling Good, Like I Should)",Surfaces,19651,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
36,"What A Man Gotta Do","Jonas Brothers",19559,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
37,"Power Over Me","Dermot Kennedy",18563,https://open.spotify.com/track/4tViDtaHuSLnh7HVJTrKhs
38,Boyfriend,Mabel,18497,https://open.spotify.com/track/0B2su5lNZe9t3VjOkwtDLV
39,"Stupid Love","Lady Gaga",18361,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
40,"Moral of the Story",Ashe,18246,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
41,"Put A Little Love On Me","Niall Horan",17885,https://open.spotify.com/track/7LyBwug9tJgbaEzRCqtY78
42,Outnumbered,"Dermot Kennedy",17521,https://open.spotify.com/track/4Ta3PhWmY50ZLU1uhKFKPE
43,Memories,"Maroon 5",16169,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
44,"To Die For","Sam Smith",15769,https://open.spotify.com/track/2ZTYlnhhV1UAReg7wIGolx
45,"After Hours","The Weeknd",15664,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
46,"bad guy","Billie Eilish",15630,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
47,"Hold Me While You Wait","Lewis Capaldi",15497,https://open.spotify.com/track/60iSKGrGazRzICtMjADNSM
48,"Never Seen the Rain","Tones And I",15280,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
49,"Lose Control",MEDUZA,14850,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
50,"Know Your Worth",Khalid,14593,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
51,"If the World Was Ending - feat. Julia Michaels","JP Saxe",14461,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
52,July,"Noah Cyrus",14069,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
53,"Lucid Dreams","Juice WRLD",12798,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
54,"Heartbreak Weather","Niall Horan",12533,https://open.spotify.com/track/3jf3c9EOFam6Q15sho0XWw
55,Breathe,"Years & Years",12019,https://open.spotify.com/track/267nfLfaSSDa9ivHncHynh
56,"Watermelon Sugar","Harry Styles",11812,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
57,"Ballin' (with Roddy Ricch)",Mustard,11536,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
58,"That Way - Bonus Track","Lil Uzi Vert",11216,https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC
59,"hot girl bummer",blackbear,11205,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
60,"High Fashion (feat. Mustard)","Roddy Ricch",11195,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
