,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"The Box","Roddy Ricch",38888,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
2,"Blinding Lights","The Weeknd",38037,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
3,"La Bella Mafia","Wet Bed Gang",33389,https://open.spotify.com/track/3UZUEIxIO8diPNOVusvrui
4,Lembrei-me,Bispo,32513,https://open.spotify.com/track/5hF6VYE61LV6Jr6dy86CvI
5,"Tempo (feat. T-Rex, LON3R JOHNY & BISPO)",FRANKIEONTHEGUITAR,31537,https://open.spotify.com/track/19gFXFDAFUdsuaiAorKEbr
6,Louco,Piruka,29859,https://open.spotify.com/track/5RPewmKIUL2vWtQLI0Qp1F
7,"menina solta","Giulia Be",28759,https://open.spotify.com/track/2MOq63fxuFLYQM3CsDcFs1
8,Tusa,"KAROL G",28188,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
9,ROXANNE,"Arizona Zervas",26940,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
10,Falling,"Trevor Daniel",25816,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
11,"Essa Saia (feat. Ivandro)",Bispo,24501,https://open.spotify.com/track/2tsXCHNbktRlQxMUV7ql3d
12,"Hoji N'ka ta Rola","Julinho Ksd",24187,https://open.spotify.com/track/3EtXiDhRO8psTWs2uY8nyA
13,"Don't Start Now","Dua Lipa",24118,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
14,"Somos Iguais",Plutónio,24089,https://open.spotify.com/track/1X3ltingEVNGRoJf1dvZfQ
15,"Dance Monkey","Tones And I",23959,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
16,"Mama Ta Xinti","Julinho Ksd",23773,https://open.spotify.com/track/0JcH6gYb9AXehfiPeFE2wP
17,"Say So","Doja Cat",19600,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
18,"Life Is Good (feat. Drake)",Future,19357,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
19,Tranquilo,Aragão,19246,https://open.spotify.com/track/1fobXPCu47gikLMIoyQBLy
20,HEI,ProfJam,18597,https://open.spotify.com/track/5IsQNZTVP4Lkfn2eMVE0nt
21,"Chora Agora",Piruka,18179,https://open.spotify.com/track/0QB2KH3LLLh1iCEj31tRbN
22,"DAMN / SKY (feat. ProfJam)","LON3R JOHNY",18052,https://open.spotify.com/track/3djugNm18XH4pUAcP0tyhh
23,"everything i wanted","Billie Eilish",17364,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
24,Circles,"Post Malone",17301,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
25,"Godzilla (feat. Juice WRLD)",Eminem,17093,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
26,"Vivi Good","Julinho Ksd",17061,https://open.spotify.com/track/6MLQRF8D7LsOvZwkt1UcZP
27,"Sunday Best (Feeling Good, Like I Should)",Surfaces,16788,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
28,"Eterna Sacanagem","MC JottaPê",16340,https://open.spotify.com/track/1AfNdxHdE4OLcnQUyC6j3i
29,Memories,"Maroon 5",15753,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
30,"Combatchy (feat. MC Rebecca)",Anitta,15239,https://open.spotify.com/track/2bPtwnrpFNEe8N7Q85kLHw
31,"HIGHEST IN THE ROOM","Travis Scott",15178,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
32,Vencedor,"Phoenix Rdc",15147,https://open.spotify.com/track/4a0H1kKez7UVLveRL5cEgy
33,Yummy,"Justin Bieber",14465,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
34,Irresponsável,"Wet Bed Gang",14292,https://open.spotify.com/track/1AgqELuodwiIUbJhXM74Jx
35,"Tou Na Festa","Joint One",14213,https://open.spotify.com/track/65FrBTn4FmkR2aDg50vPXC
36,"RITMO (Bad Boys For Life)","Black Eyed Peas",13790,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
37,"Quando a vontade bater (Participação especial de PK Delas)",Pk,13713,https://open.spotify.com/track/26WpOBpHiIMoBuMEIwtOCH
38,Bússola,Nenny,13317,https://open.spotify.com/track/0HAIealfpi1oQ09yPMsUIK
39,"bad guy","Billie Eilish",13090,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
40,"No Time To Die","Billie Eilish",13088,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
41,"Vergonha na Cara",Plutónio,12891,https://open.spotify.com/track/7tgcYERxLChrwBIWp1mrv3
42,"Intentions (feat. Quavo)","Justin Bieber",12681,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
43,Bolero,X-Tense,12627,https://open.spotify.com/track/7mdE30Ov4in9UOCUcQiIK0
44,Hotel,mishlawi,12454,https://open.spotify.com/track/5U41K61DdhoVe7PJP9emUU
45,"Lucy Lucy",Plutónio,12417,https://open.spotify.com/track/2TPBDdqlAb6BitW6KC1KjW
46,"Sweet Spot",Papillon,12139,https://open.spotify.com/track/7yrH4ghvW4hivGBpLU7dDb
47,"Adore You","Harry Styles",12101,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
48,"Ballin' (with Roddy Ricch)",Mustard,12061,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
49,"Sei Lá","Bárbara Tinoco",11947,https://open.spotify.com/track/1Zta013L8lvFsTjmnF34B6
50,"Gaiola É o Troco","MC Du Black",11922,https://open.spotify.com/track/3Uq45ipGutypFPmETfaoaH
51,"Roses - Imanbek Remix","SAINt JHN",10669,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
52,"What If I Told You That I Love You","Ali Gatie",10501,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
53,"Sentimento Safari","Julinho Ksd",10232,https://open.spotify.com/track/2t98sYRAQZAXqdwi3Sf6pQ
54,"Blueberry Faygo","Lil Mosey",10175,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
55,Señorita,"Shawn Mendes",10133,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
56,"Se Eu","Fernando Daniel",10084,https://open.spotify.com/track/60sz5NvSVHHTiaC02QuvaR
57,Cura,"Jvst Fly",9871,https://open.spotify.com/track/0BKTd08OnDJowXhBzX9Pin
58,"I Don't Care (with Justin Bieber)","Ed Sheeran",9788,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
59,"After Hours","The Weeknd",9774,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
60,"lovely (with Khalid)","Billie Eilish",9660,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
61,"Someone You Loved","Lewis Capaldi",9539,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
62,Bairro,"Wet Bed Gang",9539,https://open.spotify.com/track/1ai9FDnFQDv18WAtFhMTIz
63,"death bed (coffee for your head)",Powfu,9203,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
64,"Aviola II",Bispo,9153,https://open.spotify.com/track/27kry3jeuix5XVSKfp5B5D
65,"1 de Abril",Plutónio,9138,https://open.spotify.com/track/5ZxHzpxIEr0rxGJN8Jsdjy
66,"Lose Control",MEDUZA,9114,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
67,"Stupid Love","Lady Gaga",8963,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
68,"Depois da Chuva","Wet Bed Gang",8900,https://open.spotify.com/track/2ebMZu8tfOap16ftf70LTF
69,SENTADÃO,"PEDRO SAMPAIO",8881,https://open.spotify.com/track/4lKuzrdZrJuCAedbIslF3A
70,"Meu Deus",Plutónio,8671,https://open.spotify.com/track/6jx4yp7a9uUUN28Hr244fp
71,"High Fashion (feat. Mustard)","Roddy Ricch",8614,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
72,Timidez,"Deejay Telio",8612,https://open.spotify.com/track/5j6lfsXhnpE6isaUxz8XkR
73,"Beautiful People (feat. Khalid)","Ed Sheeran",8488,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
