,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1093552,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
2,"Party Girl",StaySolidRocky,1067485,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
3,"The Bigger Picture","Lil Baby",972110,https://open.spotify.com/track/44gRhRi2OhEf7moAUj6MD1
4,"Blinding Lights","The Weeknd",965247,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
5,"Blueberry Faygo","Lil Mosey",932282,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
6,"THE SCOTTS","THE SCOTTS",915032,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
7,"Watermelon Sugar","Harry Styles",820407,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
8,"WHATS POPPIN","Jack Harlow",817005,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
9,"Toosie Slide",Drake,802745,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
10,"The Box","Roddy Ricch",789872,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
11,"Rain On Me (with Ariana Grande)","Lady Gaga",729950,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
12,"Roses - Imanbek Remix","SAINt JHN",723093,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
13,"Savage Remix (feat. Beyoncé)","Megan Thee Stallion",721974,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
14,"After Party","Don Toliver",640915,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
15,"ROCKSTAR (feat. Roddy Ricch) - BLM REMIX",DaBaby,638094,https://open.spotify.com/track/4Aykm3xrOFSHrAnv80KUhh
16,"Sunday Best (Feeling Good, Like I Should)",Surfaces,620155,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
