,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"WAP (feat. Megan Thee Stallion)","Cardi B",5854,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
2,"POPSTAR (feat. Drake)","DJ Khaled",3509,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
3,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",3274,https://open.spotify.com/track/2DQNYMRjisN3KAPj1bEwOI
4,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",3034,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
5,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,2938,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
6,"Blinding Lights","The Weeknd",2782,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
7,"Mood (feat. iann dior)",24kGoldn,2647,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
8,"Красиви лъжи",Krisko,2647,https://open.spotify.com/track/0fZTtyWq3HIfYzZNrRUNBl
9,"Roses - Imanbek Remix","SAINt JHN",2594,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
10,"Watermelon Sugar","Harry Styles",2592,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
11,"Breaking Me",Topic,2489,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
12,"Наливай ми feat. D3MO","Billy Hlapeto",2239,https://open.spotify.com/track/2VLkqMSEuj10HushVQ93jD
13,"Midnight Sky","Miley Cyrus",2228,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB
14,"Savage Love (Laxed - Siren Beat)","Jawsh 685",2171,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
15,"Laugh Now Cry Later (feat. Lil Durk)",Drake,2091,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
16,"you broke me first","Tate McRae",2085,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
17,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",2006,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
18,"100 zhivota",Galena,2003,https://open.spotify.com/track/2rFZhVHWOwDxAy59qLUzLy
19,"HIGHEST IN THE ROOM","Travis Scott",1982,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
20,Dior,"Pop Smoke",1954,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
21,"GREECE (feat. Drake)","DJ Khaled",1947,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad
22,Dynamite,BTS,1937,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
23,"Beden v sartseto",Preslava,1899,https://open.spotify.com/track/5oE4QPgCrAs3itnmj2GmsM
24,"Mood Swings (feat. Lil Tjay)","Pop Smoke",1894,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
25,Million,Anelia,1884,https://open.spotify.com/track/2WdSG9V5Pgxb0lNXVmzm7k
26,"Бели Нощи (feat. D3MO)","Billy Hlapeto",1866,https://open.spotify.com/track/0WAJMHi3i8cGl7nj5jaIc0
27,goosebumps,"Travis Scott",1827,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
28,GOOBA,6ix9ine,1811,https://open.spotify.com/track/6qiiDtFAJjyEhoZVcf6ovL
29,"Head & Heart (feat. MNEK)","Joel Corry",1694,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
30,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",1693,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
31,"THE SCOTTS","THE SCOTTS",1685,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
32,"The Box","Roddy Ricch",1681,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
33,Toi,Danna,1657,https://open.spotify.com/track/2C6ij9W4mmv0IYtX8L6ErW
34,Проблем,Konstantin,1654,https://open.spotify.com/track/6cFnPXiP22nmwG5LjGXnBS
35,"Blueberry Faygo","Lil Mosey",1644,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
36,"SICKO MODE","Travis Scott",1627,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
37,"Ice Cream (with Selena Gomez)",BLACKPINK,1624,https://open.spotify.com/track/2J4P46vCFm1rPkNkp9pZWX
38,Heather,"Conan Gray",1615,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
39,"Поредната цигара",Dessita,1600,https://open.spotify.com/track/3zF91nuE7bEP6POLHdYF3k
40,"Toosie Slide",Drake,1555,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
41,"Life Is Good (feat. Drake)",Future,1547,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
42,Дивана,Medi,1522,https://open.spotify.com/track/5KhisjtC9RpYuwpGs8eG60
43,"TROLLZ (with Nicki Minaj)",6ix9ine,1497,https://open.spotify.com/track/6R6STxTrOTeF8OS8iwio4a
44,"TKN (feat. Travis Scott)",ROSALÍA,1412,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
45,Вивалди,"Boro Purvi",1412,https://open.spotify.com/track/0dLjHWPtD8tOLw7Y3i5xJM
46,"GPS-A feat. Tedi Aleksandrova",Dessita,1408,https://open.spotify.com/track/5oqf078enQDAmnC3yspLMm
47,"Але, Але",SkandaU,1385,https://open.spotify.com/track/0TevDXGxJXIAzvTtJmkXLD
48,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",1370,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
49,"Smile (with The Weeknd)","Juice WRLD",1353,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF
50,"Take You Dancing","Jason Derulo",1353,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
51,"Got It On Me","Pop Smoke",1351,https://open.spotify.com/track/25zlnOAzbVoOzIeXSvQFf1
52,"Ne se otkazvat","DENIS TEOFIKOV",1328,https://open.spotify.com/track/3tHQCaaMJ0TTTdNHcmSVpC
53,"Break My Heart","Dua Lipa",1314,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
54,"OUT WEST (feat. Young Thug)",JACKBOYS,1263,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
55,"Still Don't Know My Name",Labrinth,1230,https://open.spotify.com/track/6N22FZs2ZhPBYi3b9XPajV
56,"Pak shte go napravya","Tsvetelina Grahich",1229,https://open.spotify.com/track/4FT2PAHEMNMFHHKqomJJ27
57,NEREALNO,V:RGO,1217,https://open.spotify.com/track/0ybBIXEwmfqHD4xjuxqXMs
58,"Come & Go (with Marshmello)","Juice WRLD",1209,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
59,"Rain On Me (with Ariana Grande)","Lady Gaga",1204,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
60,Piyan,Preslava,1188,https://open.spotify.com/track/1iIIsJlKQW7E4eLw7x5XOI
61,Тясно,"Papi Hans",1183,https://open.spotify.com/track/2WLblaohBVAo5ExXjrTg6i
62,"Prosto sex",Galin,1172,https://open.spotify.com/track/7AYf4DucWVvjm5NQy8paAl
63,"Dance Monkey","Tones And I",1162,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
64,"Lucid Dreams","Juice WRLD",1150,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
65,"After Party","Don Toliver",1131,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
66,"Party Girl",StaySolidRocky,1125,https://open.spotify.com/track/3IJYUaN3tx04S4TYyZHKoP
67,Secrets,Regard,1118,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg
68,"THE BADDEST",K/DA,1102,https://open.spotify.com/track/2V4Fx72svQRxrFvNT1eq5f
69,Paranoya,Vanya,1083,https://open.spotify.com/track/4ix0ntu244dcdAoSml7trs
70,"Ai Ai",DARA,1074,https://open.spotify.com/track/1fuqkmon4fZoZsd3tbwv4v
71,"Te Amo",Torino,1072,https://open.spotify.com/track/6fcPuGEcPN6oq7DCLocYU0
