,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Mood (feat. iann dior)",24kGoldn,31523,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
2,Rolls,Yzomandias,30156,https://open.spotify.com/track/7MjNsu3feSV5MnhZzBHXoh
3,Kouř,"Sergei Barracuda",22549,https://open.spotify.com/track/43cKEIvz1x4gdNvR0bTAoM
4,"El Camino",Yzomandias,21820,https://open.spotify.com/track/35qWgo2AO9XQuXrznXAPN0
5,"Blinding Lights","The Weeknd",18420,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
6,"Watermelon Sugar","Harry Styles",15890,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
7,"Breaking Me",Topic,15638,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
8,"Roses - Imanbek Remix","SAINt JHN",15615,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
9,"Head & Heart (feat. MNEK)","Joel Corry",14793,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
10,Mamba,"Sergei Barracuda",14587,https://open.spotify.com/track/3kWRN8mL27I2igBUtuN9bu
11,"Savage Love (Laxed - Siren Beat)","Jawsh 685",14531,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
12,Legendární,"Sergei Barracuda",14358,https://open.spotify.com/track/0r1VvoRssNt3yeV8q76SOi
13,Déšť,"Sergei Barracuda",13982,https://open.spotify.com/track/2NRa651B540evCfhPvwqES
14,Démon,"Sergei Barracuda",13800,https://open.spotify.com/track/49bgQMlDHljkVGRsHtsFJC
15,"WAP (feat. Megan Thee Stallion)","Cardi B",13605,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
16,"Až na měsíc","Viktor Sheen",13321,https://open.spotify.com/track/2687fXBlOk6u6fiwLJ4E1l
17,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,12999,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
18,"Svaz ceskych bohemu",Wohnout,12538,https://open.spotify.com/track/0twbASvGKPDvbWviKZcpyy
19,"Dance Monkey","Tones And I",11546,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
20,"Kings & Queens","Ava Max",11322,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn
21,"Come & Go (with Marshmello)","Juice WRLD",10813,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
22,Napořád,Earth,10441,https://open.spotify.com/track/7C8l5orn9oUcXM2zd4oWlF
23,Zlatíčka,"Kapitán Demo",10400,https://open.spotify.com/track/2pJoAuFgqqbOny1Ojo7Ggk
24,Jezebel,"Sergei Barracuda",10234,https://open.spotify.com/track/5iJqkwwWqKNC6YeUn41kOq
25,LALALA,Grey256,10032,https://open.spotify.com/track/04WoWgIr3nBwrxueOuSXFD
