,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Mood (feat. iann dior)",24kGoldn,104899,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
2,Solhverv,"Lord Siva",93312,https://open.spotify.com/track/5x6ggDM895CRGHxS3dwRHz
3,"Blå Himmel (feat. Hans Philip)",KESI,85779,https://open.spotify.com/track/0qA2qykpcGdVl3tiiYum4g
4,ErruDumEllaHvad,ICEKIID,78941,https://open.spotify.com/track/5qaaQp6KvkEdB2q7SKQAcJ
5,"Til Banken (Natasja X Tessa X Karen Mukupa)",Natasja,76776,https://open.spotify.com/track/1MgTtTXj186W8H02cdOcb8
6,"ALL MY LOVE (feat. ATYPISK)",LOLO,68517,https://open.spotify.com/track/0isi84Hc9HMJnK7j8OKueg
7,"WAP (feat. Megan Thee Stallion)","Cardi B",60442,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
8,"Head & Heart (feat. MNEK)","Joel Corry",60302,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
9,"Mood Swings (feat. Lil Tjay)","Pop Smoke",52876,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
10,"Breaking Me",Topic,48902,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
11,"Savage Love (Laxed - Siren Beat)","Jawsh 685",47563,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
12,"Snik Snak",Gilli,46693,https://open.spotify.com/track/1rExu7075LZrpDfT0Cg8Kk
13,Tempo,Branco,45079,https://open.spotify.com/track/4jkBmZuc1YqcTnqrEiVw4C
14,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",44909,https://open.spotify.com/track/2DQNYMRjisN3KAPj1bEwOI
15,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,40999,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
16,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",40117,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
17,"Blinding Lights","The Weeknd",39761,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
18,"Can't Lose",Gilli,39646,https://open.spotify.com/track/6hrBeNisZ1lbnDTYPpEnyu
19,"Girl Like You",Clara,39259,https://open.spotify.com/track/1gG0pnDAT1QdpRFTQDT4y4
20,L.U.V,Gilli,36811,https://open.spotify.com/track/1pfjtl0nQZlFJrjSMlai0F
21,Tilbage,KESI,36663,https://open.spotify.com/track/5ktsLwoQZ7JVliJMjEfBZj
22,BABY,Artigeardit,36634,https://open.spotify.com/track/2CqU10dRO6zmpvZnnzbd5m
23,CRIMEWAVE,Sivas,36457,https://open.spotify.com/track/2PZILi5FzxEbvYM5agda2T
24,Avatar,NODE,36245,https://open.spotify.com/track/0V6en6bpNQI7GIzI9TK6cu
25,"Laugh Now Cry Later (feat. Lil Durk)",Drake,34812,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
26,Mbappe,Fouli,34759,https://open.spotify.com/track/1UzvBhNVcUChf0uo14NOH4
27,"you broke me first","Tate McRae",34506,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
28,"Watermelon Sugar","Harry Styles",33647,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
29,"ELVIS (feat. Carmon)",Artigeardit,31170,https://open.spotify.com/track/7eqWMEglpQpGsXqeSBmsVC
30,Sympati,"Benny Jamz",30681,https://open.spotify.com/track/1O1a5YazA3weh719NmiW9I
31,Svag,"Victor Leksell",30606,https://open.spotify.com/track/4SS4YfDAEQG0fZAe1xfgn3
32,"Pull Up",NODE,29540,https://open.spotify.com/track/1bFqHGJCapFjrMxBH6EjSY
33,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",29090,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
34,Pokerface,"Shooter Gang",28385,https://open.spotify.com/track/5HQfblxixTsQRTpqts6ULJ
