,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Hawái,Maluma,1647789,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
2,"La Jeepeta - Remix","Nio Garcia",588663,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
3,"Ay, DiOs Mío!","KAROL G",569310,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
4,"Mi Cuarto","Jerry Di",496043,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
5,"Aquí Abajo","Christian Nodal",491236,https://open.spotify.com/track/16ONd70tvWAaLIc6hcLzaG
6,Relación,Sech,488802,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ
7,"Tattoo - Remix with Camilo","Rauw Alejandro",482065,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S
8,"Se Me Olvidó","Christian Nodal",463899,https://open.spotify.com/track/7paFC3FEu1WtPVP4Do6VZN
9,"La Curiosidad","Jay Wheeler",463879,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
10,"Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto)","Super Yei",449331,https://open.spotify.com/track/5DoLhdU27owX1NMrKLUbUl
11,Azul,"J Balvin",428675,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
12,"Nace Un Borracho","Christian Nodal",428448,https://open.spotify.com/track/6SnO4yCCYtz2rffMpEAlro
13,Caramelo,Ozuna,415336,https://open.spotify.com/track/5Jm4w8jmPEBTLjI9vH4fXo
14,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,405380,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp
15,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",394231,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
16,"Pa' Olvidarme De Ella","Piso 21",374704,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
17,"Relación - Remix",Sech,367708,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
18,"Blinding Lights","The Weeknd",364303,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
19,"Djadja (feat. Maluma) - Remix","Aya Nakamura",357014,https://open.spotify.com/track/13vDU8nPsvTGEVTMB8Vw7g
20,"De Los Besos Que Te Di","Christian Nodal",354261,https://open.spotify.com/track/1qfoq1qvZT7VwDVeekCJ97
21,"Amor Tóxico","Christian Nodal",336533,https://open.spotify.com/track/5LPlvbxA6bJQHvUW12Mr22
22,"La Mitad",Camilo,327553,https://open.spotify.com/track/63Zaf8Rci6eOUPqDQ4fUFx
23,AYAYAY!,"Christian Nodal",298525,https://open.spotify.com/track/7iQc2DabEtzp60faOO9EmN
24,"Se Te Nota (with Guaynaa)","Lele Pons",295206,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
25,Jangueo,"Alex Rose",292771,https://open.spotify.com/track/1bRpSCFv6P2OUhciByeRYR
26,"Caramelo - Remix",Ozuna,284107,https://open.spotify.com/track/67jvGGbJmOmVonlyX3mNkV
27,Rojo,"J Balvin",281676,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
28,Tú,"Carin Leon",271373,https://open.spotify.com/track/1nLs8r6K4YN0avBwUmmTnr
29,"Una Locura",Ozuna,260796,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
30,"Parce (feat. Justin Quiles)",Maluma,260559,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
31,"Yo Perreo Sola","Bad Bunny",259395,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
32,Tusa,"KAROL G",255765,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
33,"Me La Avente","Carin Leon",255070,https://open.spotify.com/track/2QwMXe5zbqymDZGYsMDVqZ
34,Favorito,Camilo,253704,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
35,Safaera,"Bad Bunny",252633,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
36,"Watermelon Sugar","Harry Styles",252378,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
37,"Tak Tiki Tak","Harry Nach",241237,https://open.spotify.com/track/7gwwt1IaAWwmB7af0AcuBM
38,ADMV,Maluma,239540,https://open.spotify.com/track/4j3iq13kHs5PB94jdTp3Y3
39,"La Tóxica",Farruko,239157,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
40,"Quiéreme Mientras Se Pueda","Manuel Turizo",236412,https://open.spotify.com/track/34LI7rwi9H8w2S5KTHnv1M
41,"Elegí (feat. Dímelo Flow)","Rauw Alejandro",234635,https://open.spotify.com/track/50ZC4PM7hywH27RcCfViau
42,"El Mismo Aire - con Pablo Alborán",Camilo,233591,https://open.spotify.com/track/5EbtodsuLbxrFDH6j5avVS
43,"No Bailes Sola","Danna Paola",229567,https://open.spotify.com/track/1GNSWpe2SB30zYGbNTD96b
44,"Dance Monkey","Tones And I",228268,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
45,"El Efecto","Rauw Alejandro",224838,https://open.spotify.com/track/4SJHHpKhcuXwDsCsPqshXj
46,+Linda,Dalex,222454,https://open.spotify.com/track/5cBrOhKDyiJF9bPGUHKkG0
47,"Mamichula - con Nicki Nicole",Trueno,218300,https://open.spotify.com/track/4pXW6ZAHBz7ODXTRKklWrM
48,"Yo Ya No Vuelvo Contigo - En Vivo","Lenin Ramírez",216863,https://open.spotify.com/track/4dKY6JFNvj2yWzENIL1P6s
49,"PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix",Feid,216251,https://open.spotify.com/track/7lUdbnz7wsv3C9zzf4WHl9
50,"Sigues Con El","Dímelo Flow",215890,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
51,"No Te Contaron Mal","Christian Nodal",215319,https://open.spotify.com/track/7hbk4BaF66O09R1gq0bKwj
52,Singapur,"El Alfa",207978,https://open.spotify.com/track/4QfZYDhGZc0T2RDvGiI69E
53,"Dream Girl - Remix","Ir Sais",205375,https://open.spotify.com/track/099tjv6oy2opbpCOA3nBwX
54,Dynamite,BTS,203564,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
55,"Cabrón y Vago - En Vivo","El Fantasma",191742,https://open.spotify.com/track/4nbWX2HzrOEnX4xxvYRCyU
56,"Madrid (feat. Myke Towers)",Maluma,186356,https://open.spotify.com/track/19OXtYzrJyCrQvTbfukt4H
57,"Amor A Primera Vista","Los Ángeles Azules",185968,https://open.spotify.com/track/5Myb8S90Wg0yLec5kmrIGJ
58,"Ayer Me Llamó Mi Ex (feat. Lenny Santos)",KHEA,185566,https://open.spotify.com/track/6C6mUonH6MNdSg5pw7kOc9
59,"Hasta Que Dios Diga","Anuel AA",183806,https://open.spotify.com/track/06s3QtMJVXw1AJX3UfvZG1
60,"WAP (feat. Megan Thee Stallion)","Cardi B",182949,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
61,"Ramito De Violetas","Mi Banda El Mexicano",182600,https://open.spotify.com/track/7BwEomcUntwQkSWf3U0Yxl
62,"No Me Conoce - Remix","Jhay Cortez",180712,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
63,"Palabra de Hombre","El Fantasma",180270,https://open.spotify.com/track/4CLkDJ4xLqkV4Vt2vPOny1
64,"LA CANCIÓN","J Balvin",178746,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
