,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,SHAWTY,Luciano,46430,https://open.spotify.com/track/2zeWbdSyAcN0O0r7em4j3B
2,"All I Want for Christmas Is You","Mariah Carey",45902,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
3,"Kein Hunger",Loredana,43701,https://open.spotify.com/track/09neQCQwBgcu9r2QHE6YpP
4,"Last Christmas",Wham!,43455,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
5,"Lost (feat. TOPIC42)",Samra,41114,https://open.spotify.com/track/19LqJBBfd73oeBc3CPgDdl
6,"Mood (feat. iann dior)",24kGoldn,33095,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
7,"ka je",Dardan,32961,https://open.spotify.com/track/0IhTszc48NK2EBCvvc1KKU
8,"Santa Tell Me","Ariana Grande",32054,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
9,"It's Beginning to Look a Lot like Christmas","Michael Bublé",30177,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
10,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",29606,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
11,Whoopty,CJ,29579,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA
12,KAKTUS,Ramo,28070,https://open.spotify.com/track/6i6EJCuy9MLP02r5JYoDev
13,"Jingle Bell Rock","Bobby Helms",27821,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
14,"Rockin' Around The Christmas Tree","Brenda Lee",27155,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
15,"Blinding Lights","The Weeknd",25553,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
16,"Underneath the Tree","Kelly Clarkson",25309,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5
17,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,25225,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
18,"Head & Heart (feat. MNEK)","Joel Corry",25139,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
19,"Let It Snow! Let It Snow! Let It Snow!","Dean Martin",24348,https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg
20,DÁKITI,"Bad Bunny",23851,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
21,"It's the Most Wonderful Time of the Year","Andy Williams",23505,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
22,"Jerusalema (feat. Nomcebo Zikode)","Master KG",22787,https://open.spotify.com/track/2MlOUXmcofMackX3bxfSwi
23,Mistletoe,"Justin Bieber",21902,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
24,"Feliz Navidad","José Feliciano",21834,https://open.spotify.com/track/3qCeq0rWK67SoBDgFd2sId
25,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",21723,https://open.spotify.com/track/1HbA4N1MiOsPthALesGFR1
26,"What You Know Bout Love","Pop Smoke",21520,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
27,HOLIDAY,"Lil Nas X",21006,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
28,"All We Got (feat. KIDDO)","Robin Schulz",20978,https://open.spotify.com/track/1FP9s72rDYty6mfoOEYKnE
29,"Show Out (with Skepta & Pop Smoke)","Kid Cudi",20910,https://open.spotify.com/track/5CFJRZRq6sdKKtRwNPWbYv
30,positions,"Ariana Grande",20663,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
31,"Therefore I Am","Billie Eilish",20528,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
32,"Lonely (with benny blanco)","Justin Bieber",20473,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
33,"Driving Home for Christmas - 2019 Remaster","Chris Rea",19272,https://open.spotify.com/track/27qAMKrDdKEs8HDXcvR24R
34,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,19246,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
35,Nshallah,Zuna,19206,https://open.spotify.com/track/74HpGbP9e5oOdeY6XxcGP3
36,"Dance Monkey","Tones And I",18632,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
37,"Sleigh Ride","The Ronettes",18616,https://open.spotify.com/track/7fUYUcWy853HS8YJn0b3Sr
38,"you broke me first","Tate McRae",18512,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
39,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",18385,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
40,willow,"Taylor Swift",18292,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D
41,Tribut,"Lo & Leduc",17931,https://open.spotify.com/track/0N1AE3zqGZYLmvffDCJkNy
42,"Holly Jolly Christmas","Michael Bublé",17274,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
43,"Do They Know It's Christmas? - 1984 Version","Band Aid",17234,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
44,"Roses - Imanbek Remix","SAINt JHN",17053,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
45,"Wonderful Christmastime - Edited Version / Remastered 2011","Paul McCartney",16741,https://open.spotify.com/track/1SV1fxF65n9NhRHp3KlBuu
46,"Watermelon Sugar","Harry Styles",16535,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
47,"Tequila Shots","Kid Cudi",16447,https://open.spotify.com/track/30KctD1WsHKTIYczXjip5a
48,"Mother Fuck",Jul,16440,https://open.spotify.com/track/6PqRRt5BCxO6tay5Nry0dj
49,"Streben nach Glück","PA Sports",16357,https://open.spotify.com/track/0h02nmbL0JVgeU4T0BvX96
50,"Happy Xmas (War Is Over) - Remastered 2010","John Lennon",16202,https://open.spotify.com/track/27RYrbL6S02LNVhDWVl38b
51,"Someone You Loved","Lewis Capaldi",16137,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
52,"Breaking Me",Topic,16018,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
