,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,DÁKITI,"Bad Bunny",183732,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
2,BICHOTA,"KAROL G",140500,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
3,"LA NOCHE DE ANOCHE","Bad Bunny",108481,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
4,Hawái,Maluma,99733,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
5,"La Nota","Manuel Turizo",82411,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
6,"La Curiosidad","Jay Wheeler",77066,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
7,"TE MUDASTE","Bad Bunny",74265,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
8,"Chica Ideal","Sebastian Yatra",73552,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
9,"Parce (feat. Justin Quiles)",Maluma,73426,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
10,"Vida de Rico",Camilo,73154,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F
11,"La Tóxica",Farruko,72597,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
12,"Una Locura",Ozuna,69055,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
13,Reloj,"Rauw Alejandro",67630,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
14,"Relación - Remix",Sech,67032,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
15,Jeans,"Justin Quiles",65215,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
16,"Ay, DiOs Mío!","KAROL G",64466,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
17,Despeinada,Ozuna,63065,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
18,"Mi Niña",Wisin,59651,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
19,BEBÉ,Camilo,56885,https://open.spotify.com/track/7D7EH7MGyNHWSkqrszerI1
20,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",55397,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
21,"Tattoo - Remix with Camilo","Rauw Alejandro",51996,https://open.spotify.com/track/4G3PTss3mU33Tau7t4KbwE
22,"Hecha Pa' Mi",Boza,50277,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
23,"HACIENDO QUE ME AMAS","Bad Bunny",49590,https://open.spotify.com/track/26QApq0cuO9brJigr0C0W4
24,Azul,"J Balvin",48064,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
25,"Se Te Nota (with Guaynaa)","Lele Pons",47508,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
26,CHIMBITA,Feid,47464,https://open.spotify.com/track/5xwjEzvJ2OSdnHlzusKNYA
27,"Las Locuras Mías","Silvestre Dangond",47237,https://open.spotify.com/track/58sCyRSFBV0m60kbV9rtp9
28,"Mi Cuarto","Jerry Di",45351,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
29,"La Luz",Sech,44450,https://open.spotify.com/track/5zj8WNkBrEzlI5FKeYV4ol
30,"La Jeepeta - Remix","Nio Garcia",43911,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
31,"Blinding Lights","The Weeknd",43260,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
32,"Más De La Una","Piso 21",42147,https://open.spotify.com/track/69Y5IZuBvGyzySFt5x7kCq
