,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"WITHOUT YOU","The Kid LAROI",138714,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
2,"All I Want for Christmas Is You","Mariah Carey",113864,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
3,"Last Christmas",Wham!,104189,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
4,"It's Beginning to Look a Lot like Christmas","Michael Bublé",94207,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
5,"Home for Christmas","Maria Mena",87422,https://open.spotify.com/track/3E0fq2gqsNbQo5paAuEcmc
6,"Himmel På Jord","Kurt Nilsen",83622,https://open.spotify.com/track/0WFyQgDzbQCfJuxcHW4Zrt
7,"Driving Home for Christmas - 2019 Remaster","Chris Rea",82222,https://open.spotify.com/track/27qAMKrDdKEs8HDXcvR24R
8,"SO DONE","The Kid LAROI",81390,https://open.spotify.com/track/3qgPpwtuRu5oP8EtFSj8HE
9,Snowman,Sia,80720,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
10,"Selmas sang (fra Snøfall)","Eva Weel Skram",76603,https://open.spotify.com/track/0PRX6CXffB3cARlzNCkmR4
11,"Hey Ho","Freddy Kalas",75913,https://open.spotify.com/track/0eekaX32hUmJgcinPCL1iZ
12,"Santa Tell Me","Ariana Grande",73583,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
13,"Mood (feat. iann dior)",24kGoldn,68655,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
14,Mistletoe,"Justin Bieber",66366,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
15,"Lonely (with benny blanco)","Justin Bieber",65335,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
16,Svag,"Victor Leksell",63676,https://open.spotify.com/track/4SS4YfDAEQG0fZAe1xfgn3
17,HOLIDAY,"Lil Nas X",60901,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
18,"Jingle Bell Rock","Bobby Helms",60005,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
19,Whoopty,CJ,59940,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA
20,"Jul i svingen","Ingebjørg Bratland",59053,https://open.spotify.com/track/7aow7l9y8joEIEzKSDu9eW
21,"Jula Hjemme (feat. Trygve Skaug)","Maria Mena",58605,https://open.spotify.com/track/47G1D6ZRAkj37PsONIqs8h
22,"Be Okay","Victoria Nadine",58282,https://open.spotify.com/track/1kJ9iysFb93KSeorhV109C
23,"Fairytale of New York (feat. Kirsty MacColl)","The Pogues",56931,https://open.spotify.com/track/3VTNVsTTu05dmTsVFrmGpK
24,"Jul i Karantene",TIX,55005,https://open.spotify.com/track/1upyP0ZlxLYfJdz1Le0w8x
25,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",54506,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
26,"Christmas Lights",Coldplay,54205,https://open.spotify.com/track/4fzyvSu73BhGvi96p2zwjL
27,"you broke me first","Tate McRae",53034,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
28,"Rockin' Around The Christmas Tree","Brenda Lee",52159,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
29,"It's the Most Wonderful Time of the Year","Andy Williams",49892,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
30,"Therefore I Am","Billie Eilish",49261,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
31,Somebody,Dagny,48569,https://open.spotify.com/track/6hCGVqheUBzymvfA7IB4Y9
32,willow,"Taylor Swift",47717,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D
33,"Reminds Me Of You","Juice WRLD",47666,https://open.spotify.com/track/5YSHygGN9D0mID1NsVd5my
34,"Blinding Lights","The Weeknd",47193,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
35,Stjernesludd,"Kurt Nilsen",46161,https://open.spotify.com/track/0zCU35nRISaqZqlUXNEL5Z
36,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",45323,https://open.spotify.com/track/1HbA4N1MiOsPthALesGFR1
37,"Santa Lucia",Svingenkoret,44347,https://open.spotify.com/track/6JspRQrXelZuB0WUSeWdMf
