,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Чистый - OST «Псих»",Scriptonite,76698,https://open.spotify.com/track/2Z0OcpA4i1KayJbXn800le
2,"Снова я напиваюсь","SLAVA MARLOW",68052,https://open.spotify.com/track/18t2lAzaHW2bJomYeyzrpy
3,"По Глазам","SLAVA MARLOW",53864,https://open.spotify.com/track/53bbEINuw0ez3ntLcqYCu2
4,Быстро,"SLAVA MARLOW",47376,https://open.spotify.com/track/2vuRLuYUWwwQgQtg1TzkKj
5,"Тренировочный День",Markul,44734,https://open.spotify.com/track/6btL4WThtJD8oW7Oe2iAPt
6,Дежавю,kizaru,40769,https://open.spotify.com/track/1GOiMxQXZUzjzH0Sxpck0B
7,"Не жалея","Miyagi & Andy Panda",36064,https://open.spotify.com/track/6eqth4FmYzrreFVlTlp53I
8,"Москва любит...",Scriptonite,33718,https://open.spotify.com/track/41bGn6u78I8eNZg86tx3vp
9,"Blinding Lights","The Weeknd",32848,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
10,Положение,Scriptonite,32774,https://open.spotify.com/track/1hfISzdAwnywAKxaSpfloo
11,"Therefore I Am","Billie Eilish",32665,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
12,Сияй,Ramil',32209,https://open.spotify.com/track/4XA22ZDMhpoepUBy1bJHVM
13,Dynamite,BTS,31899,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
14,WATAFUK?!,MORGENSHTERN,31830,https://open.spotify.com/track/7aCtjju6kQ316xn95FIOGq
15,Окей,"Tima Belorusskih",30353,https://open.spotify.com/track/3MPFuEXwjdrR7yKua2wrUL
16,"ПАЦАНЫ II",GONE.Fludd,30300,https://open.spotify.com/track/0VisuG3eiI7QssKZT57GiC
17,Втюрилась,дора,30150,https://open.spotify.com/track/575JDrZ0bLVMycVrcBNrhH
18,"Последний танец","TINI LIN",30082,https://open.spotify.com/track/5Y4IMG8dZRnshdtVVaGNvA
19,Minor,"Miyagi & Andy Panda",29979,https://open.spotify.com/track/5m5rShfBQk4UpG7vpsEKzf
20,"El Problema - prod. SLAVA MARLOW",MORGENSHTERN,29870,https://open.spotify.com/track/4EAiPdDayHEaYo3YKgbV7q
21,АУФ,"SQWOZ BAB",29829,https://open.spotify.com/track/5BjlGzddT6zbS7X8bfjQDp
22,"Deep End",Fousheé,29280,https://open.spotify.com/track/6HlE9t71z9DjGi7KqSyEpA
23,Колхозник,Mnogoznaal,28765,https://open.spotify.com/track/19guFw87TvSkoxnC9EBu2Y
24,"Если тебе будет грустно","Rauf & Faik",28191,https://open.spotify.com/track/3UQSF4LRAqmoJmjXnuOle2
25,Cadillac,MORGENSHTERN,27172,https://open.spotify.com/track/6qWaZ2KzYhyrv1ILuAcIIv
26,BODYBAG,Eldzhey,26724,https://open.spotify.com/track/2TSukiuq5QZ6rsLWDhwm3G
27,"Меня не будет",ANIKV,26711,https://open.spotify.com/track/2MdloxY70RQRuhtfXIzdWJ
28,"СЛЁЗЫ - OST ""Пацанки""","Anet Sai",26702,https://open.spotify.com/track/4nMwnw4MvVj3MedlufvUgB
29,"Life Goes On",BTS,26276,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
30,Fendi,Rakhim,25594,https://open.spotify.com/track/6Y6J8CNHtOuklPhVnvmnm1
31,"Поболело и прошло",HENSY,25174,https://open.spotify.com/track/6PBVlqjvNb26dYZOFKTX51
32,"WAP (feat. Megan Thee Stallion)","Cardi B",24651,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
33,"Friendly Fire - Prod. Avepack","Boulevard Depo",24073,https://open.spotify.com/track/5rsylaCMgQ5q5IjrZBGm8q
34,Злой,"SLAVA MARLOW",23828,https://open.spotify.com/track/1KOZFJLoViAWnLJwm4AU1Y
35,"Block Baby",kizaru,23407,https://open.spotify.com/track/4hWZvXVTUYWO3KXThQBwGt
36,"Rolls Royce",Geegun,22665,https://open.spotify.com/track/22XFe65IH0P2RY0uowBqdI
37,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",22538,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
38,willow,"Taylor Swift",22254,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D
39,Monday,ROCKET,22193,https://open.spotify.com/track/1AuvZZkmzlsArfACRNk97B
40,ERRDAY,"Big Baby Tape",22048,https://open.spotify.com/track/57rD7XtoxxJm229FITm556
41,"She Knows This","Kid Cudi",21991,https://open.spotify.com/track/1xzUQMiCoY5pdego0pHMeV
42,X.O,"The Limba",21928,https://open.spotify.com/track/6o92Z50qYohU4Q03xbMneu
43,Тлеет,Bula,21820,https://open.spotify.com/track/0F7pTAMyTJFdvveeQ1GfVL
44,"Tequila Shots","Kid Cudi",21617,https://open.spotify.com/track/30KctD1WsHKTIYczXjip5a
45,Kosandra,"Miyagi & Andy Panda",21312,https://open.spotify.com/track/4CeBKWWLXMrQMFsP0Q0K3V
46,"Show Out (with Skepta & Pop Smoke)","Kid Cudi",20829,https://open.spotify.com/track/5CFJRZRq6sdKKtRwNPWbYv
47,Бэнгер,FEDUK,20634,https://open.spotify.com/track/64rO4yHhyMW8DdfA7VtwLA
48,ОЙ,"SQWOZ BAB",19945,https://open.spotify.com/track/4I7QKKTZQYyjwdGPSjCPBX
49,"DEF JOINT FREESTYLE 1",OBLADAET,19689,https://open.spotify.com/track/0WHnEzOVni07YpFWmGQmqR
50,Юность,Dabro,19463,https://open.spotify.com/track/7xj257soFMmOkofirGjAv5
51,"Пьяную домой","Klava Koka",19237,https://open.spotify.com/track/58M38cU2Wm6iU0YLjxcpmy
52,Номера,LSP,19177,https://open.spotify.com/track/5M2su06vvCxNYWkYktVmwC
53,Веснушки,pyrokinesis,19147,https://open.spotify.com/track/2R0GqpFchg0kLneRFpLRGn
54,"FOR MULA",OBLADAET,19106,https://open.spotify.com/track/3mj1T05zpwgUZF7X3Ans1L
55,Yamakasi,"Miyagi & Andy Panda",18878,https://open.spotify.com/track/2fIBmScNzkGmSJ3y2XsmEI
56,"Mood (feat. iann dior)",24kGoldn,18872,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
57,Днями-ночами,pyrokinesis,18023,https://open.spotify.com/track/04gmklgYhNhZxRnAvSofoE
58,"Another Day","Kid Cudi",17775,https://open.spotify.com/track/6myUpr3GDR80Dg3zqNTmmG
59,Молодость,Basta,17730,https://open.spotify.com/track/53zTosEiNIXxOJmLs2vlNl
60,"БЕГИ feat. Poët","DJ Smash",17658,https://open.spotify.com/track/7iUh1Z9FGlCtg1rXTC10IV
61,"Кукла колдуна","Korol i Shut",17589,https://open.spotify.com/track/2DYzsMQpO7xOw7b3JwyIWP
62,Танцы,ssshhhiiittt!,17522,https://open.spotify.com/track/5hY09NvKjD3gBQS3qhriXD
63,"Christmas Saves The Year","Twenty One Pilots",17387,https://open.spotify.com/track/6ZTFZm4IEFnMSDfO6mVgMY
64,"Это любовь",Scriptonite,17348,https://open.spotify.com/track/1P9oRiZJWnxe2pZmYUZ5eC
65,Коми,"SODA LUV",17055,https://open.spotify.com/track/6ugYbXPyqfpYTtG9z6YRvH
66,Mamacita,Yanix,17047,https://open.spotify.com/track/6e4zuXgNguqvk9YvAJA4cL
67,молчи,кис-кис,16978,https://open.spotify.com/track/4NjcBu9yymywoxK1l9tdBE
