Position,"Track Name",Artist,URL
1,"Yüzünü Güneşe Dön","İyi Olacak",https://open.spotify.com/track/5HHRdW3FK123H4zWweGfae
2,"Yalnız Çiçek","Aleyna Tilki",https://open.spotify.com/track/4CCYUYAzFBvD2omNu9EGPI
3,"Enes Abi Anamı Siksene","Carry Potter",https://open.spotify.com/track/24K3UJD5jvASSOpp7OkcXH
4,Vuracak,"Merve Özbey",https://open.spotify.com/track/1jCv5QxEnfPyup6Kha3hNh
5,"Hani Gökbörü (Qeni Kök Böre)","Abdurehim Heyit",https://open.spotify.com/track/1KSf8DBNYmgiI2Ug9jtoKF
6,"Bi' Fazla","Elçin Orçun",https://open.spotify.com/track/5CEDFlX2WDEwZNHv588tJc
7,"New Light","John Mayer",https://open.spotify.com/track/3bH4HzoZZFq8UpZmI2AMgV
8,"Kara Gider","Cenk Erdoğan",https://open.spotify.com/track/3YX30ZYmQMw7CNgOQBaLav
9,"Art Arda","Tankurt Manas",https://open.spotify.com/track/0WrDkfGr86ydcSAwGzQH8r
10,"FAKE LOVE",BTS,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo
11,"Lucid Dreams","Juice WRLD",https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
12,"Welcome to the Party (with French Montana & Lil Pump, feat. Zhavia Ward) - from Deadpool 2",Diplo,https://open.spotify.com/track/5mqzhMuUpvnMfwNz6iepmO
13,"What If (I Told You I Like You)","Johnny Orlando",https://open.spotify.com/track/4v7DgEMw6EvYyuQ4eWFD9l
14,"Remember the Rain","Kadhja Bonet",https://open.spotify.com/track/3bPlMzfHJMYqdAC80NLPTb
15,"Nefret Ediyorum",Keişan,https://open.spotify.com/track/2ahuyDHjbRhVT6cl6Akre7
16,"Yastıklı Şarkı","Ezginin Günlügü",https://open.spotify.com/track/6y8lyV4fUWkyL0B4kMudSQ
17,"Hasta - Remix","Dj Ferdi Özkan",https://open.spotify.com/track/4SOUEGtTkTNvei7eivgpYE
18,"Грустная сука",IC3PEAK,https://open.spotify.com/track/18hIrODUziu3KyUxeDKlcq
19,"Promise Not To Fall","Human Touch",https://open.spotify.com/track/7tQ9nEJbYZTb8ghZ0d2t0k
20,"Gamzendeki Çukur","Kubilay Aka",https://open.spotify.com/track/5b4RSoj4amz8NiWtT00UiC
21,"Buz Kırağı",Edis,https://open.spotify.com/track/2nS376iNMq34rq6WB9tggb
22,"Wake Me When It's Quiet",Hilda,https://open.spotify.com/track/5JCZ1e1ahbCkzwX62BbsY7
23,Yarabandı,Velet,https://open.spotify.com/track/2QjStnS0SOEgQdLB6nkxW1
24,"Hastayım Sana","Asil Gök",https://open.spotify.com/track/0TLSAhyUVKBQlqhR1Po9XC
25,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
26,Değilsin,"Mabel Matiz",https://open.spotify.com/track/4BtNvgh46CncpxfYhSCu4i
27,"Only Can Get Better (feat. Daniel Merriweather)","Silk City",https://open.spotify.com/track/7l2dHlKH07RO0BK0Lh6obt
28,"All Night",mishlawi,https://open.spotify.com/track/0eSu1GJ3RybVgWLI5nRZ33
29,"Devil Eyes","Hippie Sabotage",https://open.spotify.com/track/7MiZjKawmXTsTNePyTfPyL
30,"You Can't Stop This Motherf**ker - Choir Only Mix (from ""Deadpool 2"")","Tyler Bates",https://open.spotify.com/track/0lpMr6rPWKnY8VCm0Ubysz
31,"Seninle Olmak Varya","Ceyda Mazalto",https://open.spotify.com/track/1MoQK3x7CrYVM3P7h1PKEU
32,"Pavyon (feat. Ezhel)",Artz,https://open.spotify.com/track/1ilFULm3dQtAPMpNIQz5RJ
33,"Speedy Turkish","Dj Ferdi Özkan",https://open.spotify.com/track/4jVF7WYSDKFZEbQiBnraN6
34,"B*TCH I'M BELLA THORNE","Bella Thorne",https://open.spotify.com/track/5HhFQfdaPyiC4mjt2TFxxP
35,Nervous,"Shawn Mendes",https://open.spotify.com/track/0Dq49j3dELbttQVUJbtn0c
36,"İlan-ı Aşk","Ceylan Ertem",https://open.spotify.com/track/048isyEFIZjgjQIsit7eN4
37,"lovely (with Khalid)","Billie Eilish",https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
38,"What Would Meek Do?","Pusha T",https://open.spotify.com/track/5vnuJ8EopkP5dHukpOmT3L
39,"Yes Indeed","Lil Baby",https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
40,"If You Know You Know","Pusha T",https://open.spotify.com/track/6bGwKHXHNLmTy6yt147FPh
41,"Take On Me - MTV Unplugged",a-ha,https://open.spotify.com/track/7CFN1zqKSjucIyDzcrqE6I
42,"Sessiz Ve Yalnız","Sagopa Kajmer",https://open.spotify.com/track/7C2hzJlXqqlWDhEGBp7kJQ
43,Gönlüm,"Electro Tülay",https://open.spotify.com/track/5kGvQXOy9zumMUtmaYn2A9
44,"Sans lendemain","La Riviera",https://open.spotify.com/track/0Iq6iYhiHmixSUdwL1cjSV
45,"Kendine İyi Bak","Eren Can Kahraman",https://open.spotify.com/track/0BgIitlKQutjSUakpYVzsK
46,"Dayan Yüreğim","Hakan Altun",https://open.spotify.com/track/3vbE0cYdfYvvTQRke6u0qz
47,"Take Me To Church - Acoustic","Kevin Simm",https://open.spotify.com/track/4UMAohMdGoaRwIwxif9rel
48,"Çat Kapı","Oğuzhan Koç",https://open.spotify.com/track/59zFMkdI6l8pi3fYngOC3B
49,"Love the Lie","Call Me Loop",https://open.spotify.com/track/6mjVwwhQ6KH1tCupLwyRUA
50,"House of Rising Sun","Alex Kislov",https://open.spotify.com/track/0tNyhtoKyacy4VdUPjgKRg
