Position,"Track Name",Artist,URL
1,"Be Alright","Dean Lewis",https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
2,"Happy Now",Zedd,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
3,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
4,"Eastside (with Halsey & Khalid)","benny blanco",https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
5,"Beautiful (feat. Camila Cabello)",Bazzi,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
6,broken,lovelytheband,https://open.spotify.com/track/6XcfKZvJio9Z0fQy11GnNX
7,"In My Mind",Dynoro,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
8,"Janger Persahabatan",Ariel,https://open.spotify.com/track/6zhtjatgyKrS3mZRHGVPgE
9,"SICKO MODE","Travis Scott",https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
10,"Meraih Bintang","Via Vallen",https://open.spotify.com/track/4yRiSND7cTKbivGz7wk4Hc
11,"No Brainer","DJ Khaled",https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
12,"Hanya Lagu","Ruang Raga",https://open.spotify.com/track/7v725Cvzbqle1qvUvDjcRz
13,"Bright As The Sun - Official Song Asian Games 2018","Energy 18",https://open.spotify.com/track/3tW06xdsCnCM3XKfJ5YQML
14,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",https://open.spotify.com/track/2lYTJK94hb0fd1LQtb6Dhk
15,"Numpak Rx King (feat. Pancal 15)","Sodiq Monata",https://open.spotify.com/track/3gPHYPB8xZWjvNfzcaRokk
16,"Drew Barrymore","Bryce Vine",https://open.spotify.com/track/0OgGn1ofaj55l2PcihQQGV
17,"All Night Long","JST FRNDS",https://open.spotify.com/track/6wnYRj6VDtrPobW9ob3XWs
18,"Gak Ada Waktu Beib","Ghea Youbi",https://open.spotify.com/track/5ezS3duP28Gr3AGVljc33s
19,Darkside,"Alan Walker",https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG
20,Unbeatable,JFlow,https://open.spotify.com/track/1strJTTLLOQTe2y1uY4nRy
21,"愛,存在",魏奇奇,https://open.spotify.com/track/5ujzXla4Duu88FPpfJM9xB
22,"Just Us","Said the Sky",https://open.spotify.com/track/04amRUbvDaUMmE9U4Vs48E
23,"We Don't Care",Sigala,https://open.spotify.com/track/59D6pNWyn8UXPpos5fbAqm
24,"Tie Me Down (with Elley Duhé)",Gryffin,https://open.spotify.com/track/4QVS8YCpK71R4FsxSMCjhP
25,Shotgun,"George Ezra",https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
26,Clouds,"North To East",https://open.spotify.com/track/6GJpkR776SkVYZLTVxtdNT
27,"KILLING ME",iKON,https://open.spotify.com/track/27kB4qLUCV8nZd2eOgj1Tk
28,Sunflower,"Rex Orange County",https://open.spotify.com/track/4EpZ4eYuZOwPSSwyqpdHnJ
29,"Level Up",Ciara,https://open.spotify.com/track/5ubwXXOsH9bUhZsQ0Cybha
30,"No More",Revara,https://open.spotify.com/track/4G3ZABhK2uOrUUT8h2tdzA
31,學貓叫,小潘潘,https://open.spotify.com/track/56y9Vdi0PWuDqjz6RQ2K93
32,"Thru These Tears",LANY,https://open.spotify.com/track/4gB61mP4tNChn4LgfquMhi
33,"High On Life (feat. Bonn)","Martin Garrix",https://open.spotify.com/track/4ut5G4rgB1ClpMTMfjoIuy
34,"I'm a Mess","Bebe Rexha",https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
35,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
36,Lovers,"Anna of the North",https://open.spotify.com/track/6q8onrzcka32nGVrnWYGBQ
37,Crush,"Tessa Violet",https://open.spotify.com/track/6q7Tz67loOULIPEXo941hk
38,"Lose You Too","SHY Martin",https://open.spotify.com/track/5JkUNbYSn06ghlmu0NRUMf
39,マリーゴールド,Aimyon,https://open.spotify.com/track/0jWVUKsIoyo3zw64RaEWYg
40,"Power Up","Red Velvet",https://open.spotify.com/track/381g0b6QZxC13SzA2HRMIc
41,"Better Off Gone","Logan Mize",https://open.spotify.com/track/6IqUm14MgoKbwt6jdGBikH
42,"In My Feelings",Drake,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
43,"Cool Out","Matthew E. White",https://open.spotify.com/track/0sVe9dSeNSisHB0OocGykj
44,"You've Got Your Whole Life Ahead Of You Baby",IDER,https://open.spotify.com/track/0TwC5a0VuD03SsbAXtgfd6
45,"Can't Take My Eyes Off You","Joseph Vincent",https://open.spotify.com/track/4mf6HE25CkxeezcdWyfUGO
46,"Girls Like You (feat. Cardi B)","Maroon 5",https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
47,<3,"Ben Sihombing",https://open.spotify.com/track/1etOzhLLcKmwJ111KB5nll
48,"Indonesia Raya - Great Indonesia (National Anthem Of Indonesia)","Anthems Alliance",https://open.spotify.com/track/28qqBkXmiPiM5huexrMI6O
49,Chinatown,"Wild Nothing",https://open.spotify.com/track/78zHfBrELUKtJwDjWzKBso
50,Rise,"Jonas Blue",https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
