Position,"Track Name",Artist,URL
1,"Djamm Queen","Séra Bjössi",https://open.spotify.com/track/09yIPZYopQjhfVyp5ULXzS
2,"Micro Penis","Séra Bjössi",https://open.spotify.com/track/6hYnaJrW0grMEFlkejCyOn
3,"Hættu Að Putta Mig","Séra Bjössi",https://open.spotify.com/track/2gLg8iRrHWvhmyWc9fpLdC
4,"Kreifa Þennan Dikk","Séra Bjössi",https://open.spotify.com/track/6jTY1r2vZja6eRe0lsunXu
5,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
6,"Bagg Og Nocco","Séra Bjössi",https://open.spotify.com/track/14S2blbelo4x0XTVRbfAqB
7,"Sweet but Psycho","Ava Max",https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
8,KFC,"Séra Bjössi",https://open.spotify.com/track/0SMBF8kbNzMIRa5eEAACep
9,"Falling Down - Bonus Track","Lil Peep",https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q
10,"Eina Sem Ég Vil",ClubDub,https://open.spotify.com/track/52oeIc4mgVs9J0o0QuZEag
11,"Upp Til Hópa","Herra Hnetusmjör",https://open.spotify.com/track/4OSdc34FbsNO5PmjuPDXRS
12,"151 Rum",JID,https://open.spotify.com/track/5NiqIB4BwRpoU1V6U195OU
13,"SLOW DANCING IN THE DARK",Joji,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
14,"Let Me Fall",ZÖE,https://open.spotify.com/track/3bbi2kSPcgJqBM03qkvaAx
15,"Let You Love Me","Rita Ora",https://open.spotify.com/track/6xtcFXSo8H9BZN637BMVKS
16,"Ekkert Cap","Prince Fendi",https://open.spotify.com/track/56e7zZkOiHEBjEg4XALY6m
17,GMF,"John Grant",https://open.spotify.com/track/4XluehCQCnhhYD4cAd9Wfu
18,"New Patek","Lil Uzi Vert",https://open.spotify.com/track/0Fpen1PTuEnCmOJtUU9Iud
19,"High (feat. Elton John)","Young Thug",https://open.spotify.com/track/7iMDaY1LnASwCk2uUpMtii
20,"No Stylist (feat. Drake)","French Montana",https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A
21,"Diamond Heart","Alan Walker",https://open.spotify.com/track/4J4zx8xGJpuGndrVc06KaT
22,"Lost In Japan - Remix","Shawn Mendes",https://open.spotify.com/track/575NJxNUVDqwJGdzBrlLbv
23,"Can’t Help Falling in Love","Kina Grannis",https://open.spotify.com/track/7uuEfUMuPeQ7RlSWa0cES2
24,"This Feeling (feat. Kelsea Ballerini)","The Chainsmokers",https://open.spotify.com/track/15kQGEy89K8deJcZVFEn0N
25,"Stolen Dance","Milky Chance",https://open.spotify.com/track/6vECYJHxYmm3Ydt3fF01pE
26,"In My Mind",Dynoro,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
27,"Leave Me Alone","Flipp Dinero",https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
28,"Wake Up in the Sky","Gucci Mane",https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
29,"True Colors (feat. Maya Avedis)","XO Cupid",https://open.spotify.com/track/4AMY0oGSt7vZwgxDnHCJBr
30,"Backin' It Up (feat. Cardi B)","Pardison Fontaine",https://open.spotify.com/track/0PpfPNtQOOvbMNVJijTQj0
31,Honey,Robyn,https://open.spotify.com/track/3olYZQTYOLYNImERBnZZqm
32,"Hetjan (feat. Herra Hnetusmjör)",Huginn,https://open.spotify.com/track/7GM3D2CyLuQ3QwsO7ZIee6
33,"Stimpla mig út",Valdimar,https://open.spotify.com/track/1h7HRIlYbzjzuplhJZbYq9
34,"Promises (with Sam Smith)","Calvin Harris",https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
35,Feimin(n),BRÍET,https://open.spotify.com/track/3vzAXUZHQCiuHTOUeG5pKC
36,Uproar,"Lil Wayne",https://open.spotify.com/track/3wScL5W8H40zzCKN0atfBk
37,"Lætur mig",GDRN,https://open.spotify.com/track/0bnCxmktCsoiwb1Witnnrd
38,"Forever & Ever More","Nothing But Thieves",https://open.spotify.com/track/0NBAXi7pWtoiLo7oomWBKw
39,"Hide and Seek","Imogen Heap",https://open.spotify.com/track/7mMlbJlXXo2mRtQ4R9sIzD
40,Scream,"Roldan Law",https://open.spotify.com/track/5K5cT7P76XfzcJW1Cojd5Z
41,"Be Alright","Dean Lewis",https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
42,"Þú fullkomnar mig","Bjartar Sveiflur",https://open.spotify.com/track/0EYIwCMESN9Na3wdpQCpjq
43,"6 Figures","Justin Roberts",https://open.spotify.com/track/1MEPdOii0cmdHUbxN6L0uQ
44,"Stone By Stone","Arnór Dan",https://open.spotify.com/track/7bItClk4ZvAqb6p0fmuSa2
45,"Kung Fu",Cordae,https://open.spotify.com/track/3i01Zk9c0FQ5HA1WJjflXI
46,"De smukke unge mennesker - 2011 - Remaster","Kim Larsen",https://open.spotify.com/track/77qlTzXdjc9izVHXtYh6D3
47,"Rasputin - 7"" Version","Boney M.",https://open.spotify.com/track/67hbP9PFQZrb4XZc3TzB0s
48,Brass,"Dirty Rush & Gregor Es",https://open.spotify.com/track/2B0mjDZsZ9woOP0VxLl7KE
49,"Clubbed Up",ClubDub;Ra:tio,https://open.spotify.com/track/44W4kdPFIt6tRy4cw1mUA6
50,"Lost on You",LP,https://open.spotify.com/track/3SqvR3HYLlCTYzbDXJ52OC
