Position,"Track Name",Artist,URL
1,"Sweet but Psycho","Ava Max",https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
2,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
3,"I Feel Good Love","Just Us",https://open.spotify.com/track/29aax3U5gOkERbRTONe0tR
4,"Mia Khalifa",iLOVEFRiDAY,https://open.spotify.com/track/4iZC3zbvagtT4UbvuwH7fQ
5,"Bottled Up","Dinah Jane",https://open.spotify.com/track/2LHIwubgdCjbbBaoP9gkWB
6,"Monster Mash","Bobby ""Boris"" Pickett",https://open.spotify.com/track/6GmL39a9OazWtyMkAbJz7v
7,Tōrea,"Makaira Berry",https://open.spotify.com/track/2eLHscUKEegz4VqiE5yZDq
8,"Take It","Dom Dolla",https://open.spotify.com/track/3ebXuBiCPdiJeaHRiY0djO
9,"Aulos Reloaded","Vladimir Cauchemar",https://open.spotify.com/track/0pzKMdjWnQRd7SoHnhV7EO
10,"Love Someone","Lukas Graham",https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
11,"No Stylist (feat. Drake)","French Montana",https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A
12,Happier,Marshmello,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
13,"6 Figures","Justin Roberts",https://open.spotify.com/track/1MEPdOii0cmdHUbxN6L0uQ
14,"Falling Down - Bonus Track","Lil Peep",https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q
15,"Spooky Scary Skeletons (Remix)","Dr Stiig",https://open.spotify.com/track/6pwWIKw85UcUz83dhQ7GEe
16,"Let You Love Me","Rita Ora",https://open.spotify.com/track/6xtcFXSo8H9BZN637BMVKS
17,"There's No Way (feat. Julia Michaels)",Lauv,https://open.spotify.com/track/2hnxrRNzF74mdDzpQZQukQ
18,Shotgun,"George Ezra",https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
19,"This Feeling (feat. Kelsea Ballerini)","The Chainsmokers",https://open.spotify.com/track/15kQGEy89K8deJcZVFEn0N
20,"Backin' It Up (feat. Cardi B)","Pardison Fontaine",https://open.spotify.com/track/0PpfPNtQOOvbMNVJijTQj0
21,Celoso,"Lele Pons",https://open.spotify.com/track/33zcmmElV1YbRZe57biUjg
22,"You Say","Lauren Daigle",https://open.spotify.com/track/3ngc7rGlfeFaskU90EWl4R
23,"Bright Blue Skies","Mitch James",https://open.spotify.com/track/5zxwumO0laRosoeOvbVSvc
24,"Electricity (with Dua Lipa)","Silk City",https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
25,"Head Above Water","Avril Lavigne",https://open.spotify.com/track/1N7YeVU0ZwAFbOhwM61ef6
26,"151 Rum",JID,https://open.spotify.com/track/5NiqIB4BwRpoU1V6U195OU
27,"Character Flaws",Openside,https://open.spotify.com/track/4X9yu1zZjjSBc6fdPAbLqw
28,Waiting,KIAN,https://open.spotify.com/track/0mdIIgjVubCqYTBdCpP5k9
29,"In My Mind",Dynoro,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
30,"If We Ever - Unglued Remix","High Contrast",https://open.spotify.com/track/5lnCGe2IEKn1V2G3B5rzZQ
31,"Desire (with Dimension)","Sub Focus",https://open.spotify.com/track/507UUx311ghfFTMSuHUeyS
32,"Ups & Downs","Shavaun Marie",https://open.spotify.com/track/2i3Qw2GV7YxBeVyANQ302l
33,Soaked,Bene,https://open.spotify.com/track/70TEuKwiK0bd5phEQkbvT4
34,"Leave Me Alone","Flipp Dinero",https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
35,"Be Alright","Dean Lewis",https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
36,"Promises (with Sam Smith)","Calvin Harris",https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
37,"Wake Up in the Sky","Gucci Mane",https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
38,"SLOW DANCING IN THE DARK",Joji,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
39,Buwan,"juan karlos",https://open.spotify.com/track/5f9808hpiCpuNyqqdXmpF2
40,"I Love It (& Lil Pump)","Kanye West",https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
41,"Killing Me Softly","Adina Thembi",https://open.spotify.com/track/2R2NI9KYtleP8nQceFG2GW
42,RISE,"League of Legends",https://open.spotify.com/track/69Sy7207dnixZ6w7RSV9Kb
43,"Sunflower - Movie Version","Shannon Purser",https://open.spotify.com/track/0rsDhujEJ73Q7I9bvEljAZ
44,"One More Shot","Kaylee Bell",https://open.spotify.com/track/4k6TcdbxcemncjaTqq71lS
45,"Eastside (with Halsey & Khalid)","benny blanco",https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
46,"REEL IT IN",Aminé,https://open.spotify.com/track/5qHirGR7M9tdm6C17DlzSY
47,Killshot,Eminem,https://open.spotify.com/track/1jo3TwNGCXfNdB5uba3ZVv
48,"Diamond Heart","Alan Walker",https://open.spotify.com/track/4J4zx8xGJpuGndrVc06KaT
49,"Te Puea","Makaira Berry",https://open.spotify.com/track/4jdOQyv18QEvs5AX1WsLf4
50,"Maybe The Night",Ben&Ben,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei
