Position,"Track Name",Artist,URL
1,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson",https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF
2,"Rab El Kon Mayezna Bmeeza","Hamo Bika",https://open.spotify.com/track/2Qe6m4gB0SXOI5saN4nsM6
3,"Rewrite The Stars (with James Arthur & Anne-Marie)","James Arthur",https://open.spotify.com/track/6mQLN3zRtAp6ovjusyYKrV
4,"Going Bad (feat. Drake)","Meek Mill",https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
5,"Saturday Nights",Khalid,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
6,"Howeh El Hob","Adham Nabulsi",https://open.spotify.com/track/7o0v7fQ8SJKQjjA1kzSabX
7,"Ya Lail","Ahmed Kamel",https://open.spotify.com/track/7nuqChXN3JyzKgkxmS9Rzc
8,"Sweet but Psycho","Ava Max",https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
9,"Kan Fe Tefl","Ahmed Kamel",https://open.spotify.com/track/0Fxrdn9drMLpmbNhEpwNZK
10,"Without Me",Halsey,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
11,"Someone You Loved","Lewis Capaldi",https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc
12,"Maliket Gamal El Rouh","George Wassouf",https://open.spotify.com/track/4q1dJXzkpdTe7WJStVmTS9
13,HUMBLE.,"Kendrick Lamar",https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
14,"Jamala Wlo","Hazem Al Sadeer",https://open.spotify.com/track/1xPmf66wVpRcbGSpYqdQUB
15,"Say Something","A Great Big World",https://open.spotify.com/track/5TvE3pk05pyFIGdSY9j4DJ
16,"3 Daqat",Abu,https://open.spotify.com/track/0uxTfF35vomzEtb7sHlP1N
17,"Kol Haga Betaady",Cairokee,https://open.spotify.com/track/4Zv6sGqql0ASS1yMaBGBz0
18,Human,"Rag'n'Bone Man",https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O
19,"Elli Baana","Ragheb Alama",https://open.spotify.com/track/28bdcUznUDPjJEujZCABes
20,"Dusk Till Dawn - Radio Edit",ZAYN,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
21,"In My Head","Peter Manos",https://open.spotify.com/track/1tT55K6VEyO6XFDxK4lDQe
22,"Bohemian Rhapsody - Remastered 2011",Queen,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
23,Shallow,"Lady Gaga",https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
24,Début,"Mélanie Laurent",https://open.spotify.com/track/2g2Ggi6gqJiVD2knmkMEfM
25,"Little Do You Know","Alex & Sierra",https://open.spotify.com/track/1almCHdsfikRPfVB9VrEdT
26,"El Malek","Mohamed Ramadan",https://open.spotify.com/track/00X0u5CE4nCWs9KTDJ1qLU
27,"SICKO MODE - Skrillex Remix","Travis Scott",https://open.spotify.com/track/0u695M7KyzXaPIjpEbxOkB
28,SAD!,XXXTENTACION,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
29,"Kifak Inta",Fairuz,https://open.spotify.com/track/7JaX3X1cPBAGoTs4V1P4uy
30,"Bad Liar","Imagine Dragons",https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
31,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",https://open.spotify.com/track/2hrUO4drrO63i7FYbCLBl2
32,Numb,"Linkin Park",https://open.spotify.com/track/2nLtzopw4rPReszdYBJU6h
33,changes,XXXTENTACION,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
34,"حبه جنة",Sherine,https://open.spotify.com/track/2QK9spxKFUWe7zeirPHf5O
35,"Aghla Men Al Yaqout","Ahmed Mekky",https://open.spotify.com/track/2BPCeosLLWCMVKfZn3hZzF
36,"Let You Down",NF,https://open.spotify.com/track/52okn5MNA47tk87PeZJLEL
37,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
38,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
39,"دار يا دار (feat. Eftekasat)","Hamza Namira",https://open.spotify.com/track/2HjAvbDnZIiwH2bXLgYvn2
40,Genius,Sia,https://open.spotify.com/track/3qGDwGqdyFq3faUU4BmhdY
41,"Venom - Music From The Motion Picture",Eminem,https://open.spotify.com/track/2SL6oP2YAEQbqsrkOzRGO4
42,Sorry,Halsey,https://open.spotify.com/track/44n97yHySt0Z9rqPaXgjCK
43,"Stressed Out","Twenty One Pilots",https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
44,"Noaata Beida",Cairokee,https://open.spotify.com/track/6IdnemFmfpRIc0BmjMcccj
45,"Do I Wanna Know?","Arctic Monkeys",https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt
46,"Sahla We Bassita","Mahmoud El Esseily",https://open.spotify.com/track/4hD9JckaTEC6maWEvH0vDJ
47,Amar,Douzi,https://open.spotify.com/track/44VyvABcrOHUXzEJVR33N6
48,"In the End","Linkin Park",https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq
49,"Not About Angels",Birdy,https://open.spotify.com/track/5sF7hdYvhrcgNq8NZjfK8L
50,"Beautiful (feat. Camila Cabello)",Bazzi,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
