Position,"Track Name",Artist,URL
1,Thotiana,Blueface,https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G
2,"bury a friend","Billie Eilish",https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP
3,"Don't Call Me Up",Mabel,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
4,"Pure Water (with Migos)",Mustard,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp
5,"Con Calma","Daddy Yankee",https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
6,"Murder On My Mind","YNW Melly",https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
7,"MIDDLE CHILD","J. Cole",https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
8,"Raise a Hallelujah (Live)","Bethel Music",https://open.spotify.com/track/0YxrPdW9NpNFtqh7Fw0rva
9,"Iskhathi - Main Mix","Kwiish SA",https://open.spotify.com/track/0SziVSSawqm57GHmdUpgOh
10,"Mixed Personalities (feat. Kanye West)","YNW Melly",https://open.spotify.com/track/6vWEAOUSxohKxhp0K1BsxL
11,"Losing Sleep - Sebastien Remix","Tom Gregory",https://open.spotify.com/track/6Qtg3tKq2VLLy4JtRX1nxh
12,"Woke Up Late (feat. Hailee Steinfeld)","Drax Project",https://open.spotify.com/track/3qLBz3j26AHO2jBYUQWLA6
13,"Rainy Days (feat. Eminem)","WESTSIDE BOOGIE",https://open.spotify.com/track/015jLlgBeSkl3CApWJhlv7
14,Whipped,Tellaman,https://open.spotify.com/track/5izmlzt9mbvzuZogW9TXJB
15,"Bones (feat. OneRepublic)",Galantis,https://open.spotify.com/track/1pfgsjmxVZhoZpeDx6POKv
16,"Big Plans","Why Don't We",https://open.spotify.com/track/6Yx181fZzA0YE2EkUsYruq
17,Rainbow,"Kacey Musgraves",https://open.spotify.com/track/79qxwHypONUt3AFq0WPpT9
18,"Dancing With A Stranger (with Normani)","Sam Smith",https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
19,"Power Over Me","Dermot Kennedy",https://open.spotify.com/track/0OGNtqKkjI7FCE9HZ4Khgo
20,"Sweet but Psycho","Ava Max",https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
21,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
22,"a lot","21 Savage",https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d
23,"Almost (Sweet Music)",Hozier,https://open.spotify.com/track/2e9N4vHYVUwSwRorBzsZXE
24,Wow.,"Post Malone",https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
25,"i'm so tired...",Lauv,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
26,Hurt,"Oliver Tree",https://open.spotify.com/track/1Xls3QHvOQ7YLB54R6BvgG
27,Undecided,"Chris Brown",https://open.spotify.com/track/7uiBocndm12aKbsdnQ3Scx
28,Umahlalela,Simmy,https://open.spotify.com/track/3iQ0XU4x9HKdmmMjkG2Tsw
29,"I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy)","Lil Peep",https://open.spotify.com/track/2v5JTeM6hSmi5wWy7jiwrI
30,Secreto,"Anuel AA",https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0
31,"Hazy Shade of Winter (feat. Ray Toro)","Gerard Way",https://open.spotify.com/track/1tBZnhDT8xbgJTs43FiqrD
32,"Istanbul (Not Constantinople)","They Might Be Giants",https://open.spotify.com/track/63vL5oxWrlvaJ0ayNaQnbX
33,Shallow,"Lady Gaga",https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
34,"Just Let Go","Joyner Lucas",https://open.spotify.com/track/05u5qeM36BBjaF9lsOyar2
35,"Giant (with Rag'n'Bone Man)","Calvin Harris",https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd
36,"Someone You Loved","Lewis Capaldi",https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc
37,Juice,Lizzo,https://open.spotify.com/track/0onslUNmSLDkuYaideYWir
38,Mvula,"Langa Mavuso",https://open.spotify.com/track/3iI4XTopY4yAWe1oGS5uBf
39,"Envy Me",Calboy,https://open.spotify.com/track/05t7JMip6JrLuSrMV5yYjX
40,"Let Me Down Slowly","Alec Benjamin",https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
41,"Dancin (feat. Luvli) - Krono Remix","Aaron Smith",https://open.spotify.com/track/6WkJ2OK163XXS2oARUC9JM
42,"Bleed It",Blueface,https://open.spotify.com/track/67fNrBUMc7iWMofdCaoJV9
43,"100 Bad Days",AJR,https://open.spotify.com/track/59NBECAQ5tXNmtKbRFcYil
44,"Soho (feat. JID)","WESTSIDE BOOGIE",https://open.spotify.com/track/35Rbqn962gEydsN1VKOC3T
45,"Going Bad (feat. Drake)","Meek Mill",https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
46,"Shea Butter Baby (with J. Cole)","Ari Lennox",https://open.spotify.com/track/1CVAENDG5VY05pEHh0ViXL
47,Potte,"Early B",https://open.spotify.com/track/3rLgVt8ZzMzVMG3IH06CzC
48,GIRL,"Maren Morris",https://open.spotify.com/track/0u3zalSKQIUJ0foEGILmxe
49,"Inhliziyo Yami Ithi Hey","Shado M",https://open.spotify.com/track/6FWoH8dZjY05LmPznPuQVK
50,"Goodness of God (Live)","Bethel Music",https://open.spotify.com/track/1gj9poFl2mLKkguqWo5Y1i
