Position,"Track Name",Artist,URL
1,"Jesus Is The One (I Got Depression)","Zack Fox",https://open.spotify.com/track/1YR9iNGXtsbrd8deR9ULDD
2,Lalala,Y2K,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
3,"The Git Up","Blanco Brown",https://open.spotify.com/track/5dW1VZPcFqB4n0P08rGDgm
4,"Dance Monkey","Tones And I",https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
5,"It's You","Ali Gatie",https://open.spotify.com/track/6moU77g9RQyMzHNuKEaQKq
6,Uno,Ambjaay,https://open.spotify.com/track/3AEgic4yp82NxMWUjHtxnO
7,Señorita,"Shawn Mendes",https://open.spotify.com/track/0TK2YIli7K1leLovkQiNik
8,"Pumpkins scream in the dead of night","Savage Ga$p",https://open.spotify.com/track/5kBM9TCM8EWiqUcZXiUbIF
9,"Beautiful People (feat. Khalid)","Ed Sheeran",https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
10,"Higher Love",Kygo,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
11,"You Already Know","Shotgun Willy",https://open.spotify.com/track/0ICY4TtDdjDd0kSR3vv148
12,"fast (Remix) [feat. Offset & A Boogie Wit da Hoodie]",Sueco,https://open.spotify.com/track/2xKQj6P0TgxBVaRiojP2s2
13,"One Thing Right",Marshmello,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4
14,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",Mustard,https://open.spotify.com/track/2zjGJ0dChMR0KxBZS15aqo
15,"No Face No Ca$e","King Lil G",https://open.spotify.com/track/4WQj82D2S58Gj0ZoKXWrBE
16,Ransom,"Lil Tecca",https://open.spotify.com/track/1kBbgxAUc4HQv7cgIayIDH
17,"On A Roll","Ashley O",https://open.spotify.com/track/56JyMaElW79S7TDWh1Zw1m
18,"Never Ending Story",Limahl,https://open.spotify.com/track/1F43XlPBiwAUUIhrUGzylO
19,"Don't Check On Me (feat. Justin Bieber & Ink)","Chris Brown",https://open.spotify.com/track/7ILEWkpfdK6AjH2D7jppWk
20,"Shotta Flow (Feat. Blueface) [Remix]","NLE Choppa",https://open.spotify.com/track/67XyC1GdSkKb9sbRRkUDXS
21,"Truth Hurts",Lizzo,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
22,"Cigarettes On Patios",BabyJake,https://open.spotify.com/track/0LJDFZohBgWOMvXQw0cc9W
23,"My Type",Saweetie,https://open.spotify.com/track/5KBARWIxeMGkvUax9VtVC9
24,"Good As Hell",Lizzo,https://open.spotify.com/track/6uAm7pG66O1XesXS9bpHSF
25,"Hate Me (with Juice WRLD)","Ellie Goulding",https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
26,Woah,KRYPTO9095,https://open.spotify.com/track/4EyBZN8AmXr8W1HR4vWumN
27,"Money In The Grave (Drake ft. Rick Ross)",Drake,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
28,"Nails, Hair, Hips, Heels","Todrick Hall",https://open.spotify.com/track/0nzsxcMmkFwfLB8IJ6Ok9g
29,"Drop Top (feat. Yella Beezy & Flipp Dinero)","Swagger Rite",https://open.spotify.com/track/75pr96PJuWtOGeLS5czCq2
30,"I Think I'm OKAY (with YUNGBLUD & Travis Barker)","Machine Gun Kelly",https://open.spotify.com/track/2gTdDMpNxIRFSiu7HutMCg
31,Becky,Championxiii,https://open.spotify.com/track/2VDadIDCFgDqvVCvaDPtn9
32,"Big, Big Plans","Chris Lane",https://open.spotify.com/track/7yNJCsUH3tXlpQiHSsAc5l
33,"Easy - Remix",DaniLeigh,https://open.spotify.com/track/4CMrdHWqic0usIZfTrKoI3
34,Panini,"Lil Nas X",https://open.spotify.com/track/6fTt0CH2t0mdeB2N9XFG5r
35,"Cha Cha","Freddie Dredd",https://open.spotify.com/track/7jiiuFE5JSVXoMKov2V1fI
