Position,"Track Name",Artist,URL
1,Lghrib,L7or,https://open.spotify.com/track/4eJE5ZNP3lYj4ZLv7oRblQ
2,Bye,Mons,https://open.spotify.com/track/4CNn9te0jYrLmm3rW4YQws
3,"Dance Monkey","Tones And I",https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,"Mali Yana","Ayoub Africano",https://open.spotify.com/track/3HJdVPapi1uQJsbdzz4akB
5,"hot girl bummer",blackbear,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
6,Circles,"Post Malone",https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
7,ZARGA,7-Toun,https://open.spotify.com/track/3T5TvGiNkXKKCgQWKhIfKU
8,"Ciel (with Lomepal, Shobee)",Naar,https://open.spotify.com/track/2WBPzXGFPUbrGFq72OYjzT
9,Lalala,Y2K,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
10,Karma,Madd,https://open.spotify.com/track/3pkwwEMeus1d9l6b6GDnnI
11,"Choix de vie (feat. Nassi)",Anas,https://open.spotify.com/track/0k6YVBEdnGns7T3uL3SMRF
12,"Ma belle","Moha La Squale",https://open.spotify.com/track/3Aq1SJ1hWlfazx8IIC6u1D
13,Godzilla,Moro,https://open.spotify.com/track/2O866dotlltmzcngBvEa31
14,Goumari,D33pSoul,https://open.spotify.com/track/5jCtrhtNAQk9dQaxWvkUtH
15,Ensay,"Saad Lamjarred",https://open.spotify.com/track/6azjD02gDO2ZarIZMs3eRk
16,Motivation,Normani,https://open.spotify.com/track/0rIAC4PXANcKmitJfoqmVm
17,"HÉ OH",Gambi,https://open.spotify.com/track/1bWafkUCOp6luXRs1cm3w9
18,Groupies,ElGrandeToto,https://open.spotify.com/track/02i751eiU2c0lKnvBTWuD8
19,Seniorita,"DJ Adel",https://open.spotify.com/track/4kInM1JpxZIBFdScsfSvK8
20,"Ride It",Regard,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
21,Sultan,Tflow,https://open.spotify.com/track/0iNPGU1FDtrUqi28EsUmVK
22,7alawiyat,Breezy,https://open.spotify.com/track/39daAEiVZmrT0lNPhHjb0v
23,"Won't Be Late (feat. Drake)","Swae Lee",https://open.spotify.com/track/2sqsNXfN0HtgDEgaHXiUTa
24,"Ma3adnach Zhar","Saber Chaib",https://open.spotify.com/track/0OhOtbKl95QhHcDeqlyU4l
25,Ransom,"Lil Tecca",https://open.spotify.com/track/6EOKwHETwSkZ9gW2b6ASE0
26,Dumebi,Rema,https://open.spotify.com/track/0SjQBdIddPvKSWxr8vk6QX
27,"It's You","Ali Gatie",https://open.spotify.com/track/6moU77g9RQyMzHNuKEaQKq
28,"Mcha L'amour","Ihab Amir",https://open.spotify.com/track/4SXup1nrUZuHlyj4PNZqpH
29,"Waya Lghram","Mehdi Mozayine",https://open.spotify.com/track/3JS2xB6j5bvtlTQ4XT8wP9
30,Dinero,7liwa,https://open.spotify.com/track/5ZG292Q7DyIKBWLOVJ9r6f
31,"Money Call (with Shobee, Madd, Laylow)",Naar,https://open.spotify.com/track/5TLJ4XqxAdzHfsZkZFCY9t
32,Tutu,Camilo,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
33,"Ya la Laa",DYSTINCT,https://open.spotify.com/track/0pqGNW2u6uepefUa0L3KbA
34,"Sadma kbira","Cheb Mimoun El Oujdi",https://open.spotify.com/track/4ZNHRSteZDHONTwrGPy8gV
35,"This Mountain",Faouzia,https://open.spotify.com/track/0NYJUJaDCvrkMQQt4WSrVU
36,"Yo x Ti, Tu x Mi",ROSALÍA,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
37,"Ykattab Rabbi","Youba Adjrad",https://open.spotify.com/track/4KluPDwcQK4wDRnzSICdeu
38,"Albak Yemchi Lhalo","Hatim Ammor",https://open.spotify.com/track/20GGj4yDFkeinW0YolAdmy
39,Princessa,Maroki,https://open.spotify.com/track/292Rg8difnRtv8aeNZ4L9i
40,Nabghik,"DJ Nassim",https://open.spotify.com/track/6wxzP9tY1r9hCpyydenJmW
41,Habibi,7-Toun,https://open.spotify.com/track/1OiW89v9FTgnBntbrB8ijC
42,"Ti amo","Mister You",https://open.spotify.com/track/00xoWQd2gzMQrUYohWV1lW
43,Kennedy,Bezza,https://open.spotify.com/track/7azLcibfISE72OyHqFOhhT
44,Prolongation,"DJ Babs",https://open.spotify.com/track/4cprICSNuzvmGWi8Ayng71
45,Guembrified,D33pSoul,https://open.spotify.com/track/1ET3SkndcTAOMrP97mlPUn
46,Chicha,Lbenj,https://open.spotify.com/track/3Tkw5HVXp0mx8rCm9vBLjd
47,"Born Without a Heart",Faouzia,https://open.spotify.com/track/6i5jBmnB22alUpJ7hpznuj
48,Lappel,7-Toun,https://open.spotify.com/track/3m47FbQqzv2zGNzSJYhr5v
49,"Good Bye","Cheb Bello",https://open.spotify.com/track/5vEgNT2ZXZrk9ytIguXx2y
50,"223's (feat. 9lokknine)","YNW Melly",https://open.spotify.com/track/4sjiIpEv617LDXaidKioOI
