Position,"Track Name",Artist,URL
1,Tutu,Camilo,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
2,Lalala,Y2K,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
3,"Adicto (with Anuel AA & Ozuna)",Tainy,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
4,Loco,Beéle,https://open.spotify.com/track/4zAmejUNIsPCWsj5t1lGo4
5,"El Güero - En vivo","Marca MP",https://open.spotify.com/track/7a6gK5GwlIvGTU4ayZhskd
6,"Tu Sicaria","Ms Nina",https://open.spotify.com/track/6fatMybX8VmHUpaxVcXzrz
7,"Spinning Over You",REYKO,https://open.spotify.com/track/32ZP0YJyDzmDimZivZfXvw
8,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)","Dímelo Flow",https://open.spotify.com/track/684EjRHwNsZQ9hCQxL4NYL
9,"Out Of Touch",CUT_,https://open.spotify.com/track/1bfXHP1YvsND2dp3TfFPCa
10,Chicharrón,Guaynaa,https://open.spotify.com/track/5UVa8Qqb9L1dVxl3jKQ5J1
11,"Oye Pablo","Danna Paola",https://open.spotify.com/track/4wJFExEZZo62tmwTM9ENDR
12,China,"Anuel AA",https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
13,"Ride It",Regard,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
14,"Yo x Ti, Tu x Mi",ROSALÍA,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
15,"Dance Monkey","Tones And I",https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
16,Diavla,"Chris Viz",https://open.spotify.com/track/1KfrcxnOLyDhd3p4hGrhVe
17,Buttercup,"Jack Stauber",https://open.spotify.com/track/2mlGPkAx4kwF8Df0GlScsC
18,"LA CANCIÓN","J Balvin",https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
19,"Nicki Nicole: Bzrp Music Sessions, Vol. 13",Bizarrap,https://open.spotify.com/track/2S93hylQBYLndMnaJuso8S
20,"Voy a Volver","Los Caligaris",https://open.spotify.com/track/1GGBmiyTHOMBgvIlYqIBuq
21,Circles,"Post Malone",https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
22,"No Soy Yo",Emilia,https://open.spotify.com/track/67OKX8DNYygddabwIjExsp
23,Callaita,"Bad Bunny",https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
24,Zeus,"Destripando la Historia",https://open.spotify.com/track/0jGcmJ2AgzdKSrFIn1sViq
25,"Me La Avente","Carin Leon",https://open.spotify.com/track/2QwMXe5zbqymDZGYsMDVqZ
26,Indeciso,Reik,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
27,Djadja,"Aya Nakamura",https://open.spotify.com/track/7sKDftgGirHWTVFMtJoDoh
28,"No Me Conoce - Remix","Jhay Cortez",https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
29,"No Se Me Quita (feat. Ricky Martin)",Maluma,https://open.spotify.com/track/1GBLO0NFODuL31A5fgw0uR
30,Señorita,"Shawn Mendes",https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
31,"El Color de Tus Ojos","Natalia Jiménez",https://open.spotify.com/track/36vevDMDx2ArmNViFWn22A
32,"Yo No Sé","Mati Gómez",https://open.spotify.com/track/76FgFoqovrS3t1WHkLo4wj
33,"Fuentes de Ortiz","Ed Maverick",https://open.spotify.com/track/0akyEssGRVHstqCSWXusJL
34,CANGURO,WOS,https://open.spotify.com/track/4wyNKAZe82BNlp2lHiR1FX
35,"Queen of Mean","Sarah Jeffery",https://open.spotify.com/track/4o05DiC0RQ9DNtGJGauwna
36,"Amor A Primera Vista","Los Ángeles Azules",https://open.spotify.com/track/1E7RHPXA9sZ30qfms18J7J
37,"Other Friends (feat. Sarah Stiles, Zach Callison, Deedee Magno Hall, Estelle & Michaela Dietz)","Steven Universe",https://open.spotify.com/track/30z2IlXuYkWxIjtXpD9C6a
38,"Cada Vez Te Extraño Más","Grupo Firme",https://open.spotify.com/track/70w1mwTod6NgCNV6e7ZlIQ
39,"Tra Tra Tra Remix - Remix","Ghetto Kids",https://open.spotify.com/track/4YqCBC4FwzGXuhixt5cgmm
40,"Otro Trago - Remix",Sech,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
41,"Simplemente Gracias","Calibre 50",https://open.spotify.com/track/3K6noLeoPTQJ5jUErC8jT5
42,"Por Favor",Humbe,https://open.spotify.com/track/6x4hov4il890wqz0eIvSgo
43,"Lo Que Construimos",Sabino,https://open.spotify.com/track/0K1eUOeIAW1jwbqSrgoVMj
44,"Contando Lunares (feat. Cruz Cafuné)","Don Patricio",https://open.spotify.com/track/6uW0PIRcyZLvkoonm763xD
45,"Porque Te Quiero (Feat. Luis Alfonso Partida ""El Yaki"")","Grupo Firme",https://open.spotify.com/track/5i4mvYSt8A5tAd1X8wb97g
46,"Baila Conmigo (feat. Kelly Ruiz)",Dayvi,https://open.spotify.com/track/4Clmg1g8n2yBYG13Z1oSdG
47,Bellacoso,Residente,https://open.spotify.com/track/1kMUGCt7XLDc5Q64Vl0H8S
48,Cradles,"Sub Urban",https://open.spotify.com/track/1y4jsQt7MjnZhiD1L6qFBC
49,"Crystal Dolphin",Engelwood,https://open.spotify.com/track/6kx8Hf1Udk4V0Ivq6zpoyG
50,Play,K-391,https://open.spotify.com/track/4jp4Z02kzzg8gK0NmDGgml
