Position,"Track Name",Artist,URL
1,"Me Da Asco Tu Familia","Nadie Sabe Nada",https://open.spotify.com/track/4iN8XAk63IUwMPBYKiE0kD
2,Kraazy,Likybo,https://open.spotify.com/track/3s2Qd1rsWqbvOoxpFTRp8D
3,Tusa,"KAROL G",https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
4,"The Box","Roddy Ricch",https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
5,+,Aitana,https://open.spotify.com/track/5Cbo7oz78gqkzV3EAM63VA
6,"Dream Girl - Remix","Ir Sais",https://open.spotify.com/track/099tjv6oy2opbpCOA3nBwX
7,"Sigues Con El","Dímelo Flow",https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
8,"C90 (Remix)","John C",https://open.spotify.com/track/2b6i9zx3ULzKrNWmyP0ePD
9,Batmóvil,Hens,https://open.spotify.com/track/1a071Cx7zQpmyOOb8y0PIq
10,"Malibú con Piña","Funzo & Baby Loud",https://open.spotify.com/track/4T7SpjqFNSpfdAsN66DkiE
11,"La Pacquiao",SHB,https://open.spotify.com/track/1Y8c1PcQpbIwNW2z7KhmSc
12,Amelie,"Valeria Castro",https://open.spotify.com/track/2KtWiCqg2tGyFfTAfHmPZo
13,"Prendio (Remix)",Rvfv,https://open.spotify.com/track/17VsiwLi1ovKYdVUqDieGC
14,Atrévete,"Yago Roche",https://open.spotify.com/track/07Lxxln9lZ8m0hT6EySTCe
15,"19 Días y 500 Noches Después","Travis Birds",https://open.spotify.com/track/2rHB1wHcs7wm1mR57JQwN6
16,Zorra,"Bad Gyal",https://open.spotify.com/track/0OP1RzrglC008kj79Httv3
17,Mami,Ptazeta,https://open.spotify.com/track/55C0glNSvxJDCfgHwiCZb1
18,Infeliz,Arcangel,https://open.spotify.com/track/4z6wo6PJG4Fve45OXK6D9m
19,"Se iluminaba","Fred De Palma",https://open.spotify.com/track/3VPOZWtj8mM89IiRNygxgS
20,"Dance Monkey","Tones And I",https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
21,"Fuera De Mi Mente",Lérica,https://open.spotify.com/track/7bsqRe39lKOYX45FZpzP9o
22,"Say So","Doja Cat",https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
23,"No Dijeron Nada",Oscu,https://open.spotify.com/track/66YgptYp9124vxw9yFsIGn
24,Infiel,Eix,https://open.spotify.com/track/79B6ZFqXNEBk1cFMdtXVkz
25,"El Fin del Mundo","La La Love You",https://open.spotify.com/track/5SeYlZyKVENMOxiSPQkKyw
26,"Pikete italiano",KvndySwing,https://open.spotify.com/track/0irFsBbVTns85AOtJQ9kis
27,"La Canción del Pensador","Ciudad Jara",https://open.spotify.com/track/6Fy4Wt2S1edN002zerXhlQ
28,"RITMO (Bad Boys For Life)","Black Eyed Peas",https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
29,Blanco,"J Balvin",https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
30,SUGAR,BROCKHAMPTON,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
31,"Alocao (With Bad Gyal)","Omar Montes",https://open.spotify.com/track/6RyuoOJXNzlVWpfC5xQyeI
32,"Hola - Remix",Dalex,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
33,"Blinding Lights","The Weeknd",https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
34,Falling,"Trevor Daniel",https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
35,Solteroski,"Los Solteroski",https://open.spotify.com/track/6JqfAWXo2rPNSWy9SDm9i3
36,"Tu Historia y la Mía",Hens,https://open.spotify.com/track/4ptmvueuWgilsYwI6u9V46
37,Enciéndelo,Jossef,https://open.spotify.com/track/5MA74oQBT1lVZtAVuMJAm0
38,PORFA,Feid,https://open.spotify.com/track/3iQOfefMGDVDwo8dZoco8T
39,"Loco Contigo (with J. Balvin & Ozuna feat. Nicky Jam, Natti Natasha, Darell & Sech) - REMIX","DJ Snake",https://open.spotify.com/track/5QXQy0f2q8wJNpPwJtjifx
40,"Suave - Remix","Jey Blessing",https://open.spotify.com/track/6K7V47wFpfam2aeE893rbL
41,ROXANNE,"Arizona Zervas",https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
42,"Tant de bo",Suu,https://open.spotify.com/track/4PUxQfRnxk0WIcdURld3du
43,"¡Qué Felicidad La Mía! - 30 Años En La Música","Miguel Poveda",https://open.spotify.com/track/1Wm3zp6y6JPuGI923TXBYW
44,"Ella Dice","Og Baby",https://open.spotify.com/track/3kwEQZGir5mZFw2QzdaZ5q
45,"No Idea","Don Toliver",https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
46,GOODMORNINGTOKYO!,"TOKYO’S REVENGE",https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp
47,Boss,"La Zowi",https://open.spotify.com/track/3LjkyjxjqmFEDsIzHoliDf
48,"Perreo en La Luna","Rich Music LTD",https://open.spotify.com/track/0RDgqtvOHLwcI6yz9bjsZV
49,Suicidal,"YNW Melly",https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
50,Psycho,"Red Velvet",https://open.spotify.com/track/3CYH422oy1cZNoo0GTG1TK
