Position,"Track Name",Artist,URL
1,Bando,ANNA,https://open.spotify.com/track/0kzGjSRHGVcaWxagzQwAyD
2,"death bed (coffee for your head)",Powfu,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
3,"Il bello dell'amico",Astra,https://open.spotify.com/track/7tLBfOAgC2j3UWqeGgZ7G2
4,"Fratelli d'Italia (Inno Di Mameli)","Artisti per l'Italia Band",https://open.spotify.com/track/7gsiOPWCTsTErEZ2yazTwp
5,Skechers,DripReport,https://open.spotify.com/track/4z2JaAVPemYJhFKm7e32RA
6,"Corona Virus",Yofrangel,https://open.spotify.com/track/3xL2zWuSe639N50iNP6LPM
7,"Moral of the Story",Ashe,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
8,"Good Times",Ghali,https://open.spotify.com/track/6GpvHaqp0Yybx9P6YnodRD
9,"I Got Bitches",A2M,https://open.spotify.com/track/6gPqBegU4aDWoSYXeCyURA
10,"Fuego (with Geolier & Lele Blade) - Prod. Poison Beatz, Tom Trigger",Neves17,https://open.spotify.com/track/6XPYGFacwZAtmoSVi9m4eT
11,Numb,Dotan,https://open.spotify.com/track/2jmsqMQdKUfT95At7WcrNQ
12,"ily (i love you baby) (feat. Emilee)","Surf Mesa",https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
13,14,Jayred,https://open.spotify.com/track/1veUzOYyrblgIzylvPzkAZ
14,Supalonely,BENEE,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
15,Abbracciame,"Andrea Sannino",https://open.spotify.com/track/1v9OR23wz65Tkw4vaqo5t1
16,"On Gang","Thelonious B.",https://open.spotify.com/track/4NR1cjgeRzp0KSTwqiJfWj
17,"Roses - Imanbek Remix","SAINt JHN",https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
18,"Sunday Best",Surfaces,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
19,"Per sentirmi vivo",Fasma,https://open.spotify.com/track/20v9X8TV0AgwNGFT71OX3w
20,"My Heart Went Oops",Tiagz,https://open.spotify.com/track/3Nhfs2Cx7z2JWHetYkzSfO
21,"Blinding Lights","The Weeknd",https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
22,"Fai rumore",Diodato,https://open.spotify.com/track/2ZwcnFDvQueNemTt89qCom
23,"Breaking Me",Topic,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
24,"Inno Di Mameli","Coro e Banda Degli Alpini",https://open.spotify.com/track/54mgiFFbinp9ZolBjt0q6P
25,"WHATS POPPIN","Jack Harlow",https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
26,Courmayeur,"DJ Matrix",https://open.spotify.com/track/3ueGWDwh5tMsoKjxJnUFcB
27,Viceversa,"Francesco Gabbani",https://open.spotify.com/track/04ldF8QeASSyJLMtZJJfqA
28,Rapide,Mahmood,https://open.spotify.com/track/2cf1g08CvDuhwXFqxjetQi
29,"After Hours","The Weeknd",https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag
30,"Midnight (The Hanging Tree)",HOSH,https://open.spotify.com/track/38MbUy2C0FLv6exayPlImu
31,"She Gon Go","Trill Ryan",https://open.spotify.com/track/7FknBUKLWwjWszRK1N0jqe
32,"3 Vets","The Future Kingz",https://open.spotify.com/track/6t3sBdc5SbMlk5AyGvMei2
33,"The Take (feat. Chris Brown)","Tory Lanez",https://open.spotify.com/track/0Odu228D0yGcFySGuxU4rY
34,"Howling at the Moon","D Fine Us",https://open.spotify.com/track/2Y4BfOErhe6vE5vRBL2ms4
35,Tusa,"KAROL G",https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
36,"Cu Te",Novelo,https://open.spotify.com/track/3o2Yj5w0gT7uomEopASubc
37,"Ringo Starr","Pinguini Tattici Nucleari",https://open.spotify.com/track/5yfE6GXTuJaAlepKoE0wJE
38,"CITY OF ANGELS",24kGoldn,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
39,Forever,CHVRCHES,https://open.spotify.com/track/3jl1I9gvCXo5V9hu4hYGLY
40,"Marymango (feat. tha Supreme)",Ghali,https://open.spotify.com/track/7eHHKYb2cRRqqzl8bbiwA3
41,"Musica (E Il Resto Scompare)","Elettra Lamborghini",https://open.spotify.com/track/3Nc7IorgrSffzaQrQWVw4L
42,Lenzuola,LefrasiincompiutediElena,https://open.spotify.com/track/5S4RzZFlvBxWkmaFmHJcnK
43,"Baila Conmigo (feat. Kelly Ruiz)",Dayvi,https://open.spotify.com/track/4Clmg1g8n2yBYG13Z1oSdG
44,"Boss Bitch","Doja Cat",https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
45,"La Forma en Que Me Miras","Super Yei",https://open.spotify.com/track/6t94PGXYAuo9GbJEnMpPcW
46,Vibe,"Cookiee Kawaii",https://open.spotify.com/track/7btQ8AOjr6zXoGHEmxL5u5
47,"Fast Car",Gaia,https://open.spotify.com/track/5blI5ymoNZSLczlKuJhOR4
48,"Rave de Favela (feat. BEAM)","Major Lazer",https://open.spotify.com/track/1K7WzjKDcDdVbKNGrB0gej
49,"Destination Calabria",MEDIKAL,https://open.spotify.com/track/7pQ4aLqPhmY9YTZ2EmCq9n
50,Sentimenti,"Lorenzo Ciaffi",https://open.spotify.com/track/6EKLot7Kc50SoyqKdETV2W
