Position,"Track Name",Artist,URL
1,"Hard For Me","Michele Morrone",https://open.spotify.com/track/3nrxsQEntBXdY5JoqA39ES
2,"Feel It","Michele Morrone",https://open.spotify.com/track/1YJ1iwXq6tMpjJoFdbg3dr
3,"Tak Tiki Tak","Harry Nach",https://open.spotify.com/track/6Hw21Z5CmEV78jrncFpMwz
4,"Niña Bonita - Acústico",Dstance,https://open.spotify.com/track/6yb8ktQyg2mH4fOUeIYkd5
5,"La Jeepeta - Remix","Nio Garcia",https://open.spotify.com/track/1mohfLaTJtB2RplHLQVM70
6,"Watch Me Burn","Michele Morrone",https://open.spotify.com/track/3G2PuoyQe0NURrvgia041E
7,"I See Red","Everybody Loves an Outlaw",https://open.spotify.com/track/2Xau3uNsnIb9FwzsvHR84z
8,Stunnin',"Curtis Waters",https://open.spotify.com/track/2LUdpPCiiza6UQugipjMeS
9,Colocao,"Nicki Nicole",https://open.spotify.com/track/7MCFjPDImfjQv7GynHgVrR
10,"Como Llora",Juanfran,https://open.spotify.com/track/52zq2a71SGs3f1vJuv59ui
11,"Pana Miguel","Keyan JRN",https://open.spotify.com/track/2ENImmNNYBBybf1N431WfO
12,"Te Encontre","El Vega",https://open.spotify.com/track/2kP6fOqdSQ5CYqVH5z5844
13,"La Jeepeta - Remix","DJ Alan Gomez",https://open.spotify.com/track/5PcInxO1rmTE6Kl2y9akaI
14,"Banana (feat. Shaggy) - DJ FLe - Minisiren Remix",Conkarah,https://open.spotify.com/track/0dZpw3h6KZhcHec61qwevZ
15,"Party Girl",StaySolidRocky,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
16,Kolors,"Monte Booker",https://open.spotify.com/track/4IOYk6epkzXT38U4ShauZ6
17,U.S.A,"LiL CaKe",https://open.spotify.com/track/4nSLNgCnCm0NX1SkOwrrdR
18,"Судно (Борис Рижий)","Molchat Doma",https://open.spotify.com/track/6DONTnamNDOJdO6DzCu71p
19,Relación,Sech,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ
20,Locura,"Cali Y El Dandee",https://open.spotify.com/track/5379uuUPHodsdVhy8pIAAr
21,"Lo Que Tengo Yo",Lali,https://open.spotify.com/track/2lG1D3JuFMkqqdAiTMiF0n
22,"Rompe Megaton","Los Rompe Discotekas",https://open.spotify.com/track/7s8h3mlXOFBwFvJupeoq4R
23,Bounce,Cazzu,https://open.spotify.com/track/3EO0tGvdBCw6vdChaNvVlc
24,Inolvidable,"Ovy On The Drums",https://open.spotify.com/track/0OTtnwUO8natNWSwdZvXVF
25,Daechwita,"Agust D",https://open.spotify.com/track/0H4ugk6rhnXmTl47ayy9O5
26,"Color Esperanza 2020","Diego Torres",https://open.spotify.com/track/3eSJmGWqoBRx5wbFCtvPtz
27,"Sweet Night",V,https://open.spotify.com/track/39EXZNMxb4RBHlRjnRaOKp
28,"Watermelon Sugar","Harry Styles",https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
29,"Angels & Demons",jxdn,https://open.spotify.com/track/4GUj9MfPPkjpZskxb45uiX
30,"Rain On Me (with Ariana Grande)","Lady Gaga",https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
31,"Quiéreme Mientras Se Pueda","Manuel Turizo",https://open.spotify.com/track/34LI7rwi9H8w2S5KTHnv1M
32,"Elegí (feat. Dímelo Flow)","Rauw Alejandro",https://open.spotify.com/track/50ZC4PM7hywH27RcCfViau
33,"Play Date","Melanie Martinez",https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
34,"Bajo La Mesa",Morat,https://open.spotify.com/track/7BEPdOI0neT6p7PnLViqmH
35,PORFA,Feid,https://open.spotify.com/track/4TOmcZvw0gHa7GiXRbcYAW
36,"Fiebre (Prod. King DouDou)","Bad Gyal",https://open.spotify.com/track/5xtxxuIqInrLDSfjA6Co3o
37,"C.R.O: Bzrp Music Sessions, Vol. 29",Bizarrap,https://open.spotify.com/track/0qPbQWcqNDVrReSSvMoJxk
38,"death bed (coffee for your head)",Powfu,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
39,"ALMA DINAMITA",WOS,https://open.spotify.com/track/2ONADYjJvqYVwjWavuY0H1
40,Favorito,Camilo,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
41,"Roses - Imanbek Remix","SAINt JHN",https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
42,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
43,"Laxed – Siren Beat","Jawsh 685",https://open.spotify.com/track/3BJiF37kmX4HCfYSO7qBnQ
44,"Deep End Freestyle","Sleepy Hallow",https://open.spotify.com/track/2AlYncTpVHKwHb55F9lF6O
45,"Amor en Zamba","Carolina Centurión",https://open.spotify.com/track/1NhkAYwOuw8I2jAPlTL1vK
46,Candy,BAEKHYUN,https://open.spotify.com/track/6kKC35sKUh2FUx4M0qAL44
47,"ily (i love you baby) (feat. Emilee)","Surf Mesa",https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
48,"Toda Remix - Remix","Alex Rose",https://open.spotify.com/track/47ZS1OjnJpJVfGN9yHXfMn
49,Oscuridad,"Pimpe Mourtha",https://open.spotify.com/track/4ZNqJS2x2bly4i258hK6E9
50,Fearless,"Louis Tomlinson",https://open.spotify.com/track/1yEqyvgLgjS4v5GriAevCh
