Position,"Track Name",Artist,URL
1,"Hard For Me","Michele Morrone",https://open.spotify.com/track/3nrxsQEntBXdY5JoqA39ES
2,"Feel It","Michele Morrone",https://open.spotify.com/track/1YJ1iwXq6tMpjJoFdbg3dr
3,"Na Raba Toma Tapão",Niack,https://open.spotify.com/track/0AGS6ZRgzobrazmCi6pYMe
4,"Watch Me Burn","Michele Morrone",https://open.spotify.com/track/3G2PuoyQe0NURrvgia041E
5,"I See Red","Everybody Loves an Outlaw",https://open.spotify.com/track/2Xau3uNsnIb9FwzsvHR84z
6,"Do It","Chloe x Halle",https://open.spotify.com/track/35Dh5MnCUPLN3XyAVtQff3
7,"Dark Room","Michele Morrone",https://open.spotify.com/track/4BUtKyRwyhcQqGmkwYn1fj
8,"Pontos de Exclamação","Jovem Dionisio",https://open.spotify.com/track/2mlsK27VNUj8y08BvtIbXu
9,"Rap Da Akatsuki: Os Ninjas Mais Procurados Do Mundo (Nerd Hits)","7 Minutoz",https://open.spotify.com/track/2iNZMMFEii4fU827NTyQ1J
10,"Do It Like That","Michele Morrone",https://open.spotify.com/track/5AkbepB3AjazZz5MLUQZko
11,"Finish Line","SATV Music",https://open.spotify.com/track/4ZoUJljhs6YSj0bEAt0Zi8
12,"Dream Girl","Ir Sais",https://open.spotify.com/track/2Sla5cgNpVoRcckYjaAMKP
13,"Comprei um Lança","Mc Jacaré",https://open.spotify.com/track/12v6LfkX9YIR3uLefIAAYZ
14,"Drink Me","Michele Morrone",https://open.spotify.com/track/0tZWO5Bw2bvNelgnMFjq7D
15,"Melhor Eu Ir / Ligando os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo","Grupo Menos É Mais",https://open.spotify.com/track/2ptHQBO7TQhEkXOeK9ST59
16,Dad,"Michele Morrone",https://open.spotify.com/track/1BCKRAAaiTcNeOa6sJMoHg
17,"Deus é por nós","MC Marks",https://open.spotify.com/track/6jcGoHrqfRW6fI2I6xtwBQ
18,"I Am the Fire","Ghost Monroe",https://open.spotify.com/track/1tanw65Am6no9GCmTgiOhn
19,"Vergonha pra Midia","Salvador Da Rima",https://open.spotify.com/track/5JsxHA8NttHWThpTCToK1J
20,"Rain in The Heart","Michele Morrone",https://open.spotify.com/track/1oVxLao17vSSmzGztTdwrP
21,"Party Girl",StaySolidRocky,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
22,"Só Colocadinha (feat. Mc Dricka) - Remix Bregafunk","O Playboy",https://open.spotify.com/track/5CgU3lKeuBBdNZ4HFQ0Bvv
23,Prisoner,"Raphael Lake",https://open.spotify.com/track/14YkNhtwblvxRzsx47gyKC
24,"Vai Ter Que Aguentar","Mc Don Juan",https://open.spotify.com/track/5GAdMAL3tRJkVN1HtwohK2
25,"ALL YOU NEED IS LOVE","Jup do Bairro",https://open.spotify.com/track/0J2qxktJGqE5yZluCnDOdZ
26,"Angels & Demons",jxdn,https://open.spotify.com/track/4GUj9MfPPkjpZskxb45uiX
27,Kolors,"Monte Booker",https://open.spotify.com/track/4IOYk6epkzXT38U4ShauZ6
28,Candy,BAEKHYUN,https://open.spotify.com/track/6kKC35sKUh2FUx4M0qAL44
29,"Vai no Chão Doidona","Mc Vittin PV",https://open.spotify.com/track/5zCrBIhg3eKTmuz8Y7BhWB
30,Control,"Zoe Wees",https://open.spotify.com/track/50Td3qilgs8BLtv8mHyT1t
31,Daechwita,"Agust D",https://open.spotify.com/track/0H4ugk6rhnXmTl47ayy9O5
32,"Rain On Me (with Ariana Grande)","Lady Gaga",https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
