Position,"Track Name",Artist,URL
1,"I See Red","Everybody Loves an Outlaw",https://open.spotify.com/track/2Xau3uNsnIb9FwzsvHR84z
2,"Hard For Me","Michele Morrone",https://open.spotify.com/track/3nrxsQEntBXdY5JoqA39ES
3,"Who's That What's That","Niko B",https://open.spotify.com/track/6pRlNmiZ15mI0D0Y9VBjDe
4,Stunnin',"Curtis Waters",https://open.spotify.com/track/2LUdpPCiiza6UQugipjMeS
5,"Think About Things","Daði Freyr",https://open.spotify.com/track/2iRniYXjMHKmwXqA2jYXP7
6,"Feel It","Michele Morrone",https://open.spotify.com/track/1YJ1iwXq6tMpjJoFdbg3dr
7,Body,"Jordan Suaste",https://open.spotify.com/track/6wQgV6ZYt1snXyQV69mGT4
8,"Party Girl",StaySolidRocky,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
9,"SAD - Imanbek xxx Remix",Rasster,https://open.spotify.com/track/4x5ymi4akay9Fq5Xm1PW3E
10,"Watch Me Burn","Michele Morrone",https://open.spotify.com/track/3G2PuoyQe0NURrvgia041E
11,"Fishy on Me","Dr. Sus",https://open.spotify.com/track/1k6GEdfONk9Fs6JgrC8aBN
12,"Banana (feat. Shaggy) - DJ FLe - Minisiren Remix",Conkarah,https://open.spotify.com/track/0dZpw3h6KZhcHec61qwevZ
13,Control,"Zoe Wees",https://open.spotify.com/track/50Td3qilgs8BLtv8mHyT1t
14,"Figure It Out","Blu DeTiger",https://open.spotify.com/track/5G5qyRHlLmZgy915TBTCkB
15,"Do It","Chloe x Halle",https://open.spotify.com/track/35Dh5MnCUPLN3XyAVtQff3
16,Disingenuous,Flight,https://open.spotify.com/track/77N3t8CNrUQV2f2SLQzs9Q
17,"Angels & Demons",jxdn,https://open.spotify.com/track/4GUj9MfPPkjpZskxb45uiX
18,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
19,Kolors,"Monte Booker",https://open.spotify.com/track/4IOYk6epkzXT38U4ShauZ6
20,"Breaking Me",Topic,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
21,"Cars That Go Boom",L'Trimm,https://open.spotify.com/track/2pFKuQp8QLsp9Hl3YXuaGo
22,"Судно (Борис Рижий)","Molchat Doma",https://open.spotify.com/track/6DONTnamNDOJdO6DzCu71p
23,HAHA,"Lil Darkie",https://open.spotify.com/track/18Gcl5bxdd8bpBhWOj1rCR
24,"Rain On Me (with Ariana Grande)","Lady Gaga",https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
25,GOOBA,6ix9ine,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
26,Replay,Iyaz,https://open.spotify.com/track/4E5P1XyAFtrjpiIxkydly4
27,Secrets,Regard,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg
28,"High Power",KINGMOSTWANTED,https://open.spotify.com/track/6coH4flcRQXg8TrFVSkusr
29,"Coño (feat. Jhorrmountain x Adje)",Puri,https://open.spotify.com/track/4WRLwfGkcCyaQ1S27vm1bm
30,"Laxed – Siren Beat","Jawsh 685",https://open.spotify.com/track/3BJiF37kmX4HCfYSO7qBnQ
31,"IDK You Yet","Alexander 23",https://open.spotify.com/track/47EWMOElkkbMp5m9SBkx7d
32,Sexy,JoeVille,https://open.spotify.com/track/2n0vHNx05rdQaTrs2R6Ty7
33,Daechwita,"Agust D",https://open.spotify.com/track/0H4ugk6rhnXmTl47ayy9O5
34,"ily (i love you baby) (feat. Emilee)","Surf Mesa",https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
35,"...And To Those I Love, Thanks For Sticking Around",$uicideBoy$,https://open.spotify.com/track/41LhQUkElADQ5YUbpYv2D0
36,#WIPEITDOWN,"BMW KENNY",https://open.spotify.com/track/2kefHjNepGePZG4WxH2Vh4
37,Flipside,Tamera,https://open.spotify.com/track/6PBVyALVJlwRK97115oiED
38,"Rover (feat. DTG)",S1mba,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
39,"Deep End Freestyle","Sleepy Hallow",https://open.spotify.com/track/2AlYncTpVHKwHb55F9lF6O
40,"Rich Bitch","Bankrol Hayden",https://open.spotify.com/track/5KglajBRaDVCtzJnLFc1Zr
41,"Dream Girl","Ir Sais",https://open.spotify.com/track/2Sla5cgNpVoRcckYjaAMKP
42,"Impress Me (feat. Headie One)","Scribz Riley",https://open.spotify.com/track/69kJCPbIsIlxwaq1aM8oEO
43,"Don’t Need Love (with GRACEY)","220 KID",https://open.spotify.com/track/7uBaKZZVK0OZ6cqFGpGRXI
44,"Dinner Guest (feat. MoStack)","AJ Tracey",https://open.spotify.com/track/5y0ekFHNfFbjKhZlguSzdf
45,King,"Pablo Bravas",https://open.spotify.com/track/2HWWT08ai8DACYPILrRwVG
46,"Mr. Motivator",IDLES,https://open.spotify.com/track/4AxR2KkfgunnCzueEhRJPD
47,"death bed (coffee for your head)",Powfu,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
48,Freak,Skepsis,https://open.spotify.com/track/1BKOmg5DzDud3mjDvsdGfQ
49,"Go Crazy","Chris Brown",https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
50,"Ruthless (Nice Guys Always Finish Last)","MarMar Oso",https://open.spotify.com/track/6HeCk6yewXH7WO4D93eub9
