Position,"Track Name",Artist,URL
1,"Hard For Me","Michele Morrone",https://open.spotify.com/track/3nrxsQEntBXdY5JoqA39ES
2,"Trust Me",HELLSTRVCK,https://open.spotify.com/track/1lZiBN2IGHihxqf0vzqtjP
3,"Feel It","Michele Morrone",https://open.spotify.com/track/1YJ1iwXq6tMpjJoFdbg3dr
4,"Young Shahrukh",Tesher,https://open.spotify.com/track/42C9YmmOF7PkiHWpulxzcq
5,"Watch Me Burn","Michele Morrone",https://open.spotify.com/track/3G2PuoyQe0NURrvgia041E
6,Bandaids,Jxve,https://open.spotify.com/track/4uGTRmx9qg4NnRZ8iryDjq
7,"I See Red","Everybody Loves an Outlaw",https://open.spotify.com/track/2Xau3uNsnIb9FwzsvHR84z
8,Prisoner,"Raphael Lake",https://open.spotify.com/track/14YkNhtwblvxRzsx47gyKC
9,"Bandaids - Remix",Brxndead,https://open.spotify.com/track/7HFGvz6pWt8RW3sA6Orl3k
10,Feverish,"Hera Lainey",https://open.spotify.com/track/5lxBSGyKQKSnqKprzDnEn0
11,Kangana,"Abeer Arora",https://open.spotify.com/track/2hQ9Vp3f9eOU2ynadCssjW
12,Stunnin',"Curtis Waters",https://open.spotify.com/track/2LUdpPCiiza6UQugipjMeS
13,"Play Date","Melanie Martinez",https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
14,Khoyo,"Tech Panda",https://open.spotify.com/track/1b5oE4DkU1v5JlZoEYksdi
15,Dil,Alien,https://open.spotify.com/track/4Y7glOXRCy2DfUzf4SaExD
16,"Ты мой кайф","Dzharo & Khanza",https://open.spotify.com/track/2MHSX5b2U5DEeebmpuX8Ha
17,Marikit,"Juan Caoile",https://open.spotify.com/track/4nd9cEo5R4jGNcgPHDm7Ar
18,"Fishy on Me","Dr. Sus",https://open.spotify.com/track/1k6GEdfONk9Fs6JgrC8aBN
19,"Nakhre Tere","Bang Music",https://open.spotify.com/track/29C5ypiFgffKwe87gMYimD
20,"Banana (feat. Shaggy) - DJ FLe - Minisiren Remix",Conkarah,https://open.spotify.com/track/0dZpw3h6KZhcHec61qwevZ
21,Control,"Zoe Wees",https://open.spotify.com/track/50Td3qilgs8BLtv8mHyT1t
22,Fantasy,"Ryan Bauer",https://open.spotify.com/track/5a6L3JmBKeM5poIWJhtwla
23,"SAD - Imanbek xxx Remix",Rasster,https://open.spotify.com/track/4x5ymi4akay9Fq5Xm1PW3E
24,Kolors,"Monte Booker",https://open.spotify.com/track/4IOYk6epkzXT38U4ShauZ6
25,#WIPEITDOWN,"BMW KENNY",https://open.spotify.com/track/2kefHjNepGePZG4WxH2Vh4
26,"Party Girl",StaySolidRocky,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
27,春を告げる,yama,https://open.spotify.com/track/2Gmyw5Vg2X5YW2lM3OC7nD
28,"Used To","Jordan Solomon",https://open.spotify.com/track/7vTWDgT6kwl7efPEh0AkmD
29,"Cuarentena (Na Na Na)","Indian Trap",https://open.spotify.com/track/4UNW6tNKghlyXg64wXokHh
30,"Here Comes the Thunder","Lee Richardson",https://open.spotify.com/track/3lHoL4ofPul04MCOsGXxnZ
31,HAHA,"Lil Darkie",https://open.spotify.com/track/18Gcl5bxdd8bpBhWOj1rCR
32,Bougie,Bizzair,https://open.spotify.com/track/3cIwNiuOR3l2A0Uc58Bv70
33,"ily (i love you baby) (feat. Emilee)","Surf Mesa",https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
34,"Do It","Chloe x Halle",https://open.spotify.com/track/35Dh5MnCUPLN3XyAVtQff3
35,"Humne Bhi","The Western Ghats",https://open.spotify.com/track/78bJtdSTpHYS8u9axaismu
36,"I Am the Fire","Ghost Monroe",https://open.spotify.com/track/1tanw65Am6no9GCmTgiOhn
37,"death bed (coffee for your head)",Powfu,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
38,Shine,"Lit Happu",https://open.spotify.com/track/4KvCPB4f6SqgifVEsFOJhI
39,CAL-EUPHORIA,"Austin David",https://open.spotify.com/track/4xeu01rfGBxlQx9uCw1UNK
40,"The Time of Our Lives","The Venice Connection",https://open.spotify.com/track/1c8IKTdo1k7O7FO9LVZ4OE
41,"Kiss Me",Malo,https://open.spotify.com/track/5DWrH5Uf4yAWnC9jmTcqrR
42,"Kalla Sohna Nai","Desi Factory",https://open.spotify.com/track/6OHfpE1tb7qygxwkyBC3XT
43,"Finish Line","SATV Music",https://open.spotify.com/track/4ZoUJljhs6YSj0bEAt0Zi8
44,"Tere Ishq Mein","Aditya Yadav",https://open.spotify.com/track/2iTpz6Ye04nIMlvbuJXP15
45,"Mai Ni Meriye","Lost Stories",https://open.spotify.com/track/0zFcYzwaLbJAhg7bvSVavv
46,"No Values",Ivish,https://open.spotify.com/track/51dDkPPPVoxLTMwqKmtoyT
47,Джадуа,"Jah Khalib",https://open.spotify.com/track/1AC2EZQ4EOzPiDponJAvMh
48,"Ego - Radio Edit","Willy William",https://open.spotify.com/track/2dvTTBkl5xW3fNFz9mRFw5
49,"Angels & Demons",jxdn,https://open.spotify.com/track/4GUj9MfPPkjpZskxb45uiX
50,"i heard heaven is a nice place","Carter Powers",https://open.spotify.com/track/3Oun8NLTny5NXSZFAxcFKU
