Position,"Track Name",Artist,URL
1,"Deep End",Fousheé,https://open.spotify.com/track/6HlE9t71z9DjGi7KqSyEpA
2,"Cypis - Gdzie jest biały węgorz ? (Zejście)",Cypisolo,https://open.spotify.com/track/0TxhjcP43FfeyHjALRt7BK
3,Тяночка,Neverlove,https://open.spotify.com/track/0OLIvik4Xj0XCetajg4lEZ
4,"Ты засадишь",EG0RIAN,https://open.spotify.com/track/07NbBNizPciWZQu9ZmdWPB
5,"No Wind Resistance!",Kinneret,https://open.spotify.com/track/78Vm1H6bT8WQyPNyx7HBhP
6,"A Million On My Soul (Remix)",Moses,https://open.spotify.com/track/6RomQ7YOhEuvjY8UtMYwDk
7,"СЛЁЗЫ - OST ""Пацанки""","Anet Sai",https://open.spotify.com/track/4nMwnw4MvVj3MedlufvUgB
8,"Dreams - 2004 Remaster","Fleetwood Mac",https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
9,"Bury the Light","Casey Edwards",https://open.spotify.com/track/6tUcFEXos6TGhESFlkAyCm
10,"Дико тусим","Даня Милохин",https://open.spotify.com/track/5DQxmxUHC1WElkqVLcoA6H
11,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
12,Bayside,Obskür,https://open.spotify.com/track/2OnvTZkMILuJefMWnTqEfi
13,"По щекам слёзы",КУЧЕР,https://open.spotify.com/track/2nZ7U3S99FIdusogoNr2xw
14,Лютики,"просто Лера",https://open.spotify.com/track/4jHQxRQlRmpnrc3Sl2PiCK
15,ОЙ,"SQWOZ BAB",https://open.spotify.com/track/4I7QKKTZQYyjwdGPSjCPBX
16,moment,lildeath,https://open.spotify.com/track/2JKIYl8KaAMzOR1dIzEO5f
17,Daisy,Ashnikko,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk
18,"Put Your Records On","Ritt Momney",https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
19,"El Problema - prod. SLAVA MARLOW",MORGENSHTERN,https://open.spotify.com/track/4EAiPdDayHEaYo3YKgbV7q
20,"This Side of Paradise","Coyote Theory",https://open.spotify.com/track/3sgf2a905hjZ81tXYytY6i
21,Театр,Owlneverdie,https://open.spotify.com/track/3RomXYN1ndY86NNwFpV3mA
22,"Аниме генг",МОКЕРИ,https://open.spotify.com/track/2YHQIsu2azn6BswR04VPOS
23,"No Guidance 2 - TikTok Mashup","Eduardo Luzquiños",https://open.spotify.com/track/2LG80Dvqdg14Wrbv5br5hd
24,Whoopty,CJ,https://open.spotify.com/track/1RSzyxqtIO4yX3EyiV4zT5
25,"Просто друг","Ostap Parfjonov",https://open.spotify.com/track/2I6NhyfYsqwOzbUVTKgXPc
26,"Don't Leave Me Here",Coldsteeze,https://open.spotify.com/track/2SxoiRlij8vo0Bjk5xOblu
27,БЕРЕГОМ,ЯАVЬ,https://open.spotify.com/track/6mtBaHc5msOGaUzYguKXZH
28,"Cat Girls Are Ruining My Life!",CORPSE,https://open.spotify.com/track/4SPBwOTXgku4QvmRtMEGfW
29,"Bxmb Threat",Chauncey666,https://open.spotify.com/track/0JLYM3cDRXHmEPpzQwcVn4
30,Moss,Nakani86,https://open.spotify.com/track/0f1fT9jlQp9w35pfIo9gXX
31,THICK,"DJ Chose",https://open.spotify.com/track/0YYNIGKgAk34vZkV2NySie
32,"Night Air","Jamie Woon",https://open.spotify.com/track/73C8W2PBSEbfoNIi1J93MN
33,"В бар",МУСОР,https://open.spotify.com/track/6iI6fCU4NfwcZ0YMHlR3oR
34,Река,pavluchenko,https://open.spotify.com/track/0hmvv6gAhwtjqNBWyjmwsP
35,"Funny Thing",Thundercat,https://open.spotify.com/track/1c5CllrZr45UBhWpIqM332
36,Втюрилась,дора,https://open.spotify.com/track/575JDrZ0bLVMycVrcBNrhH
37,"Без даты",УННВ,https://open.spotify.com/track/4U3KtTMdL6TGPpFd5pwfwR
38,"Тебе это нравится","ЮГ 404",https://open.spotify.com/track/7MPkeVIe9ikWlCyIydPZHY
39,"Goodbye To A World","Porter Robinson",https://open.spotify.com/track/786ymAh5BmHoIpvjyrvjXk
40,"M to the B","Millie B",https://open.spotify.com/track/1meosvrJFk4xXo1HwUIasC
41,"Potential Breakup Song","Aly & AJ",https://open.spotify.com/track/11dxtPJKR4E0wlSr0A0t47
42,Swing,Savage,https://open.spotify.com/track/61ehOd7NByNLD1C5AcQhEb
43,Окей,"Tima Belorusskih",https://open.spotify.com/track/3MPFuEXwjdrR7yKua2wrUL
44,Memories,Xcho,https://open.spotify.com/track/4JA49QkyBs2TogxXRKqWR2
45,"Moonwalking in Calabasas (feat. Blueface) - Remix",DDG,https://open.spotify.com/track/7o4gBbTM6UBLkOYPw9xMCz
46,BxMxC,BABYMETAL,https://open.spotify.com/track/4bbIpOYtDP48AdC3lzyqyE
47,Michelle,"Sir Chloe",https://open.spotify.com/track/3sa1wUB8FAkoH95MGPGBWI
48,"No Guidance Ayzha Nyree - Slowed","Moon OA",https://open.spotify.com/track/1Gv1NMcPtuevHW4N4bN0gA
49,"There Are No Friends",Rodionis,https://open.spotify.com/track/70nXBc3MIwKvKcHEb8qSZV
50,"Just Like Me","Dragged Under",https://open.spotify.com/track/7gMr8hpFB1Hxei4eU0X7pB
