Position,"Track Name",Artist,URL
1,うっせぇわ,Ado,https://open.spotify.com/track/6EzZn96uOc9JsVGNRpx06n
2,ドライフラワー,優里,https://open.spotify.com/track/7dH0dpi751EoguDDg3xx6J
3,虹,"Masaki Suda",https://open.spotify.com/track/7AIj86wFWqm7X1TZ2hzHwS
4,silent,"SEKAI NO OWARI",https://open.spotify.com/track/6c5k0VC9TBzlcKwtjpzFW2
5,廻廻奇譚,Eve,https://open.spotify.com/track/2gSkvrwfCXCgqeugzezn97
6,水平線,"Broken kangaroo",https://open.spotify.com/track/112RFP9GynDoPfQwclaDDK
7,炎,LiSA,https://open.spotify.com/track/0cSkn2l67csUljEy0EEBPn
8,"Not a Love Song",IGWI,https://open.spotify.com/track/5Z3laxUmKp1QL3LRpxcl2X
9,南の島,虎韻,https://open.spotify.com/track/1P3H5CsZKFvv3sPZdOUUg2
10,CITRUS,Da-iCE,https://open.spotify.com/track/3qAlkP9wLflbTZ6D5ZxUmE
11,"再会 (produced by Ayase)",LiSA,https://open.spotify.com/track/52IsIvHidofM9JMjw78Jyz
12,Dynamite,BTS,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
13,"LOST IN PARADISE",ALI,https://open.spotify.com/track/7kRKlFCFLAUwt43HWtauhX
14,"Black Mamba",aespa,https://open.spotify.com/track/1t2qYCAjUAoGfeFeoBlK51
15,言えない,"HAND DRIP",https://open.spotify.com/track/3i5vHOzl2KVCBnfqgsFC9V
16,魔法の絨毯,"Takaya Kawasaki",https://open.spotify.com/track/37IPQgBkvbmH9JR5mlY6a8
17,"Stand by me, Stand by you.",HIRAIDAI,https://open.spotify.com/track/2RbVD1IgXtyQFlLtbthaZ3
18,"Life Goes On",BTS,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
19,"Pop Corn","BLOOM VASE",https://open.spotify.com/track/0T2ccREtAzxRQLvKKWSxjH
20,セイカツ,おさるのうた,https://open.spotify.com/track/4GMmJVKPN99XBuWGrW47e7
21,三文小説,"King Gnu",https://open.spotify.com/track/7BMKWT0Vw0EKDELXLvuWCp
22,"Dream with You","上原歩夢 (CV.大西亜玖璃)",https://open.spotify.com/track/2pOgQuNCRUmDvAKjqwmGR9
23,"My Resort","¥ellow Bucks",https://open.spotify.com/track/7p21ty59l7gtfhDX7rifLa
24,KING,Kanaria,https://open.spotify.com/track/5vCNAauCaecW0tT2mZDLG9
25,"ヒプノシスマイク -Rhyme Anima-","ヒプノシスマイク -D.R.B- Rhyme Anima (Division All Stars)",https://open.spotify.com/track/7e0iXw8i3RxUVYVAu6syUc
26,"imagine if",gnash,https://open.spotify.com/track/7nDdxPUC5LbxmspeqkOzt8
27,"Make you happy",NiziU,https://open.spotify.com/track/4FrxgrNbNrdfq8093JaEJf
28,チチンプイプイ,真島ゆろ,https://open.spotify.com/track/5tJkOlhd09g4yU2exmQMCf
29,CHILDAYS,"BLOOM VASE",https://open.spotify.com/track/1g1AXdio16Yh5SXgPBXcfq
30,夢?,はてな,https://open.spotify.com/track/1DAJpvV2JWXgx1RMR2qyBq
31,"Who I Am",milet,https://open.spotify.com/track/0b7KwwNxPh1VtxGBLRMmR9
32,"SO BAD",STAYC,https://open.spotify.com/track/13KR2yNRDrbKwR3dOKCDl4
33,わがまま,KALMA,https://open.spotify.com/track/0qmlBAix3Vze6rFysQgtQX
34,安眠swimming,"femme fatale",https://open.spotify.com/track/2VE4763OiyzFjeoY3vLDox
35,作戦前夜,TWEEDEES,https://open.spotify.com/track/3Tia1jE1uZBdS1YjG8XYMj
36,かくれんぼ,優里,https://open.spotify.com/track/0JTjZnuciQH4M3620aMDtZ
37,夜に駆ける,YOASOBI,https://open.spotify.com/track/3dPtXHP0oXQ4HCWHsOA9js
38,"Mayonaka no Door / Stay With Me","Miki Matsubara",https://open.spotify.com/track/2BHj31ufdEqVK5CkYDp9mA
39,"猫 〜THE FIRST TAKE ver.〜",DISH//,https://open.spotify.com/track/6F0aYmicNttntvth7FXQEx
40,好きにさせた癖に,あれくん,https://open.spotify.com/track/2QLzS7wXcelJaUZ5LdzmUk
41,猫,DISH//,https://open.spotify.com/track/6sIx7Cn37DGEhjy9hBP8Gx
42,ぎゅっと。,もさを。,https://open.spotify.com/track/6nqfKM9JvQIiuAuzWZFvGW
43,失礼しますが、RIP♡,"Mori Calliope",https://open.spotify.com/track/4luSvNPtu6emYsaTOHrguR
44,"Fairytale of New York (feat. Kirsty MacColl)","The Pogues",https://open.spotify.com/track/3VTNVsTTu05dmTsVFrmGpK
45,"Show Your Love","BTOB 4U",https://open.spotify.com/track/1VG2YcjPA6XQtiJOoCx9zu
46,Date,あれくん,https://open.spotify.com/track/56U30ABWZsaKChrLHDk3nY
47,"NEO SKY, NEO MAP!",虹ヶ咲学園スクールアイドル同好会,https://open.spotify.com/track/4AMtutbqOdlw9ybtWSE1et
48,"I CAN'T STOP ME",TWICE,https://open.spotify.com/track/3apeXzypBMnUfYcZYNX6DH
49,リテラチュア,上田麗奈,https://open.spotify.com/track/1Oc8AYDtd0Hcpz8Ijl4JaT
50,アイカタ,"Berry Goodman",https://open.spotify.com/track/1zGwY3vlObKdHD1OB3KPK4
