Position,"Track Name",Artist,URL
1,toxin,Benedixhion,https://open.spotify.com/track/79i617mqpQLwUs3WTokYX9
2,"Новый Год",Стекловата,https://open.spotify.com/track/34R0C4n72ltVhoM9Ed6voo
3,Зорi,KALUSH,https://open.spotify.com/track/2ospZRgEuM8cstDtVxnSkw
4,"Tongue Tied Cayman Cline","Lil Cobaine",https://open.spotify.com/track/55Y4Axp1vovO5ZxWn05RUU
5,Violent,carolesdaughter,https://open.spotify.com/track/7CFfqRW50ffULvBv7lfIIg
6,"Я ищу тебя",Dina,https://open.spotify.com/track/5zATFv349WSHljv2nH4SkL
7,gorit,DOROFEEVA,https://open.spotify.com/track/4a9FufecE8DI2PjiJnLlpS
8,"Just the Two of Us","Grover Washington, Jr.",https://open.spotify.com/track/5fdNHVZHbWB1AaXk4RBGVD
9,Given-Taken,ENHYPEN,https://open.spotify.com/track/69WpV0U7OMNFGyq8I63dcC
10,"Mayonaka no Door / Stay With Me","Miki Matsubara",https://open.spotify.com/track/2BHj31ufdEqVK5CkYDp9mA
11,"Последний танец","TINI LIN",https://open.spotify.com/track/5Y4IMG8dZRnshdtVVaGNvA
12,Home,"Edith Whiskers",https://open.spotify.com/track/18V1UiYRvWYwn01CRDbbuR
13,"Astronaut In The Ocean","Masked Wolf",https://open.spotify.com/track/0jdso14vaFnpRazMLEZovF
14,"Touch You",遠野高志,https://open.spotify.com/track/6qWEpnyU43Bcrx3vfbGuVm
15,Paris,Else,https://open.spotify.com/track/2H7F7EfsVhy0jNLsVz8MLH
16,Коми,"SODA LUV",https://open.spotify.com/track/6ugYbXPyqfpYTtG9z6YRvH
17,"Freak Show",Punkinloveee,https://open.spotify.com/track/2Rb6nYmuLEblpq4KIAjngL
18,засыпай,ssshhhiiittt!,https://open.spotify.com/track/5U6sM9kRxOJ2dXPyUT4w7l
19,"Новогодние игрушки","Аркадий Хоралов",https://open.spotify.com/track/7E8xz52g3DJljfwosC1qoF
20,"Ягода малинка",Хабиб,https://open.spotify.com/track/2r8hA6rIpYc7nBFEl9Ojio
21,Whoopty,CJ,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA
22,"MONA LİSA","Çaçan Beats",https://open.spotify.com/track/0isjbMDUsCw6qpMIn3vIU4
23,"Новый год",Darrem,https://open.spotify.com/track/1RMf3s0lI7fs7jxNIpRQTS
24,"WITHOUT YOU","The Kid LAROI",https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
25,"Chippin' In",SAMURAI,https://open.spotify.com/track/0UHxkkgI5GfV0XBRA1rqfe
26,"The Business",Tiësto,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
27,"Never Fade Away",SAMURAI,https://open.spotify.com/track/1AslaQYl1cMb1ItQKmtJer
28,HOLIDAY,"Lil Nas X",https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
29,"Планета моих снов",Jambo'o7,https://open.spotify.com/track/69jegGcdGD7MmBCfM0ledN
30,"Mr Sandman","The Chordettes",https://open.spotify.com/track/1pEJgnQervsjyWcLrSHTvM
31,"Не верю",Perfe,https://open.spotify.com/track/3yKUM36VxPzh45NOP6rzVh
32,"Без даты (Remix)",УННВ,https://open.spotify.com/track/7pM1glCX60SmmfSXptxbhO
33,"ALL GIRLS ARE THE SAME",RØNIN,https://open.spotify.com/track/2aHXHH1WXBDdWwtIe0vbi0
34,"Дихотомия, Ч. 1","EGOR MUF",https://open.spotify.com/track/5WC9V74xbm8azjRTi9NITT
35,"Дідько, я у розпачі...",Mistmorn,https://open.spotify.com/track/4fXi53gbY6jOjOf7UIN0Wf
36,"Джинсы [prod. by Sqweezey]",MAYOT,https://open.spotify.com/track/3kiD5yMRoRLIgFY63MJlgQ
37,"Moe iskusstvo","AMAN ZHU",https://open.spotify.com/track/34NkyxJWRVfd9D6lnDlwl5
38,"Новый год",VESNA305,https://open.spotify.com/track/3NxIbHwj2cimcm0O89XQZo
39,Heartbreaker,"The Stickmen",https://open.spotify.com/track/07PSGQ8vwLkuvxkWX6QVxY
40,"Just the Two of Us (feat. Bill Withers)","Grover Washington, Jr.",https://open.spotify.com/track/1ko2lVN0vKGUl9zrU0qSlT
41,"Magic Moments","Perry Como",https://open.spotify.com/track/7bflxIMDz5mFxhQyYx1CEh
42,"Dancing in My Room",347aidan,https://open.spotify.com/track/6Pgmqg15yVexuOgtzuxwoX
43,Nightmare,plenka,https://open.spotify.com/track/14XKt7GAWkoU0kDTSLl3Xs
44,"Bad boy","Marwa Loud",https://open.spotify.com/track/0RE4crnT3jRms1xxVlEZx2
45,"С новым годом!",Godnota,https://open.spotify.com/track/3SofmoRBuARDoFK0MDtrHF
46,"Jenny (I Wanna Ruin Our Friendship)","Studio Killers",https://open.spotify.com/track/7lgA34nFXxjqQgyLkPUcLv
47,"What A Life","Scarlet Pleasure",https://open.spotify.com/track/3VEvsFY82950YaqNz2vvyr
48,カワキヲアメク,美波,https://open.spotify.com/track/1gUAX2ImxDsB3YDcyxMXlB
49,"I Was Made",VINAI,https://open.spotify.com/track/0ieEZjHQO5eq9Uad7opItK
50,Поколение,"Kara Kross",https://open.spotify.com/track/4vUol3OkDUjz5Ae92XgeRU
